1,"東京都生計分析調査　令和 5年12月","","","","","","","","","","","","","","","","","",""
2,"","","第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",614,-,-,89,-,95,-,80,-,93,-,91,-,83,-,83,-
7,"0","世帯人員",2.90,-,-,2.85,-,2.73,-,2.89,-,2.83,-,2.86,-,3.13,-,3.00,-
8,"0","有業人員",1.33,-,-,1.30,-,1.18,-,1.26,-,1.40,-,1.22,-,1.47,-,1.48,-
9,"0","世帯主平均年齢",60.4,-,-,62.9,-,62.5,-,59.5,-,60.0,-,61.2,-,58.7,-,57.9,-
10,"0","消費支出",370847,100.0,-1.9,116124,100.0,189110,100.0,248926,100.0,314869,100.0,391580,100.0,488139,100.0,843477,100.0
11,"2","基礎的支出",202542,54.6,-6.5,89560,77.1,131017,69.3,163687,65.8,193340,61.4,231115,59.0,254803,52.2,353039,41.9
12,"3","選択的支出",168305,45.4,4.3,26564,22.9,58092,30.7,85239,34.2,121529,38.6,160465,41.0,233336,47.8,490438,58.1
13,"1","食料",121770,32.8,4.3,64724,55.7,86101,45.5,99754,40.1,125244,39.8,138416,35.3,162470,33.3,175137,20.8
14,"2","基礎的支出",95068,25.6,4.9,56750,48.9,71765,37.9,81848,32.9,98772,31.4,111354,28.4,118192,24.2,126462,15.0
15,"3","選択的支出",26702,7.2,2.1,7975,6.9,14335,7.6,17905,7.2,26472,8.4,27063,6.9,44278,9.1,48675,5.8
16,"1","住居",24540,6.6,-12.4,1147,1.0,2836,1.5,16718,6.7,19362,6.1,23275,5.9,28375,5.8,79677,9.4
