1,"東京都生計分析調査　令和 5年 9月","","","","","","","","","","","","","","","","","",""
2,"","","第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",627,-,-,97,-,88,-,92,-,94,-,88,-,84,-,84,-
7,"0","世帯人員",2.97,-,-,2.62,-,2.98,-,2.80,-,2.91,-,3.08,-,3.31,-,3.07,-
8,"0","有業人員",1.36,-,-,1.11,-,1.27,-,1.14,-,1.36,-,1.46,-,1.51,-,1.65,-
9,"0","世帯主平均年齢",59.5,-,-,64.3,-,61.5,-,61.1,-,60.3,-,54.8,-,57.6,-,56.7,-
10,"0","消費支出",314314,100.0,-2.8,101416,100.0,162887,100.0,211194,100.0,265218,100.0,320928,100.0,404608,100.0,731410,100.0
11,"2","基礎的支出",169866,54.0,-1.5,76598,75.5,110186,67.6,137243,65.0,174573,65.8,186515,58.1,211474,52.3,291692,39.9
12,"3","選択的支出",144448,46.0,-4.2,24819,24.5,52702,32.4,73951,35.0,90644,34.2,134413,41.9,193134,47.7,439717,60.1
13,"1","食料",100270,31.9,7.8,55708,54.9,77418,47.5,86873,41.1,99997,37.7,112720,35.1,129684,32.1,139009,19.0
14,"2","基礎的支出",77497,24.7,5.2,47132,46.5,64919,39.9,69901,33.1,82228,31.0,88712,27.6,97217,24.0,92107,12.6
15,"3","選択的支出",22773,7.2,18.1,8575,8.5,12499,7.7,16972,8.0,17769,6.7,24007,7.5,32467,8.0,46902,6.4
16,"1","住居",16664,5.3,-25.7,334,0.3,2857,1.8,9141,4.3,14058,5.3,22155,6.9,16562,4.1,51412,7.0
