1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,,,,,
2,,,,,,,第１０表　世帯類型別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,2133,-,6659,-,282,-,60,-,926,-,5332,-
7,0,0,0,0,0,調査世帯数,331,-,70,-,218,-,10,-,2,-,33,-,176,-
8,0,0,0,0,0,世帯人員,3.24,-,2.00,-,3.70,-,2.36,-,x,-,3.09,-,3.40,-
9,0,0,0,0,0,有業人員,1.80,-,1.53,-,1.93,-,1.50,-,x,-,1.52,-,2.22,-
10,0,0,0,0,0,世帯主平均年齢,51.1,-,55.5,-,49.5,-,55.3,-,x,-,50.8,-,49.8,-
11,1,0,0,0,0,受取,1460118,-,1436777,-,1551813,-,944262,-,x,-,1011556,-,1656727,-
12,1,1,0,0,0,実収入,628462,100.0,627014,100.0,656142,100.0,469030,100.0,x,x,481297,100.0,704659,100.0
13,1,2,0,0,0,経常収入,621883,99.0,624224,99.6,648054,98.8,468538,99.9,x,x,474989,98.7,700214,99.4
14,1,3,0,0,0,勤め先収入,557407,88.7,527764,84.2,608015,92.7,444526,94.8,x,x,296136,61.5,666136,94.5
15,1,4,0,0,0,世帯主収入,443906,70.6,405286,64.6,483821,73.7,376750,80.3,x,x,266276,55.3,466772,66.2
16,1,6,0,0,0,うち男,423024,67.3,395580,63.1,478786,73.0,135901,29.0,-,-,172662,35.9,457191,64.9
17,1,5,0,0,0,定期収入,430046,68.4,389712,62.2,468676,71.4,363128,77.4,x,x,265538,55.2,450647,64.0
18,1,5,0,0,0,臨時収入,6333,1.0,6441,1.0,7224,1.1,2868,0.6,-,-,738,0.2,6973,1.0
19,1,5,0,0,0,賞与,7526,1.2,9134,1.5,7922,1.2,10754,2.3,-,-,-,-,9153,1.3
20,1,4,0,0,0,世帯主の配偶者の収入,100064,15.9,122478,19.5,108741,16.6,-,-,-,-,16516,3.4,187501,26.6
21,1,6,0,0,0,うち女,95079,15.1,113360,18.1,105291,16.0,-,-,-,-,8494,1.8,178152,25.3
22,1,4,0,0,0,他の世帯員収入,13437,2.1,-,-,15453,2.4,67776,14.5,-,-,13343,2.8,11863,1.7
23,1,3,0,0,0,事業・内職収入,8755,1.4,16113,2.6,7311,1.1,3155,0.7,-,-,3902,0.8,10348,1.5
24,1,4,0,0,0,家賃収入,5452,0.9,14512,2.3,2997,0.5,-,-,-,-,3902,0.8,6042,0.9
25,1,4,0,0,0,他の事業収入,1634,0.3,-,-,2454,0.4,-,-,-,-,-,-,3065,0.4
26,1,4,0,0,0,内職収入,1669,0.3,1601,0.3,1860,0.3,3155,0.7,-,-,-,-,1240,0.2
27,1,3,0,0,0,他の経常収入,55721,8.9,80346,12.8,32728,5.0,20858,4.4,-,-,174951,36.3,23730,3.4
28,1,4,0,0,0,財産収入,379,0.1,1017,0.2,243,0.0,-,-,-,-,-,-,505,0.1
29,1,4,0,0,0,社会保障給付,55342,8.8,79330,12.7,32485,5.0,20858,4.4,-,-,174951,36.3,23225,3.3
30,1,5,0,0,0,公的年金給付,49341,7.9,71745,11.4,26153,4.0,20858,4.4,-,-,173150,36.0,22509,3.2
31,1,5,0,0,0,他の社会保障給付,6001,1.0,7585,1.2,6332,1.0,-,-,-,-,1801,0.4,716,0.1
32,1,4,0,0,0,仕送り金,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,1,2,0,0,0,特別収入,6580,1.0,2790,0.4,8089,1.2,492,0.1,-,-,6308,1.3,4445,0.6
34,1,3,0,0,0,受贈金,1706,0.3,47,0.0,2546,0.4,-,-,-,-,-,-,680,0.1
35,1,3,0,0,0,他の特別収入,4874,0.8,2743,0.4,5542,0.8,492,0.1,-,-,6308,1.3,3764,0.5
36,1,1,0,0,0,実収入以外の受取(繰入金を除く),552238,-,488248,-,602456,-,376100,-,x,-,392117,-,629828,-
37,1,2,0,0,0,預貯金引出,413890,-,340503,-,458344,-,317190,-,x,-,292671,-,482893,-
38,1,2,0,0,0,保険金,10455,-,20878,-,8232,-,-,-,-,-,5625,-,3966,-
39,1,3,0,0,0,個人・企業年金保険金,7922,-,14645,-,6423,-,-,-,-,-,5625,-,3966,-
40,1,3,0,0,0,他の保険金,2534,-,6233,-,1809,-,-,-,-,-,-,-,-,-
41,1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,1,2,0,0,0,他の借入金,685,-,-,-,936,-,-,-,-,-,664,-,1169,-
44,1,2,0,0,0,クレジット購入借入金,126637,-,124913,-,134712,-,58910,-,x,-,93158,-,140768,-
45,1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,1,2,0,0,0,実収入以外の受取のその他,571,-,1954,-,231,-,-,-,-,-,-,-,1033,-
47,1,1,0,0,0,繰入金,279417,-,321515,-,293215,-,99131,-,x,-,138142,-,322240,-
48,2,0,0,0,0,支払,1460118,-,1436777,-,1551813,-,944262,-,x,-,1011556,-,1656727,-
49,2,1,0,0,0,実支出,510767,-,484495,-,543161,-,418522,-,x,-,366416,-,578641,-
50,2,2,0,0,0,生計支出,397252,-,348744,-,427379,-,330664,-,x,-,312589,-,447740,-
51,2,3,0,0,0,消費支出,397252,100.0,348744,100.0,427379,100.0,330664,100.0,x,x,312589,100.0,447740,100.0
52,2,4,1,0,0,食料,97313,24.5,91001,26.1,102431,24.0,77814,23.5,x,x,80981,25.9,103363,23.1
53,2,5,1,1,0,穀類,7330,1.8,5783,1.7,7937,1.9,5059,1.5,x,x,7221,2.3,7695,1.7
54,2,6,1,1,1,米類,1636,0.4,984,0.3,1798,0.4,1200,0.4,x,x,2101,0.7,1705,0.4
55,2,6,1,1,2,パン,3373,0.8,2955,0.8,3601,0.8,1698,0.5,x,x,3208,1.0,3540,0.8
56,2,6,1,1,3,麺類,1760,0.4,1348,0.4,1919,0.4,1645,0.5,x,x,1595,0.5,1773,0.4
57,2,6,1,1,4,他の穀類,562,0.1,497,0.1,619,0.1,515,0.2,-,-,317,0.1,677,0.2
58,2,5,1,2,0,魚介類,5544,1.4,5111,1.5,5794,1.4,4885,1.5,x,x,4942,1.6,5475,1.2
59,2,6,1,2,1,生鮮魚介,3197,0.8,2692,0.8,3441,0.8,3166,1.0,x,x,2617,0.8,3041,0.7
