1,"東京都生計分析調査　令和 5年11月","","","","","","","","","","","","","","","","","",""
2,"","","第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",625,-,-,90,-,92,-,90,-,88,-,91,-,84,-,90,-
7,"0","世帯人員",2.93,-,-,2.81,-,2.60,-,2.89,-,2.97,-,3.17,-,3.08,-,3.00,-
8,"0","有業人員",1.35,-,-,1.14,-,1.18,-,1.26,-,1.28,-,1.56,-,1.36,-,1.69,-
9,"0","世帯主平均年齢",59.8,-,-,62.7,-,63.7,-,60.2,-,58.9,-,57.9,-,57.8,-,57.6,-
10,"0","消費支出",318458,100.0,-8.1,102806,100.0,168011,100.0,224473,100.0,273070,100.0,335032,100.0,427320,100.0,694616,100.0
11,"2","基礎的支出",170047,53.4,-10.5,77574,75.5,115443,68.7,139334,62.1,168351,61.7,183963,54.9,204878,47.9,299205,43.1
12,"3","選択的支出",148411,46.6,-5.3,25232,24.5,52568,31.3,85138,37.9,104719,38.3,151069,45.1,222442,52.1,395412,56.9
13,"1","食料",101740,31.9,4.4,56264,54.7,71209,42.4,92141,41.0,101034,37.0,109828,32.8,132815,31.1,148390,21.4
14,"2","基礎的支出",77104,24.2,4.9,48308,47.0,59569,35.5,73010,32.5,79240,29.0,84953,25.4,97018,22.7,97382,14.0
15,"3","選択的支出",24636,7.7,2.8,7955,7.7,11640,6.9,19131,8.5,21794,8.0,24875,7.4,35797,8.4,51008,7.3
16,"1","住居",19561,6.1,-43.5,1034,1.0,4622,2.8,11536,5.1,20431,7.5,24074,7.2,18008,4.2,56729,8.2
