1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,,,,
2,,,第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
5,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,調査世帯数,601,-,-,83,-,85,-,87,-,90,-,88,-,85,-,83,-
7,0,世帯人員,2.92,-,-,2.64,-,2.71,-,2.75,-,3.03,-,2.91,-,2.88,-,3.48,-
8,0,有業人員,1.41,-,-,1.01,-,1.12,-,1.20,-,1.66,-,1.50,-,1.59,-,1.80,-
9,0,世帯主平均年齢,59.8,-,-,66.6,-,63.0,-,59.7,-,60.3,-,59.0,-,56.3,-,53.8,-
10,0,消費支出,296643,100.0,3.8,103727,100.0,161336,100.0,206314,100.0,255725,100.0,305589,100.0,377612,100.0,663565,100.0
11,2,基礎的支出,176587,59.5,-1.0,80504,77.6,112592,69.8,144771,70.2,168455,65.9,187471,61.3,209966,55.6,331049,49.9
12,3,選択的支出,120056,40.5,11.9,23222,22.4,48744,30.2,61543,29.8,87270,34.1,118118,38.7,167646,44.4,332516,50.1
13,1,食料,87126,29.4,8.8,53087,51.2,71149,44.1,72580,35.2,90209,35.3,90078,29.5,106570,28.2,125671,18.9
14,2,基礎的支出,66622,22.5,2.2,46261,44.6,56504,35.0,59541,28.9,70239,27.5,66502,21.8,77906,20.6,89111,13.4
15,3,選択的支出,20504,6.9,37.6,6827,6.6,14645,9.1,13039,6.3,19970,7.8,23576,7.7,28664,7.6,36560,5.5
16,1,住居,24197,8.2,-19.7,1915,1.8,3079,1.9,18469,9.0,14655,5.7,33526,11.0,26261,7.0,71185,10.7
17,2,基礎的支出,21767,7.3,-22.3,1393,1.3,2525,1.6,17491,8.5,14439,5.6,27966,9.2,24400,6.5,63914,9.6
18,3,選択的支出,2430,0.8,15.4,523,0.5,554,0.3,979,0.5,216,0.1,5559,1.8,1860,0.5,7271,1.1
19,1,光熱・水道,33282,11.2,14.1,16914,16.3,29422,18.2,30988,15.0,39012,15.3,39854,13.0,38239,10.1,38243,5.8
20,2,基礎的支出,33282,11.2,14.1,16914,16.3,29422,18.2,30988,15.0,39012,15.3,39854,13.0,38239,10.1,38243,5.8
21,3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,1,家具・家事用品,8306,2.8,-5.8,2821,2.7,5555,3.4,5408,2.6,9078,3.5,8061,2.6,12177,3.2,14958,2.3
