1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,,,
2,,,,主　　要　　指　　標　　　１　　―　全　世　帯　―,,,,,,,,,,,,,,,,,
3,,,,注1）平成30年1月に調査で使用する家計簿を改正し順次変更を行ったため、平成31年・令和元年の「対前年増加率」の値には当該改正の影響による変動が含まれ得る。,,,,,,,,,,,,,,,,,
4,,,,注2）平成31年・令和元年からは、調査対象に農林漁家世帯を含めている。　※令和５年１月から３月の３か月分及び「令和５年１～３月」について、令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,,
5,,,,hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou1,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou3,hyoutou1
30,meimoku,nen,対前年（同期・同月）名目増加率_平成31年・令和元年平均,-,-,-,-,2.1,1.3,2.1,-1.4,-0.5,14.7,2.9,3.9,2.5,-5.5,4.0,-1.6,0.8,266.8
31,meimoku,nen,対前年（同期・同月）名目増加率_令和 2年平均,-,-,-,-,0.3,-2.2,2.6,16.8,1.1,10.4,-19.1,6.3,-6.5,-0.6,-15.8,-8.5,-3.9,215.1
32,meimoku,nen,対前年（同期・同月）名目増加率_令和 3年平均,-,-,-,-,2.8,1.0,0.2,-3.6,-6.1,1.2,-3.2,3.5,1.4,-0.4,2.6,7.1,13.7,52.6
33,meimoku,nen,対前年（同期・同月）名目増加率_令和 4年平均,-,-,-,-,-3.2,0.6,-1.7,1.0,15.5,-7.0,6.8,-5.5,0.7,2.3,8.2,-3.5,3.3,-72.3
34,meimoku,sihan,対前年（同期・同月）名目増加率_令和 4年 1～ 3月,-,-,-,-,-3.2,-4.1,-6.2,-1.4,9.8,-21.3,-5.2,-14.0,-4.9,-19.3,1.3,1.2,23.2,24.1
35,meimoku,sihan,対前年（同期・同月）名目増加率_令和 4年 4～ 6月,-,-,-,-,-3.1,-3.0,-4.7,26.5,14.4,-18.5,-2.8,-18.5,17.8,-7.6,4.1,-21.8,-33.4,-8.1
36,meimoku,sihan,対前年（同期・同月）名目増加率_令和 4年 7～ 9月,-,-,-,-,-7.3,6.5,0.5,-6.4,17.8,-4.2,24.0,2.2,-3.0,39.4,23.7,7.9,19.5,-97.5
37,meimoku,sihan,対前年（同期・同月）名目増加率_令和 4年10～12月,-,-,-,-,0.7,3.2,2.9,-9.5,22.0,15.2,14.3,9.4,-5.4,8.5,3.7,1.1,17.6,-100.0
38,meimoku,sihan,対前年（同期・同月）名目増加率_令和 5年 1～ 3月,-,-,-,-,2.8,7.4,10.0,-6.0,20.9,-5.0,8.7,7.7,1.5,23.3,30.5,-7.2,-13.5,-100.0
39,meimoku,tuki,対前年（同期・同月）名目増加率_令和 4年 3月,-,-,-,-,-7.3,-12.5,-5.7,-14.4,10.5,-31.6,-6.7,-8.8,-32.6,-22.7,-4.4,-15.1,14.2,...
40,meimoku,tuki,対前年（同期・同月）名目増加率_令和 4年 4月,-,-,-,-,-3.0,-5.2,-7.2,24.0,18.8,-32.6,-5.3,-19.8,43.5,-25.9,0.6,-22.0,-40.7,...
41,meimoku,tuki,対前年（同期・同月）名目増加率_令和 4年 5月,-,-,-,-,-4.8,-3.6,-3.7,28.4,14.9,-19.3,4.8,-9.8,-12.3,30.3,8.5,-28.9,-40.6,-100.0
42,meimoku,tuki,対前年（同期・同月）名目増加率_令和 4年 6月,-,-,-,-,-1.2,0.5,-3.2,27.6,8.4,-1.7,-7.2,-24.6,34.5,10.5,3.5,-13.1,-13.0,-42.6
43,meimoku,tuki,対前年（同期・同月）名目増加率_令和 4年 7月,-,-,-,-,2.9,4.3,0.6,12.4,17.1,-20.6,12.9,-10.6,-10.5,63.8,31.1,-3.1,11.7,-100.0
44,meimoku,tuki,対前年（同期・同月）名目増加率_令和 4年 8月,-,-,-,-,6.6,11.2,0.7,-20.7,18.6,-1.4,23.8,22.7,-1.3,29.3,30.1,38.6,62.4,-100.0
45,meimoku,tuki,対前年（同期・同月）名目増加率_令和 4年 9月,-,-,-,-,-24.5,4.3,0.2,-7.2,17.8,13.9,37.1,-4.4,2.9,32.4,10.2,-6.6,-9.6,-97.1
46,meimoku,tuki,対前年（同期・同月）名目増加率_令和 4年10月,-,-,-,-,2.3,2.3,4.4,4.2,18.6,9.1,35.9,14.5,-14.7,-31.4,6.1,8.7,31.6,-
47,meimoku,tuki,対前年（同期・同月）名目増加率_令和 4年11月,-,-,-,-,4.7,6.4,5.7,12.0,26.7,16.2,8.0,2.8,-10.4,53.4,5.1,-2.7,4.2,-100.0
48,meimoku,tuki,対前年（同期・同月）名目増加率_令和 4年12月,-,-,-,-,-3.9,1.2,-0.4,-33.6,21.4,19.5,2.6,11.5,12.2,42.4,0.5,-0.9,19.3,-100.0
49,meimoku,tuki,対前年（同期・同月）名目増加率_令和 5年 1月,-,-,-,-,9.3,9.3,11.7,19.0,35.8,-9.7,12.0,5.6,-8.8,26.7,36.5,-8.9,-23.0,-
50,meimoku,tuki,対前年（同期・同月）名目増加率_令和 5年 2月,-,-,-,-,-3.7,3.8,8.6,-19.7,14.1,-6.4,6.6,29.0,-13.2,22.8,16.3,-2.6,13.2,-100.0
51,meimoku,tuki,対前年（同期・同月）名目増加率_令和 5年 3月,-,-,-,-,2.7,8.8,9.6,-14.2,16.0,1.6,6.8,-5.1,27.4,20.9,36.9,-9.1,-24.6,-100.0
52,jissitu,nen,対前年（同期・同月）実質増加率_平成31年・令和元年平均,-,-,-,-,-,0.4,1.4,-2.3,-3.7,11.8,1.7,3.0,3.0,-4.5,2.3,-,0.3,-
53,jissitu,nen,対前年（同期・同月）実質増加率_令和 2年平均,-,-,-,-,-,-2.2,1.3,15.0,4.3,8.3,-20.6,5.5,-6.9,6.4,-15.1,-,-3.4,-
54,jissitu,nen,対前年（同期・同月）実質増加率_令和 3年平均,-,-,-,-,-,1.3,0.3,-5.0,-5.3,-1.3,-3.4,3.8,8.6,-1.0,0.5,-,12.5,-
55,jissitu,nen,対前年（同期・同月）実質増加率_令和 4年平均,-,-,-,-,-,-2.3,-5.9,-0.2,-3.3,-10.2,5.4,-4.9,3.7,1.8,7.0,-,2.0,-
56,jissitu,sihan,対前年（同期・同月）実質増加率_令和 4年 1～ 3月,-,-,-,-,-,-5.1,-8.8,-2.2,-6.6,-21.5,-6.2,-13.3,6.0,-20.5,0.1,-,22.0,-
57,jissitu,sihan,対前年（同期・同月）実質増加率_令和 4年 4～ 6月,-,-,-,-,-,-5.7,-8.5,24.9,-3.3,-21.2,-3.4,-17.7,20.4,-8.1,2.3,-,-34.2,-
58,jissitu,sihan,対前年（同期・同月）実質増加率_令和 4年 7～ 9月,-,-,-,-,-,3.1,-3.8,-7.4,-2.2,-8.0,22.9,3.1,-2.6,39.3,21.9,-,17.7,-
59,jissitu,sihan,対前年（同期・同月）実質増加率_令和 4年10～12月,-,-,-,-,-,-1.3,-3.6,-10.7,0.3,8.1,11.2,9.4,-7.3,8.4,3.7,-,15.9,-
60,jissitu,sihan,対前年（同期・同月）実質増加率_令和 5年 1～ 3月,-,-,-,-,-,2.7,2.4,-7.7,10.7,-12.3,3.9,6.7,-1.2,22.6,28.3,-,-14.9,-
61,jissitu,tuki,対前年（同期・同月）実質増加率_令和 4年 3月,-,-,-,-,-,-13.8,-8.7,-14.9,-8.1,-31.9,-7.5,-8.1,-25.2,-23.8,-5.7,-,13.1,-
62,jissitu,tuki,対前年（同期・同月）実質増加率_令和 4年 4月,-,-,-,-,-,-7.9,-10.9,22.8,-0.6,-34.2,-5.9,-19.1,46.4,-26.6,-1.2,-,-41.4,-
63,jissitu,tuki,対前年（同期・同月）実質増加率_令和 4年 5月,-,-,-,-,-,-6.3,-7.8,26.6,-2.5,-21.9,4.3,-8.9,-10.1,30.0,6.7,-,-41.3,-
64,jissitu,tuki,対前年（同期・同月）実質増加率_令和 4年 6月,-,-,-,-,-,-2.2,-6.8,25.6,-7.7,-5.9,-7.7,-23.9,37.7,10.4,2.0,-,-14.0,-
65,jissitu,tuki,対前年（同期・同月）実質増加率_令和 4年 7月,-,-,-,-,-,1.2,-3.6,10.8,-2.0,-23.2,12.1,-9.8,-9.3,63.6,30.1,-,10.3,-
66,jissitu,tuki,対前年（同期・同月）実質増加率_令和 4年 8月,-,-,-,-,-,7.4,-3.8,-21.6,-2.3,-4.6,23.3,23.9,-1.4,29.2,28.2,-,59.8,-
67,jissitu,tuki,対前年（同期・同月）実質増加率_令和 4年 9月,-,-,-,-,-,0.9,-3.8,-8.0,-2.1,7.9,35.2,-3.5,3.2,32.3,7.9,-,-10.9,-
68,jissitu,tuki,対前年（同期・同月）実質増加率_令和 4年10月,-,-,-,-,-,-1.9,-1.6,2.8,-1.8,3.1,32.7,14.4,-16.1,-31.5,5.3,-,29.9,-
69,jissitu,tuki,対前年（同期・同月）実質増加率_令和 4年11月,-,-,-,-,-,1.7,-1.1,10.3,4.4,8.1,5.3,2.7,-12.0,53.2,5.4,-,2.7,-
70,jissitu,tuki,対前年（同期・同月）実質増加率_令和 4年12月,-,-,-,-,-,-3.4,-6.9,-34.6,-0.9,11.7,-0.9,11.4,9.5,42.3,0.9,-,17.5,-
71,jissitu,tuki,対前年（同期・同月）実質増加率_令和 5年 1月,-,-,-,-,-,3.7,4.0,17.2,10.6,-15.8,6.6,5.2,-11.1,26.6,34.4,-,-24.3,-
72,jissitu,tuki,対前年（同期・同月）実質増加率_令和 5年 2月,-,-,-,-,-,-0.4,1.1,-21.0,8.8,-14.0,2.2,28.0,-15.4,21.8,14.8,-,11.2,-
73,jissitu,tuki,対前年（同期・同月）実質増加率_令和 5年 3月,-,-,-,-,-,4.5,1.9,-15.8,15.3,-6.9,2.4,-6.4,24.1,19.8,33.8,-,-25.8,-
