1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第４表　年間収入区分別及び住居所有形態別１世帯当たり１か月間の収入と用途別生計支出　―　無職世帯　―　,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,8223,-,2999,-,2148,-,7001,-,6075,-,1777,-
7,0,0,0,0,0,調査世帯数,186,-,-,154,-,54,-,39,-,132,-,115,-,32,-
8,0,0,0,0,0,世帯人員,2.33,-,-,2.33,-,2.23,-,2.33,-,2.37,-,2.33,-,2.31,-
9,0,0,0,0,0,有業人員,0.45,-,-,0.46,-,0.21,-,0.22,-,0.56,-,0.54,-,0.42,-
10,0,0,0,0,0,世帯主平均年齢,74.7,-,-,75.2,-,75.5,-,77.0,-,74.4,-,74.6,-,72.5,-
11,1,0,0,0,0,受取,805347,-,-6.5,818328,-,614974,-,557725,-,886901,-,910458,-,745285,-
12,1,1,0,0,0,実収入,385492,100.0,-2.5,403103,100.0,269133,100.0,273918,100.0,435339,100.0,448773,100.0,304012,100.0
13,1,2,0,0,0,経常収入,379974,98.6,-1.9,397242,98.5,265619,98.7,271027,98.9,428963,98.5,441862,98.5,300082,98.7
14,1,3,0,0,0,勤め先収入,32745,8.5,53.3,27745,6.9,9836,3.7,10037,3.7,42559,9.8,34005,7.6,55879,18.4
15,1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
