1,東京都生計分析調査　令和 5年 6月,,,,,,,,,
2,,,主　　要　　指　　標　　　４　　―　全世帯，生計支出７分位階層別　―,,,,,,,
3,,,公共的料金負担率　　　〔＝（公共的料金÷消費支出） ×１００〕　※令和５年１月から６月の６か月分について、令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,
4,年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
5,nen,平成28年平均,27.6,28.5,29.4,29.1,28.8,27.5,26.6,26.7
6,nen,平成29年平均,26.9,27.6,28.5,28.6,27.8,27.3,25.8,26.2
7,nen,平成30年平均,27.6,28.9,30.7,28.1,27.9,27.4,26.1,27.4
8,nen,平成31年・令和元年平均,26.7,28.2,28.5,28.9,27.1,25.9,26.4,25.9
9,nen,令和 2年平均,27.2,27.8,28.8,29.3,28.4,26.6,26.3,26.4
10,nen,令和 3年平均,26.2,26.0,28.6,27.2,26.9,25.6,25.7,25.8
11,nen,令和 4年平均,27.2,27.4,29.6,29.8,28.6,26.7,26.5,26.1
12,tuki,令和 4年 6月,27.2,24.2,32.0,29.2,27.4,26.4,29.4,24.9
13,tuki,令和 4年 7月,24.6,25.6,27.0,27.2,26.2,25.8,26.4,21.5
14,tuki,令和 4年 8月,26.0,23.9,28.9,29.7,27.3,26.6,25.5,24.3
15,tuki,令和 4年 9月,29.3,26.7,28.8,29.4,30.1,25.2,26.5,32.5
16,tuki,令和 4年10月,28.6,28.2,30.4,29.6,25.9,28.2,26.1,30.5
17,tuki,令和 4年11月,26.2,26.4,28.5,30.2,27.3,26.7,25.2,24.5
18,tuki,令和 4年12月,24.4,26.9,26.2,25.7,24.1,27.1,23.9,22.3
19,tuki,令和 5年 1月,27.2,30.8,31.0,32.8,29.8,30.8,23.8,23.6
20,tuki,令和 5年 2月,30.5,29.7,32.3,35.8,33.6,33.2,28.6,27.1
21,tuki,令和 5年 3月,27.6,29.8,33.2,31.1,30.0,28.3,26.9,24.3
22,tuki,令和 5年 4月,34.9,25.0,30.5,26.8,29.6,28.3,29.2,44.7
23,tuki,令和 5年 5月,28.3,25.3,26.4,27.6,27.8,27.5,26.6,31.1
24,tuki,令和 5年 6月,26.0,24.2,26.4,26.9,25.5,25.1,24.9,26.9
5.5,25.1,収入／他の経常収入／社会保障給付（円）","実収入／特別収入（円）","可処分所得（円）","消費支出（円）","消費支出／食料（円）","消費支出／住居（円）","消費支出／光熱・水道（円）","消費支出／家具・家事用品（円）","消費支出／被服及び履物（円）","消費支出／保健医療（円）","消費支出／交通・通信（円）","消費支出／教育（円）","消費支出／教養娯楽（円）","消費支出／その他の消費支出（円）"
8,"Jissu","nen","実数_平成31年・令和元年平均",241,2.34,0.45,75.1,223225,217352,25747,7776,17971,5904,185701,180681,5873,188050,269148,78516,18849,20576,11172,8897,17761,25100,2119,31913,54246
9,"Jissu","nen","実数_令和 2年平均",222,2.38,0.46,75.1,260776,234119,26369,6890,19479,12544,195206,189701,26657,223687,263689,82388,22975,22219,11414,6156,20467,25486,1684,24980,45919
10,"Jissu","nen","実数_令和 3年平均",214,2.34,0.43,75.1,235231,228818,32643,9198,23445,6694,189480,183738,6413,195835,253223,79382,23196,20297,11282,6594,18792,20104,2351,24759,46466
11,"Jissu","nen","実数_令和 4年平均",211,2.25,0.41,75.3,248209,230354,27815,13357,14458,8229,194309,185240,17855,214648,265685,79514,23096,22860,10720,5945,18901,27463,636,27505,49046
12,"Jissu","sihan","実数_令和 4年 7～ 9月",210,2.24,0.42,75.4,176783,173057,29224,13142,16082,8983,134850,129849,3725,150020,253404,79242,19268,19492,11385,4810,22989,21122,202,30697,44197
13,"Jissu","sihan","実数_令和 4年10～12月",196,2.25,0.42,75.3,321938,302697,37349,23002,14347,8480,256869,238423,19240,284989,281742,86933,27916,21644,13031,7472,20128,27176,302,28274,48866
14,"Jissu","sihan","実数_令和 5年 1～ 3月",182,2.33,0.46,74.7,175766,165292,33389,18491,14898,8067,123837,119355,10475,150637,248826,75762,17644,32593,7192,5685,15488,22908,1623,28203,41729
15,"Jissu","sihan","実数_令和 5年 4～ 6月",183,2.39,0.50,74.5,293915,285220,30017,12690,17327,6156,249046,236942,8695,244570,252411,82278,21801,21966,8710,6682,16104,23883,717,26889,43381
16,"Jissu","sihan","実数_令和 5年 7～ 9月",200,2.41,0.51,74.9,190108,182390,43683,16702,26981,7093,131614,124697,7717,160229,274231,86635,19851,18604,13037,5085,17620,26990,1612,31169,53628
17,"Jissu","tuki","実数_令和 4年10月",204,2.26,0.40,75.2,423439,417322,31406,15421,15985,8790,377127,368566,6116,375111,271938,82710,13790,21201,16256,8878,20176,33894,791,30352,43892
18,"Jissu","tuki","実数_令和 4年11月",193,2.24,0.41,75.7,101477,61786,34361,23927,10434,6846,20578,4477,39691,86303,282862,78883,49869,19354,13482,7308,19333,26097,39,27519,40976
19,"Jissu","tuki","実数_令和 4年12月",191,2.25,0.44,75.1,440899,428984,46279,29658,16621,9803,372903,342226,11914,393553,290427,99207,20090,24376,9355,6230,20874,21537,76,26952,61730
20,"Jissu","tuki","実数_令和 5年 1月",180,2.32,0.47,75.1,68093,58129,34975,20618,14357,7292,15863,11195,9964,49362,256231,73509,21770,30538,8289,6387,15541,21964,3512,27246,47475
21,"Jissu","tuki","実数_令和 5年 2月",186,2.33,0.45,74.7,385492,379974,32745,15961,16784,10362,336867,331724,5518,344227,229995,71833,19373,34365,7352,4205,13948,18737,1213,29453,29518
22,"Jissu","tuki","実数_令和 5年 3月",181,2.33,0.47,74.4,73714,57772,32446,18894,13553,6546,18780,15146,15942,58323,260253,81944,11790,32876,5934,6462,16975,28022,145,27910,48195
23,"Jissu","tuki","実数_令和 5年 4月",179,2.36,0.46,74.1,373405,360985,22110,13230,8880,4108,334768,332036,12420,343791,258455,80048,24481,25322,7709,6733,17235,23024,2043,30579,41281
24,"Jissu","tuki","実数_令和 5年 5月",181,2.41,0.54,74.5,53966,49482,28433,11654,16779,6448,14601,10874,4484,22498,231253,84667,14851,21612,8245,5527,13134,22001,75,22669,38474
25,"Jissu","tuki","実数_令和 5年 6月",190,2.39,0.49,74.8,454374,445192,39508,13187,26322,7913,397770,367915,9182,367421,267526,82120,26071,18964,10177,7786,17944,26623,33,27419,50389
26,"Jissu","tuki","実数_令和 5年 7月",189,2.43,0.51,75.1,68992,62974,45444,17339,28104,6962,10568,3539,6018,42104,264694,85894,16020,17918,13209,6251,17053,22908,4433,28725,52283
27,"Jissu","tuki","実数_令和 5年 8月",199,2.41,0.53,74.6,431839,421494,42209,15895,26314,7447,371837,364680,10345,388577,300560,88091,37913,18175,15881,4524,17426,25598,202,33181,59569
28,"Jissu","tuki","実数_令和 5年 9月",213,2.39,0.49,74.9,69492,62703,43397,16872,26526,6869,12436,5873,6789,50005,257440,85921,5621,19719,10022,4481,18380,32464,201,31600,49031
29,"Jissu","tuki","実数_令和 5年10月",213,2.36,0.47,75.6,436611,428253,39807,19697,20109,8582,379865,374844,8358,381247,278898,88238,22460,21002,11317,8917,21655,22846,2480,32646,47334
30,"meimoku","nen","対前年（同期・同月）名目増加率_平成31年・令和元年平均",-,-,-,-,9.4,10.3,30.6,14.0,39.4,22.9,7.6,8.5,-15.4,9.3,0.5,-0.9,-9.9,-5.3,9.5,20.3,4.5,-3.9,69.9,7.2,-0.2
31,"meimoku","nen","対前年（同期・同月）名目増加率_令和 2年平均",-,-,-,-,16.8,7.7,2.4,-11.4,8.4,112.5,5.1,5.0,353.9,19.0,-2.0,4.9,21.9,8.0,2.2,-30.8,15.2,1.5,-20.5,-21.7,-15.4
32,"meimoku","nen","対前年（同期・同月）名目増加率_令和 3年平均",-,-,-,-,-9.8,-2.3,23.8,33.5,20.4,-46.6,-2.9,-3.1,-75.9,-12.5,-4.0,-3.6,1.0,-8.7,-1.2,7.1,-8.2,-21.1,39.6,-0.9,1.2
33,"meimoku","nen","対前年（同期・同月）名目増加率_令和 4年平均",-,-,-,-,5.5,0.7,-14.8,45.2,-38.3,22.9,2.5,0.8,178.4,9.6,4.9,0.2,-0.4,12.6,-5.0,-9.8,0.6,36.6,-72.9,11.1,5.6
34,"meimoku","sihan","対前年（同期・同月）名目増加率_令和 4年 7～ 9月",-,-,-,-,-4.2,-2.4,-7.0,68.6,-32.0,83.5,-4.4,-5.5,-48.4,-2.5,4.9,2.1,-12.6,20.1,-5.2,-5.3,32.6,4.5,-59.1,25.9,-4.2
35,"meimoku","sihan","対前年（同期・同月）名目増加率_令和 4年10～12月",-,-,-,-,9.2,4.3,14.0,237.2,-44.7,1.0,3.1,-1.5,341.7,10.3,4.2,2.0,10.4,17.7,10.0,0.0,19.4,26.0,-51.9,-8.4,-6.2
36,"meimoku","sihan","対前年（同期・同月）名目増加率_令和 5年 1～ 3月",-,-,-,-,4.1,5.2,58.6,164.6,6.0,2.9,-3.5,-3.7,-10.6,6.1,-3.5,2.8,1.1,20.2,-14.5,10.9,-3.9,-18.4,263.1,17.7,-27.2
37,"meimoku","sihan","対前年（同期・同月）名目増加率_令和 5年 4～ 6月",-,-,-,-,-9.6,-1.1,27.0,23.2,29.8,-19.1,-3.2,-4.7,-76.3,-13.2,-6.5,5.3,-21.4,-5.3,-13.3,4.9,-1.6,-28.6,-55.0,-0.7,-5.3
38,"meimoku","sihan","対前年（同期・同月）名目増加率_令和 5年 7～ 9月",-,-,-,-,7.5,5.4,49.5,27.1,67.8,-21.0,-2.4,-4.0,107.2,6.8,8.2,9.3,3.0,-4.6,14.5,5.7,-23.4,27.8,698.0,1.5,21.3
