1,"東京都生計分析調査　令和 5年 8月","","","","","","","","","","","","","","","","","",""
2,"","","第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",617,-,-,89,-,89,-,91,-,90,-,92,-,81,-,85,-
7,"0","世帯人員",2.97,-,-,2.63,-,2.94,-,2.81,-,3.02,-,3.21,-,3.08,-,3.11,-
8,"0","有業人員",1.39,-,-,1.17,-,1.25,-,1.41,-,1.46,-,1.43,-,1.51,-,1.51,-
9,"0","世帯主平均年齢",58.9,-,-,63.5,-,61.0,-,61.4,-,57.5,-,55.4,-,57.1,-,56.5,-
10,"0","消費支出",348758,100.0,6.3,109114,100.0,172951,100.0,221392,100.0,271259,100.0,344137,100.0,446385,100.0,870263,100.0
11,"2","基礎的支出",202485,58.1,9.9,81848,75.0,117747,68.1,152591,68.9,169510,62.5,195179,56.7,228846,51.3,468623,53.8
12,"3","選択的支出",146273,41.9,1.7,27266,25.0,55204,31.9,68801,31.1,101749,37.5,148958,43.3,217539,48.7,401639,46.2
13,"1","食料",105360,30.2,10.4,60727,55.7,73740,42.6,89551,40.4,105263,38.8,118553,34.4,137975,30.9,150953,17.3
14,"2","基礎的支出",80145,23.0,6.2,50959,46.7,60499,35.0,73152,33.0,83074,30.6,89324,26.0,101040,22.6,102505,11.8
15,"3","選択的支出",25215,7.2,26.4,9768,9.0,13241,7.7,16399,7.4,22189,8.2,29229,8.5,36935,8.3,48448,5.6
16,"1","住居",37583,10.8,77.9,1607,1.5,3894,2.3,18435,8.3,16763,6.2,20156,5.9,32373,7.3,168539,19.4
