1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,,,,,
2,,,,,,,第１０表　世帯類型別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,2227,-,6763,-,247,-,82,-,763,-,5710,-
7,0,0,0,0,0,調査世帯数,325,-,72,-,219,-,7,-,2,-,27,-,182,-
8,0,0,0,0,0,世帯人員,3.24,-,2.00,-,3.68,-,2.17,-,x,-,3.30,-,3.40,-
9,0,0,0,0,0,有業人員,1.79,-,1.55,-,1.90,-,1.83,-,x,-,1.54,-,2.16,-
10,0,0,0,0,0,世帯主平均年齢,50.8,-,54.6,-,49.3,-,60.6,-,x,-,49.2,-,49.1,-
11,1,0,0,0,0,受取,1425250,-,1672857,-,1412378,-,823466,-,x,-,1011916,-,1659118,-
12,1,1,0,0,0,実収入,642938,100.0,644298,100.0,669461,100.0,491549,100.0,x,x,453044,100.0,743219,100.0
13,1,2,0,0,0,経常収入,629874,98.0,624912,97.0,656960,98.1,490167,99.7,x,x,449644,99.2,725940,97.7
14,1,3,0,0,0,勤め先収入,564687,87.8,537489,83.4,610199,91.1,376672,76.6,x,x,301741,66.6,678264,91.3
15,1,4,0,0,0,世帯主収入,443064,68.9,399483,62.0,484531,72.4,261886,53.3,x,x,261513,57.7,476115,64.1
16,1,6,0,0,0,うち男,425231,66.1,389491,60.5,475489,71.0,54462,11.1,-,-,204318,45.1,462390,62.2
17,1,5,0,0,0,定期収入,434070,67.5,377897,58.7,478397,71.5,261802,53.3,x,x,261025,57.6,464867,62.5
18,1,5,0,0,0,臨時収入,2632,0.4,3289,0.5,2751,0.4,84,0.0,-,-,488,0.1,2672,0.4
19,1,5,0,0,0,賞与,6362,1.0,18297,2.8,3383,0.5,-,-,-,-,-,-,8576,1.2
20,1,4,0,0,0,世帯主の配偶者の収入,112706,17.5,138005,21.4,117666,17.6,-,-,-,-,31467,6.9,196783,26.5
21,1,6,0,0,0,うち女,106088,16.5,132307,20.5,110930,16.6,-,-,-,-,21078,4.7,185194,24.9
22,1,4,0,0,0,他の世帯員収入,8917,1.4,-,-,8002,1.2,114786,23.4,-,-,8761,1.9,5365,0.7
