1,"東京都生計分析調査　令和 5年 7月","","","","","","","","","","","","","","","","","",""
2,"","","第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",621,-,-,93,-,92,-,85,-,88,-,90,-,86,-,87,-
7,"0","世帯人員",2.97,-,-,2.76,-,2.88,-,2.93,-,2.94,-,2.91,-,3.20,-,3.17,-
8,"0","有業人員",1.42,-,-,1.18,-,1.40,-,1.36,-,1.44,-,1.45,-,1.54,-,1.58,-
9,"0","世帯主平均年齢",58.7,-,-,63.1,-,58.3,-,58.7,-,60.0,-,58.0,-,56.2,-,56.5,-
10,"0","消費支出",319403,100.0,1.4,107372,100.0,171569,100.0,217987,100.0,265886,100.0,323312,100.0,414548,100.0,730202,100.0
11,"2","基礎的支出",175674,55.0,0.3,81081,75.5,115150,67.1,144863,66.5,162768,61.2,182380,56.4,226285,54.6,315468,43.2
12,"3","選択的支出",143730,45.0,2.7,26291,24.5,56418,32.9,73124,33.5,103118,38.8,140932,43.6,188263,45.4,414734,56.8
13,"1","食料",103650,32.5,10.6,59346,55.3,76862,44.8,87437,40.1,97198,36.6,105913,32.8,137674,33.2,160425,22.0
14,"2","基礎的支出",79439,24.9,7.8,52082,48.5,62346,36.3,72508,33.3,77383,29.1,80887,25.0,102443,24.7,108087,14.8
15,"3","選択的支出",24211,7.6,20.8,7264,6.8,14515,8.5,14929,6.8,19815,7.5,25026,7.7,35232,8.5,52338,7.2
16,"1","住居",21400,6.7,-10.7,978,0.9,6405,3.7,12789,5.9,14725,5.5,21048,6.5,35185,8.5,58261,8.0
