1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","",""
2,"","","","","","","第６表　世帯人員別１世帯当たり年平均１か月間の用途別生計支出　―　全　世　帯　―","","","","","","","","",""
3,"","","","","","","注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","2人／実数（円）","2人／構成比（％）","3人／実数（円）","3人／構成比（％）","4人／実数（円）","4人／構成比（％）","5人以上／実数（円）","5人以上／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,4318,-,2737,-,2307,-,637,-
7,"0","0","0","0","0","調査世帯数",615,-,270,-,165,-,140,-,40,-
8,"0","0","0","0","0","世帯人員",2.95,-,2.00,-,3.00,-,4.00,-,5.31,-
9,"0","0","0","0","0","有業人員",1.40,-,0.86,-,1.61,-,2.03,-,1.86,-
10,"0","0","0","0","0","世帯主平均年齢",59.5,-,67.1,-,57.8,-,49.9,-,49.9,-
11,"2","2","0","0","0","生計支出",340041,-,305172,-,356376,-,371270,-,390667,-
12,"2","3","0","0","0","消費支出",335174,100.0,297814,100.0,350265,100.0,371270,100.0,390667,100.0
13,"2","4","1","0","0","食料",96298,28.7,83800,28.1,101471,29.0,106457,28.7,121595,31.1
14,"2","5","1","1","0","穀類",7047,2.1,5686,1.9,7307,2.1,8399,2.3,10205,2.6
15,"2","6","1","1","1","米類",1601,0.5,1192,0.4,1702,0.5,1950,0.5,2649,0.7
16,"2","6","1","1","2","パン",3193,1.0,2677,0.9,3336,1.0,3713,1.0,4216,1.1
17,"2","6","1","1","3","麺類",1710,0.5,1361,0.5,1763,0.5,2066,0.6,2536,0.6
18,"2","6","1","1","4","他の穀類",543,0.2,456,0.2,506,0.1,669,0.2,805,0.2
19,"2","5","1","2","0","魚介類",6467,1.9,6316,2.1,6967,2.0,5903,1.6,7245,1.9
20,"2","6","1","2","1","生鮮魚介",3643,1.1,3432,1.2,4062,1.2,3439,0.9,3939,1.0
21,"2","6","1","2","2","塩干魚介",1152,0.3,1167,0.4,1185,0.3,1016,0.3,1389,0.4
22,"2","6","1","2","3","魚肉練製品",709,0.2,760,0.3,703,0.2,614,0.2,726,0.2
23,"2","6","1","2","4","他の魚介加工品",962,0.3,958,0.3,1016,0.3,835,0.2,1190,0.3
24,"2","5","1","3","0","肉類",8909,2.7,6579,2.2,9312,2.7,11004,3.0,15354,3.9
25,"2","6","1","3","1","生鮮肉",7307,2.2,5327,1.8,7612,2.2,9116,2.5,12827,3.3
26,"2","6","1","3","2","加工肉",1602,0.5,1252,0.4,1700,0.5,1888,0.5,2527,0.6
27,"2","5","1","4","0","乳卵類",4881,1.5,4147,1.4,5043,1.4,5621,1.5,6518,1.7
