1,"東京都生計分析調査　令和 5年11月","","","","","","","","","","","","","","",""
2,"","","","","","","第６表　世帯人員別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―　","","","","","","","","",""
3,"","","","","","","注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","2人／実数（円）","2人／構成比（％）","3人／実数（円）","3人／構成比（％）","4人／実数（円）","4人／構成比（％）","5人以上／実数（円）","5人以上／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,2388,-,3203,-,3368,-,1041,-
7,"0","0","0","0","0","調査世帯数",332,-,81,-,103,-,113,-,35,-
8,"0","0","0","0","0","世帯人員",3.32,-,2.00,-,3.00,-,4.00,-,5.14,-
9,"0","0","0","0","0","有業人員",1.80,-,1.54,-,1.81,-,1.95,-,1.88,-
10,"0","0","0","0","0","世帯主平均年齢",49.8,-,52.9,-,51.0,-,47.5,-,46.4,-
11,"1","0","0","0","0","受取",1569893,-,1537229,-,1399705,-,1845406,-,1277193,-
12,"1","1","0","0","0","実収入",627176,100.0,567786,100.0,640965,100.0,658200,100.0,620633,100.0
13,"1","2","0","0","0","経常収入",619449,98.8,563527,99.2,631372,98.5,649098,98.6,615141,99.1
14,"1","3","0","0","0","勤め先収入",590771,94.2,532557,93.8,607449,94.8,615016,93.4,594574,95.8
15,"1","4","0","0","0","世帯主収入",489790,78.1,450614,79.4,522043,81.4,497574,75.6,455238,73.4
16,"1","6","0","0","0","うち男",463579,73.9,413546,72.8,500232,78.0,474196,72.0,431229,69.5
17,"1","5","0","0","0","定期収入",474581,75.7,440189,77.5,492427,76.8,488259,74.2,454324,73.2
18,"1","5","0","0","0","臨時収入",2614,0.4,1439,0.3,3486,0.5,3144,0.5,914,0.1
19,"1","5","0","0","0","賞与",12594,2.0,8987,1.6,26130,4.1,6171,0.9,-,-
20,"1","4","0","0","0","世帯主の配偶者の収入",83655,13.3,62421,11.0,71877,11.2,96530,14.7,126967,20.5
