1,東京都生計分析調査　令和 5年 1月,,,,,,,,,,,,,,,,,,,
2,,,,第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
5,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,0,調査世帯数,321,-,-,48,-,44,-,47,-,51,-,45,-,46,-,40,-
7,0,0,世帯人員,3.18,-,-,2.84,-,3.06,-,3.19,-,3.12,-,3.31,-,3.36,-,3.40,-
8,0,0,有業人員,1.80,-,-,1.63,-,1.70,-,1.69,-,1.83,-,1.85,-,1.85,-,2.04,-
9,0,0,世帯主平均年齢,50.9,-,-,58.0,-,54.7,-,50.0,-,50.0,-,47.1,-,46.9,-,49.9,-
10,0,0,消費支出,374777,-,7.1,251336,-,331817,-,339181,-,359331,-,370751,-,421251,-,545164,-
11,0,0,公共的料金,99916,26.7,14.7,80969,32.2,83629,25.2,94718,27.9,107912,30.0,99360,26.8,117081,27.8,115171,21.1
12,1,0,公共料金等,67953,18.1,23.0,55401,22.0,57622,17.4,75696,22.3,66043,18.4,62394,16.8,73990,17.6,84085,15.4
13,1,1,米,1544,0.4,8.6,1586,0.6,910,0.3,1739,0.5,1545,0.4,1799,0.5,1216,0.3,2016,0.4
14,1,1,食塩,34,0.0,13.3,22,0.0,51,0.0,19,0.0,39,0.0,14,0.0,29,0.0,62,0.0
15,1,1,学校給食,1593,0.4,35.2,762,0.3,686,0.2,1396,0.4,1432,0.4,1549,0.4,2724,0.6,2576,0.5
16,1,1,公営家賃,4016,1.1,5.0,3653,1.5,5087,1.5,9416,2.8,4512,1.3,-,-,5452,1.3,-,-
17,1,1,電気代,13616,3.6,39.6,12882,5.1,11078,3.3,14758,4.4,15107,4.2,12803,3.5,13638,3.2,15004,2.8
18,1,1,都市ガス,9889,2.6,45.0,10611,4.2,9543,2.9,9075,2.7,8438,2.3,9476,2.6,10493,2.5,11553,2.1
19,1,1,上下水道料,6037,1.6,57.5,4559,1.8,5531,1.7,8238,2.4,6418,1.8,4238,1.1,6498,1.5,6726,1.2
20,1,1,医科診療代,2831,0.8,-10.0,2747,1.1,2550,0.8,4222,1.2,2231,0.6,3441,0.9,2518,0.6,2152,0.4
21,1,1,歯科診療代,1632,0.4,4.8,840,0.3,579,0.2,847,0.2,893,0.2,725,0.2,6086,1.4,1406,0.3
22,1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,1,1,他の入院料,1343,0.4,542.6,-,-,-,-,-,-,1627,0.5,-,-,423,0.1,7196,1.3
24,1,1,鉄道運賃,4388,1.2,35.7,3223,1.3,4499,1.4,2686,0.8,4960,1.4,5067,1.4,5071,1.2,5178,0.9
25,1,1,鉄道通学定期代,390,0.1,112.0,431,0.2,-,-,-,-,972,0.3,-,-,1027,0.2,285,0.1
26,1,1,鉄道通勤定期代,3227,0.9,65.1,1193,0.5,1802,0.5,4007,1.2,773,0.2,6095,1.6,857,0.2,7869,1.4
27,1,1,バス代,404,0.1,171.1,197,0.1,198,0.1,394,0.1,426,0.1,241,0.1,804,0.2,560,0.1
28,1,1,バス通学定期代,13,0.0,-87.5,-,-,-,-,89,0.0,-,-,-,-,-,-,-,-
29,1,1,バス通勤定期代,41,0.0,-62.4,288,0.1,-,-,-,-,-,-,-,-,-,-,-,-
30,1,1,タクシー代,660,0.2,108.2,290,0.1,356,0.1,478,0.1,121,0.0,1409,0.4,214,0.1,1750,0.3
31,1,1,航空運賃,474,0.1,-10.6,935,0.4,-,-,-,-,484,0.1,-,-,-,-,1869,0.3
32,1,1,郵便料,277,0.1,-31.6,223,0.1,134,0.0,283,0.1,187,0.1,167,0.0,398,0.1,538,0.1
33,1,1,固定電話通信料,1181,0.3,17.0,1813,0.7,914,0.3,1352,0.4,1068,0.3,1134,0.3,918,0.2,1077,0.2
34,1,1,携帯電話通信料,10644,2.8,-7.0,7094,2.8,9443,2.8,10990,3.2,10103,2.8,11527,3.1,13041,3.1,12271,2.3
35,1,1,ＮＨＫ放送受信料,854,0.2,47.5,790,0.3,780,0.2,1419,0.4,446,0.1,258,0.1,63,0.0,2197,0.4
36,1,1,ケーブルテレビ放送受信料,1061,0.3,30.7,1051,0.4,1381,0.4,1630,0.5,971,0.3,676,0.2,1042,0.2,679,0.1
37,1,1,他の放送受信料,188,0.1,79.0,74,0.0,364,0.1,162,0.0,280,0.1,108,0.0,144,0.0,179,0.0
38,1,1,国公立小学校,253,0.1,13.5,-,-,290,0.1,300,0.1,601,0.2,344,0.1,196,0.0,43,0.0
39,1,1,国公立中学校,239,0.1,-52.4,-,-,347,0.1,197,0.1,673,0.2,-,-,292,0.1,156,0.0
40,1,1,国公立高校,41,0.0,36.7,-,-,-,-,-,-,127,0.0,99,0.0,64,0.0,-,-
41,1,1,国公立大学,74,0.0,-90.3,-,-,-,-,-,-,-,-,-,-,-,-,509,0.1
42,1,1,たばこ,1010,0.3,-2.3,136,0.1,1099,0.3,2000,0.6,1612,0.4,1225,0.3,782,0.2,232,0.0
43,2,0,準公共料金等,31963,8.5,0.5,25569,10.2,26006,7.8,19022,5.6,41869,11.7,36966,10.0,43091,10.2,31086,5.7
44,2,1,牛乳,1310,0.3,-2.7,1206,0.5,1292,0.4,972,0.3,1053,0.3,1204,0.3,1766,0.4,1661,0.3
45,2,1,灯油,584,0.2,-4.7,909,0.4,537,0.2,581,0.2,629,0.2,627,0.2,597,0.1,220,0.0
46,2,1,プロパンガス,511,0.1,29.4,126,0.1,742,0.2,262,0.1,968,0.3,1318,0.4,-,-,181,0.0
47,2,1,理髪料,493,0.1,1.6,350,0.1,814,0.2,310,0.1,489,0.1,243,0.1,907,0.2,328,0.1
48,2,1,パーマネント代,65,0.0,41.3,218,0.1,-,-,140,0.0,100,0.0,-,-,-,-,-,-
49,2,1,洗濯代,298,0.1,21.1,179,0.1,152,0.0,259,0.1,111,0.0,241,0.1,555,0.1,584,0.1
50,2,1,新聞,1485,0.4,3.5,1882,0.7,1178,0.4,1214,0.4,1140,0.3,1069,0.3,1431,0.3,2463,0.5
51,2,1,私立小学校,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,2,1,私立中学校,1517,0.4,-28.6,-,-,-,-,1825,0.5,5383,1.5,1388,0.4,428,0.1,1570,0.3
53,2,1,私立高校,6276,1.7,87.9,5610,2.2,-,-,-,-,21087,5.9,1649,0.4,1756,0.4,13484,2.5
54,2,1,私立大学,4244,1.1,23.8,4923,2.0,-,-,-,-,1333,0.4,2146,0.6,13651,3.2,7503,1.4
55,2,1,幼児教育費用,1232,0.3,-33.2,111,0.0,1142,0.3,776,0.2,471,0.1,1663,0.4,4467,1.1,-,-
56,2,1,民営家賃,13947,3.7,-15.0,10055,4.0,20150,6.1,12686,3.7,9105,2.5,25418,6.9,17533,4.2,3094,0.6
57,2,1,地代,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
