1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第３表　勤め先収入７分位階層別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―　,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
7,0,0,0,0,0,調査世帯数,344,-,-,50,-,50,-,46,-,49,-,50,-,51,-,48,-
8,0,0,0,0,0,世帯人員,3.23,-,-,2.86,-,3.00,-,3.31,-,3.42,-,3.19,-,3.46,-,3.36,-
9,0,0,0,0,0,有業人員,1.75,-,-,1.60,-,1.85,-,1.41,-,1.70,-,1.71,-,1.91,-,2.07,-
10,0,0,0,0,0,世帯主平均年齢,50.9,-,-,57.4,-,53.6,-,49.8,-,47.8,-,48.4,-,49.8,-,49.4,-
11,1,0,0,0,0,受取,1487693,-,14.4,886948,-,1298789,-,1147348,-,1488995,-,1504707,-,1555239,-,2513540,-
12,1,1,0,0,0,実収入,614895,100.0,10.5,110724,100.0,602351,100.0,421619,100.0,519765,100.0,611357,100.0,753581,100.0,1271202,100.0
13,1,2,0,0,0,経常収入,563081,91.6,3.8,104428,94.3,288917,48.0,412520,97.8,514420,99.0,596759,97.6,743697,98.7,1265418,99.5
14,1,3,0,0,0,勤め先収入,547298,89.0,4.3,77094,69.6,277344,46.0,389654,92.4,488713,94.0,594689,97.3,730615,97.0,1257498,98.9
15,1,4,0,0,0,世帯主収入,443948,72.2,3.7,71228,64.3,245456,40.7,352819,83.7,429787,82.7,502451,82.2,551210,73.1,942914,74.2
16,1,6,0,0,0,うち男,422938,68.8,4.2,49545,44.7,199360,33.1,343346,81.4,416969,80.2,470734,77.0,525449,69.7,942914,74.2
17,1,5,0,0,0,定期収入,421912,68.6,1.8,70873,64.0,241406,40.1,350197,83.1,426644,82.1,498789,81.6,539012,71.5,815740,64.2
18,1,5,0,0,0,臨時収入,3127,0.5,-15.9,355,0.3,4050,0.7,733,0.2,3143,0.6,2945,0.5,7885,1.0,2712,0.2
19,1,5,0,0,0,賞与,18909,3.1,89.4,-,-,-,-,1889,0.4,-,-,717,0.1,4314,0.6,124463,9.8
20,1,4,0,0,0,世帯主の配偶者の収入,90529,14.7,8.3,1711,1.5,21911,3.6,28947,6.9,55750,10.7,77204,12.6,157736,20.9,286975,22.6
21,1,6,0,0,0,うち女,85553,13.9,6.1,1711,1.5,16790,2.8,28947,6.9,50020,9.6,68636,11.2,142412,18.9,286975,22.6
22,1,4,0,0,0,他の世帯員収入,12821,2.1,-1.1,4156,3.8,9976,1.7,7888,1.9,3176,0.6,15034,2.5,21669,2.9,27608,2.2
23,1,3,0,0,0,事業・内職収入,8060,1.3,-13.2,17985,16.2,9200,1.5,16567,3.9,-,-,2070,0.3,8061,1.1,2741,0.2
24,1,4,0,0,0,家賃収入,4376,0.7,35.5,17985,16.2,1684,0.3,5031,1.2,-,-,-,-,6201,0.8,-,-
25,1,4,0,0,0,他の事業収入,1854,0.3,-62.9,-,-,4855,0.8,8095,1.9,-,-,-,-,-,-,-,-
26,1,4,0,0,0,内職収入,1830,0.3,73.3,-,-,2662,0.4,3440,0.8,-,-,2070,0.3,1860,0.2,2741,0.2
27,1,3,0,0,0,他の経常収入,7723,1.3,-9.9,9349,8.4,2374,0.4,6300,1.5,25707,4.9,-,-,5021,0.7,5179,0.4
28,1,4,0,0,0,財産収入,1170,0.2,-46.0,1691,1.5,289,0.0,729,0.2,-,-,-,-,295,0.0,5171,0.4
29,1,4,0,0,0,社会保障給付,6553,1.1,21.5,7658,6.9,2085,0.3,5571,1.3,25707,4.9,-,-,4726,0.6,8,0.0
30,1,5,0,0,0,公的年金給付,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,1,5,0,0,0,他の社会保障給付,6553,1.1,26.8,7658,6.9,2085,0.3,5571,1.3,25707,4.9,-,-,4726,0.6,8,0.0
32,1,4,0,0,0,仕送り金,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,1,2,0,0,0,特別収入,51814,8.4,268.0,6297,5.7,313433,52.0,9098,2.2,5345,1.0,14598,2.4,9884,1.3,5785,0.5
34,1,3,0,0,0,受贈金,1029,0.2,-88.4,7,0.0,-,-,1079,0.3,1876,0.4,4242,0.7,-,-,-,-
35,1,3,0,0,0,他の特別収入,50786,8.3,873.3,6290,5.7,313433,52.0,8019,1.9,3469,0.7,10356,1.7,9884,1.3,5785,0.5
36,1,1,0,0,0,実収入以外の受取(繰入金を除く),556855,-,15.8,373908,-,477081,-,469291,-,462517,-,573062,-,620349,-,916060,-
37,1,2,0,0,0,預貯金引出,414948,-,21.4,267896,-,405103,-,367562,-,351694,-,413239,-,455498,-,639578,-
38,1,2,0,0,0,保険金,4654,-,90.9,5278,-,-,-,-,-,3387,-,3378,-,-,-,20474,-
39,1,3,0,0,0,個人・企業年金保険金,1219,-,-50.0,5278,-,-,-,-,-,-,-,3378,-,-,-,-,-
40,1,3,0,0,0,他の保険金,3434,-,...,-,-,-,-,-,-,3387,-,-,-,-,-,20474,-
41,1,2,0,0,0,有価証券売却,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,1,2,0,0,0,他の借入金,466,-,-18.7,-,-,-,-,-,-,-,-,3280,-,-,-,-,-
44,1,2,0,0,0,クレジット購入借入金,136578,-,10.2,100734,-,71896,-,101729,-,107410,-,153165,-,163511,-,256008,-
