1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,,
2,,,,第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
5,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,0,調査世帯数,332,-,-,46,-,47,-,47,-,48,-,48,-,50,-,46,-
7,0,0,世帯人員,3.27,-,-,2.97,-,2.96,-,3.34,-,3.17,-,3.49,-,3.54,-,3.40,-
8,0,0,有業人員,1.78,-,-,1.59,-,1.71,-,1.70,-,1.66,-,1.81,-,1.94,-,2.07,-
9,0,0,世帯主平均年齢,51.1,-,-,56.7,-,54.2,-,51.9,-,47.8,-,49.8,-,48.3,-,49.3,-
10,0,0,消費支出,379798,-,9.2,254853,-,269834,-,348458,-,340179,-,380579,-,499052,-,562029,-
11,0,0,公共的料金,109675,28.9,11.2,78586,30.8,91150,33.8,100033,28.7,94279,27.7,95574,25.1,156998,31.5,150154,26.7
12,1,0,公共料金等,72041,19.0,7.3,52970,20.8,70906,26.3,76321,21.9,73299,21.5,68457,18.0,80863,16.2,80900,14.4
13,1,1,米,1864,0.5,4.1,2256,0.9,1191,0.4,1804,0.5,1372,0.4,1734,0.5,2602,0.5,2096,0.4
14,1,1,食塩,30,0.0,15.4,15,0.0,16,0.0,18,0.0,25,0.0,30,0.0,70,0.0,35,0.0
15,1,1,学校給食,750,0.2,-3.1,232,0.1,317,0.1,1153,0.3,717,0.2,374,0.1,1378,0.3,1058,0.2
16,1,1,公営家賃,2051,0.5,-45.6,1646,0.6,7567,2.8,2975,0.9,2147,0.6,-,-,-,-,-,-
17,1,1,電気代,16053,4.2,13.1,15706,6.2,12313,4.6,14614,4.2,18011,5.3,14573,3.8,17303,3.5,19889,3.5
18,1,1,都市ガス,10288,2.7,31.4,10311,4.0,8684,3.2,9608,2.8,10743,3.2,9464,2.5,10535,2.1,12690,2.3
19,1,1,上下水道料,5947,1.6,26.6,3425,1.3,6512,2.4,7071,2.0,6490,1.9,5054,1.3,6801,1.4,6201,1.1
20,1,1,医科診療代,4579,1.2,-5.4,2400,0.9,3352,1.2,3387,1.0,9421,2.8,5887,1.5,4364,0.9,3259,0.6
21,1,1,歯科診療代,2067,0.5,-1.6,568,0.2,6861,2.5,1329,0.4,667,0.2,2722,0.7,1459,0.3,810,0.1
22,1,1,出産入院料,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,1,1,他の入院料,670,0.2,-46.1,-,-,-,-,-,-,3,0.0,4668,1.2,-,-,-,-
24,1,1,鉄道運賃,4288,1.1,45.0,2525,1.0,3444,1.3,7839,2.2,3014,0.9,2993,0.8,5154,1.0,4930,0.9
25,1,1,鉄道通学定期代,208,0.1,-54.0,568,0.2,-,-,121,0.0,615,0.2,-,-,171,0.0,-,-
26,1,1,鉄道通勤定期代,4472,1.2,83.6,1085,0.4,2378,0.9,5546,1.6,4444,1.3,1551,0.4,6848,1.4,9344,1.7
27,1,1,バス代,389,0.1,39.9,48,0.0,156,0.1,547,0.2,159,0.0,94,0.0,999,0.2,703,0.1
28,1,1,バス通学定期代,84,0.0,-66.1,280,0.1,-,-,83,0.0,-,-,-,-,-,-,229,0.0
29,1,1,バス通勤定期代,232,0.1,116.8,280,0.1,-,-,-,-,615,0.2,-,-,742,0.1,-,-
30,1,1,タクシー代,519,0.1,-6.5,147,0.1,513,0.2,233,0.1,176,0.1,309,0.1,227,0.0,2017,0.4
31,1,1,航空運賃,1697,0.4,20.6,-,-,-,-,4744,1.4,897,0.3,-,-,3382,0.7,2758,0.5
32,1,1,郵便料,137,0.0,-8.1,352,0.1,61,0.0,33,0.0,73,0.0,132,0.0,161,0.0,153,0.0
33,1,1,固定電話通信料,1046,0.3,23.2,858,0.3,1378,0.5,1139,0.3,407,0.1,1387,0.4,1270,0.3,870,0.2
34,1,1,携帯電話通信料,9937,2.6,2.5,6917,2.7,12838,4.8,9854,2.8,8637,2.5,9307,2.4,10525,2.1,11382,2.0
35,1,1,ＮＨＫ放送受信料,782,0.2,-20.7,783,0.3,821,0.3,1090,0.3,977,0.3,699,0.2,792,0.2,311,0.1
36,1,1,ケーブルテレビ放送受信料,1116,0.3,41.6,1307,0.5,1163,0.4,1550,0.4,932,0.3,550,0.1,1363,0.3,945,0.2
37,1,1,他の放送受信料,206,0.1,66.1,144,0.1,360,0.1,126,0.0,163,0.0,41,0.0,219,0.0,387,0.1
38,1,1,国公立小学校,203,0.1,37.2,58,0.0,232,0.1,105,0.0,303,0.1,83,0.0,607,0.1,34,0.0
39,1,1,国公立中学校,212,0.1,100.0,-,-,333,0.1,-,-,1082,0.3,-,-,81,0.0,-,-
40,1,1,国公立高校,1207,0.3,738.2,332,0.1,-,-,-,-,527,0.2,5236,1.4,2339,0.5,-,-
41,1,1,国公立大学,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,1,1,たばこ,1005,0.3,-3.7,731,0.3,418,0.2,1353,0.4,681,0.2,1569,0.4,1472,0.3,797,0.1
43,2,0,準公共料金等,37634,9.9,19.6,25616,10.1,20244,7.5,23712,6.8,20979,6.2,27116,7.1,76135,15.3,69254,12.3
44,2,1,牛乳,1363,0.4,0.2,1119,0.4,1150,0.4,1510,0.4,1305,0.4,1391,0.4,1826,0.4,1232,0.2
45,2,1,灯油,163,0.0,-52.2,74,0.0,257,0.1,479,0.1,-,-,110,0.0,134,0.0,79,0.0
46,2,1,プロパンガス,354,0.1,-41.5,134,0.1,734,0.3,684,0.2,146,0.0,766,0.2,-,-,-,-
