1,東京都生計分析調査　令和 5年 7月,,,,,,,,,
2,,,主　　要　　指　　標　　　４　　―　全世帯，生計支出７分位階層別　―,,,,,,,
3,,,公共的料金負担率　　　〔＝（公共的料金÷消費支出） ×１００〕　※令和５年１月から６月の６か月分については、令和５年の調整係数に遡及改定しました。（令和５年９月29日）,,,,,,,
4,年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
5,nen,平成28年平均,27.6,28.5,29.4,29.1,28.8,27.5,26.6,26.7
6,nen,平成29年平均,26.9,27.6,28.5,28.6,27.8,27.3,25.8,26.2
7,nen,平成30年平均,27.6,28.9,30.7,28.1,27.9,27.4,26.1,27.4
8,nen,平成31年・令和元年平均,26.7,28.2,28.5,28.9,27.1,25.9,26.4,25.9
9,nen,令和 2年平均,27.2,27.8,28.8,29.3,28.4,26.6,26.3,26.4
10,nen,令和 3年平均,26.2,26.0,28.6,27.2,26.9,25.6,25.7,25.8
11,nen,令和 4年平均,27.2,27.4,29.6,29.8,28.6,26.7,26.5,26.1
12,tuki,令和 4年 7月,24.6,25.6,27.0,27.2,26.2,25.8,26.4,21.5
13,tuki,令和 4年 8月,26.0,23.9,28.9,29.7,27.3,26.6,25.5,24.3
14,tuki,令和 4年 9月,29.3,26.7,28.8,29.4,30.1,25.2,26.5,32.5
15,tuki,令和 4年10月,28.6,28.2,30.4,29.6,25.9,28.2,26.1,30.5
16,tuki,令和 4年11月,26.2,26.4,28.5,30.2,27.3,26.7,25.2,24.5
17,tuki,令和 4年12月,24.4,26.9,26.2,25.7,24.1,27.1,23.9,22.3
18,tuki,令和 5年 1月,27.2,30.8,31.0,32.8,29.8,30.8,23.8,23.6
19,tuki,令和 5年 2月,30.5,29.7,32.3,35.8,33.6,33.2,28.6,27.1
20,tuki,令和 5年 3月,27.6,29.8,33.2,31.1,30.0,28.3,26.9,24.3
21,tuki,令和 5年 4月,34.9,25.0,30.5,26.8,29.6,28.3,29.2,44.7
22,tuki,令和 5年 5月,28.3,25.3,26.4,27.6,27.8,27.5,26.6,31.1
23,tuki,令和 5年 6月,26.0,24.2,26.4,26.9,25.5,25.1,24.9,26.9
24,tuki,令和 5年 7月,25.1,21.3,24.9,23.8,27.4,25.1,25.0,25.4
