1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第４表　年間収入区分別及び住居所有形態別１世帯当たり１か月間の収入と用途別生計支出　―　無職世帯　―　,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,8754,-,2527,-,2196,-,7473,-,6557,-,1246,-
7,0,0,0,0,0,調査世帯数,190,-,-,165,-,47,-,39,-,143,-,126,-,25,-
8,0,0,0,0,0,世帯人員,2.39,-,-,2.38,-,2.29,-,2.32,-,2.43,-,2.41,-,2.44,-
9,0,0,0,0,0,有業人員,0.49,-,-,0.50,-,0.30,-,0.32,-,0.55,-,0.56,-,0.44,-
10,0,0,0,0,0,世帯主平均年齢,74.8,-,-,75.3,-,75.9,-,76.6,-,74.4,-,74.9,-,71.0,-
11,1,0,0,0,0,受取,946136,-,-6.3,982489,-,605768,-,623665,-,1061231,-,1102681,-,690749,-
12,1,1,0,0,0,実収入,454374,100.0,-14.3,476427,100.0,300107,100.0,308208,100.0,506539,100.0,532774,100.0,299443,100.0
13,1,2,0,0,0,経常収入,445192,98.0,2.1,466073,97.8,294497,98.1,301758,97.9,496149,97.9,521113,97.8,298490,99.7
14,1,3,0,0,0,勤め先収入,39508,8.7,15.9,44005,9.2,14349,4.8,14346,4.7,48016,9.5,53940,10.1,7916,2.6
15,1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,1,4,0,0,0,世帯主の配偶者の収入,13187,2.9,-14.2,14521,3.0,10739,3.6,10192,3.3,14015,2.8,15972,3.0,3811,1.3
21,1,6,0,0,0,うち女,13187,2.9,-14.2,14521,3.0,10739,3.6,10192,3.3,14015,2.8,15972,3.0,3811,1.3
22,1,4,0,0,0,他の世帯員収入,26322,5.8,40.5,29484,6.2,3610,1.2,4153,1.3,34001,6.7,37969,7.1,4105,1.4
