1,東京都生計分析調査　令和 5年 1月,,,,,,,,,,,,,,,
2,,,,,,,第６表　世帯人員別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―　,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,2937,-,3355,-,2749,-,959,-
7,0,0,0,0,0,調査世帯数,321,-,92,-,109,-,86,-,34,-
8,0,0,0,0,0,世帯人員,3.18,-,2,-,3,-,4,-,5.11,-
9,0,0,0,0,0,有業人員,1.8,-,1.54,-,1.92,-,1.88,-,1.96,-
10,0,0,0,0,0,世帯主平均年齢,50.9,-,54.9,-,52.7,-,46,-,46.8,-
11,1,0,0,0,0,受取,1458067,-,1417982,-,1499173,-,1428639,-,1521388,-
12,1,1,0,0,0,実収入,588129,100,464566,100,603431,100,655223,100,720631,100
13,1,2,0,0,0,経常収入,572564,97.4,461007,99.2,587690,97.4,629767,96.1,697265,96.8
14,1,3,0,0,0,勤め先収入,556717,94.7,449975,96.9,572743,94.9,606207,92.5,685634,95.1
15,1,4,0,0,0,世帯主収入,435948,74.1,343238,73.9,439346,72.8,489524,74.7,554364,76.9
16,1,6,0,0,0,うち男,419872,71.4,309396,66.6,432065,71.6,478452,73,547579,76
17,1,5,0,0,0,定期収入,422301,71.8,338149,72.8,423866,70.2,466759,71.2,547055,75.9
18,1,5,0,0,0,臨時収入,3543,0.6,899,0.2,4136,0.7,4332,0.7,7309,1
19,1,5,0,0,0,賞与,10104,1.7,4189,0.9,11344,1.9,18433,2.8,-,-
20,1,4,0,0,0,世帯主の配偶者の収入,110393,18.8,96930,20.9,120205,19.9,108106,16.5,123853,17.2
21,1,6,0,0,0,うち女,105992,18,92827,20,120205,19.9,96620,14.7,123463,17.1
22,1,4,0,0,0,他の世帯員収入,10376,1.8,9808,2.1,13192,2.2,8578,1.3,7416,1
23,1,3,0,0,0,事業・内職収入,7590,1.3,4277,0.9,9275,1.5,7664,1.2,11631,1.6
24,1,4,0,0,0,家賃収入,5479,0.9,3790,0.8,7936,1.3,6199,0.9,-,-
25,1,4,0,0,0,他の事業収入,955,0.2,-,-,-,-,-,-,9960,1.4
26,1,4,0,0,0,内職収入,1156,0.2,487,0.1,1339,0.2,1465,0.2,1671,0.2
27,1,3,0,0,0,他の経常収入,8257,1.4,6755,1.5,5672,0.9,15896,2.4,-,-
28,1,4,0,0,0,財産収入,239,0,64,0,63,0,723,0.1,-,-
29,1,4,0,0,0,社会保障給付,8018,1.4,6691,1.4,5610,0.9,15172,2.3,-,-
30,1,5,0,0,0,公的年金給付,52,0,-,-,154,0,-,-,-,-
31,1,5,0,0,0,他の社会保障給付,7967,1.4,6691,1.4,5456,0.9,15172,2.3,-,-
32,1,4,0,0,0,仕送り金,-,-,-,-,-,-,-,-,-,-
33,1,2,0,0,0,特別収入,15565,2.6,3558,0.8,15741,2.6,25455,3.9,23366,3.2
34,1,3,0,0,0,受贈金,5883,1,304,0.1,9967,1.7,6181,0.9,7823,1.1
35,1,3,0,0,0,他の特別収入,9683,1.6,3254,0.7,5774,1,19274,2.9,15543,2.2
36,1,1,0,0,0,実収入以外の受取(繰入金を除く),567094,-,552038,-,543551,-,585435,-,642960,-
37,1,2,0,0,0,預貯金引出,400015,-,363800,-,411012,-,408568,-,447924,-
38,1,2,0,0,0,保険金,15805,-,43767,-,5509,-,4011,-,-,-
39,1,3,0,0,0,個人・企業年金保険金,9229,-,21378,-,5509,-,4011,-,-,-
40,1,3,0,0,0,他の保険金,6575,-,22389,-,-,-,-,-,-,-
41,1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-
42,1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-
43,1,2,0,0,0,他の借入金,-,-,-,-,-,-,-,-,-,-
44,1,2,0,0,0,クレジット購入借入金,150856,-,144166,-,126299,-,172738,-,194497,-
45,1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-
46,1,2,0,0,0,実収入以外の受取のその他,419,-,305,-,731,-,117,-,540,-
47,1,1,0,0,0,繰入金,302843,-,401378,-,352191,-,187982,-,157797,-
