1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","","","",""
2,"","","","","","","第２３表　職能形態別１世帯当たり年平均１か月間の収入と用途別生計支出　―　勤労者世帯　―","","","","","","","","","","",""
3,"","","","","","","注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。","","","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）","","","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","管理職／実数（円）","管理職／構成比（％）","専門職／実数（円）","専門職／構成比（％）","事務職／実数（円）","事務職／構成比（％）","技術職／実数（円）","技術職／構成比（％）","技能・労務職／実数（円）","技能・労務職／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,307,-,850,-,5057,-,1911,-,1874,-
7,"0","0","0","0","0","調査世帯数",331,-,12,-,26,-,164,-,67,-,63,-
8,"0","0","0","0","0","世帯人員",3.27,-,3.07,-,3.61,-,3.25,-,3.25,-,3.23,-
9,"0","0","0","0","0","有業人員",1.77,-,1.76,-,1.89,-,1.78,-,1.76,-,1.71,-
10,"0","0","0","0","0","世帯主平均年齢",50.3,-,54.3,-,50.7,-,49.6,-,47.8,-,53.7,-
11,"1","0","0","0","0","受取",1599605,-,1985195,-,2194713,-,1603212,-,1720915,-,1082393,-
12,"1","1","0","0","0","実収入",720584,100.0,935065,100.0,960946,100.0,743617,100.0,742523,100.0,496375,100.0
13,"1","2","0","0","0","経常収入",704799,97.8,928414,99.3,940772,97.9,724864,97.5,724878,97.6,487903,98.3
14,"1","3","0","0","0","勤め先収入",660830,91.7,910721,97.4,871220,90.7,688250,92.6,692017,93.2,420822,84.8
15,"1","4","0","0","0","世帯主収入",540835,75.1,800828,85.6,705366,73.4,570678,76.7,548650,73.9,338767,68.2
16,"1","6","0","0","0","うち男",513660,71.3,800828,85.6,680522,70.8,542976,73.0,508677,68.5,320306,64.5
