1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,
2,,,,,,,第６表　世帯人員別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―　,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,2697,-,3118,-,3420,-,765,-
7,0,0,0,0,0,調査世帯数,334,-,93,-,102,-,113,-,26,-
8,0,0,0,0,0,世帯人員,3.26,-,2.00,-,3.00,-,4.00,-,5.39,-
9,0,0,0,0,0,有業人員,1.75,-,1.46,-,1.77,-,2.01,-,1.61,-
10,0,0,0,0,0,世帯主平均年齢,50.9,-,54.6,-,52.1,-,48.1,-,45.3,-
11,1,0,0,0,0,受取,1813576,-,1558230,-,1924639,-,1922296,-,1775002,-
12,1,1,0,0,0,実収入,984465,100.0,836583,100.0,997723,100.0,1086390,100.0,996086,100.0
13,1,2,0,0,0,経常収入,966273,98.2,833872,99.7,950916,95.3,1079389,99.4,989913,99.4
14,1,3,0,0,0,勤め先収入,887273,90.1,727062,86.9,862694,86.5,1023948,94.3,941230,94.5
15,1,4,0,0,0,世帯主収入,732381,74.4,601361,71.9,708302,71.0,831725,76.6,848327,85.2
16,1,6,0,0,0,うち男,703822,71.5,548873,65.6,690066,69.2,811175,74.7,826235,82.9
17,1,5,0,0,0,定期収入,428670,43.5,353463,42.3,410602,41.2,487109,44.8,506216,50.8
18,1,5,0,0,0,臨時収入,2477,0.3,2575,0.3,1497,0.2,3797,0.3,226,0.0
19,1,5,0,0,0,賞与,301234,30.6,245323,29.3,296203,29.7,340819,31.4,341885,34.3
20,1,4,0,0,0,世帯主の配偶者の収入,139401,14.2,113207,13.5,140430,14.1,170443,15.7,88748,8.9
21,1,6,0,0,0,うち女,135165,13.7,113207,13.5,140430,14.1,161039,14.8,75419,7.6
22,1,4,0,0,0,他の世帯員収入,15490,1.6,12494,1.5,13963,1.4,21780,2.0,4155,0.4
23,1,3,0,0,0,事業・内職収入,8943,0.9,12833,1.5,4465,0.4,8435,0.8,15752,1.6
24,1,4,0,0,0,家賃収入,3749,0.4,7816,0.9,1413,0.1,3511,0.3,-,-
25,1,4,0,0,0,他の事業収入,2242,0.2,825,0.1,2033,0.2,530,0.0,15752,1.6
26,1,4,0,0,0,内職収入,2951,0.3,4193,0.5,1018,0.1,4394,0.4,-,-
27,1,3,0,0,0,他の経常収入,70057,7.1,93977,11.2,83757,8.4,47007,4.3,32932,3.3
28,1,4,0,0,0,財産収入,3658,0.4,6311,0.8,2166,0.2,3197,0.3,2449,0.2
29,1,4,0,0,0,社会保障給付,66221,6.7,87006,10.4,81591,8.2,43810,4.0,30484,3.1
30,1,5,0,0,0,公的年金給付,48579,4.9,85029,10.2,61091,6.1,19292,1.8,-,-
31,1,5,0,0,0,他の社会保障給付,17642,1.8,1977,0.2,20499,2.1,24518,2.3,30484,3.1
32,1,4,0,0,0,仕送り金,178,0.0,659,0.1,-,-,-,-,-,-
33,1,2,0,0,0,特別収入,18192,1.8,2711,0.3,46807,4.7,7000,0.6,6173,0.6
34,1,3,0,0,0,受贈金,902,0.1,383,0.0,1596,0.2,880,0.1,-,-
35,1,3,0,0,0,他の特別収入,17290,1.8,2327,0.3,45212,4.5,6120,0.6,6173,0.6
36,1,1,0,0,0,実収入以外の受取(繰入金を除く),541765,-,492890,-,569622,-,546632,-,578779,-
37,1,2,0,0,0,預貯金引出,386585,-,336913,-,400204,-,408116,-,409939,-
38,1,2,0,0,0,保険金,14992,-,23127,-,26637,-,1311,-,-,-
39,1,3,0,0,0,個人・企業年金保険金,12483,-,23127,-,18593,-,1311,-,-,-
40,1,3,0,0,0,他の保険金,2508,-,-,-,8044,-,-,-,-,-
41,1,2,0,0,0,有価証券売却,2168,-,-,-,-,-,6339,-,-,-
42,1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-
43,1,2,0,0,0,他の借入金,543,-,228,-,1545,-,-,-,-,-
44,1,2,0,0,0,クレジット購入借入金,136860,-,131133,-,141221,-,130248,-,168840,-
45,1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-
46,1,2,0,0,0,実収入以外の受取のその他,618,-,1489,-,15,-,618,-,-,-
47,1,1,0,0,0,繰入金,287346,-,228757,-,357293,-,289274,-,200137,-
48,2,0,0,0,0,支払,1813576,-,1558230,-,1924639,-,1922296,-,1775002,-
49,2,1,0,0,0,実支出,575751,-,550432,-,575970,-,587612,-,611106,-
50,2,2,0,0,0,生計支出,338748,-,348937,-,321591,-,334802,-,390421,-
51,2,3,0,0,0,消費支出,338748,100.0,348937,100.0,321591,100.0,334802,100.0,390421,100.0
