1,"東京都生計分析調査　令和 5年10月","","","","","","","","","","","","","","",""
2,"","","","","","","第１３表　住居所有形態別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―","","","","","","","","",""
3,"","","","","","","注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","持家／実数（円）","持家／構成比（％）","民営借家／実数（円）","民営借家／構成比（％）","公営借家／実数（円）","公営借家／構成比（％）","給与住宅／実数（円）","給与住宅／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,8599,-,1161,-,147,-,94,-
7,"0","0","0","0","0","調査世帯数",639,-,553,-,70,-,10,-,6,-
8,"0","0","0","0","0","世帯人員",2.95,-,2.99,-,2.67,-,2.57,-,3.22,-
9,"0","0","0","0","0","有業人員",1.37,-,1.35,-,1.59,-,0.93,-,1.67,-
10,"0","0","0","0","0","世帯主平均年齢",59.7,-,61.0,-,50.9,-,59.3,-,43.0,-
11,"2","2","0","0","0","生計支出",381193,-,381206,-,384522,-,271388,-,509922,-
12,"2","3","0","0","0","消費支出",366998,100.0,364698,100.0,384522,100.0,271388,100.0,509922,100.0
13,"2","4","1","0","0","食料",98914,27.0,100903,27.7,85490,22.2,76450,28.2,117682,23.1
14,"2","5","1","1","0","穀類",6874,1.9,7050,1.9,5560,1.4,6315,2.3,7917,1.6
15,"2","6","1","1","1","米類",1507,0.4,1594,0.4,1049,0.3,803,0.3,361,0.1
16,"2","6","1","1","2","パン",3205,0.9,3285,0.9,2420,0.6,3815,1.4,4670,0.9
17,"2","6","1","1","3","麺類",1634,0.4,1636,0.4,1602,0.4,1400,0.5,2243,0.4
18,"2","6","1","1","4","他の穀類",528,0.1,536,0.1,489,0.1,297,0.1,642,0.1
19,"2","5","1","2","0","魚介類",6526,1.8,6853,1.9,4604,1.2,4133,1.5,4066,0.8
20,"2","6","1","2","1","生鮮魚介",3728,1.0,3901,1.1,2695,0.7,2525,0.9,2529,0.5
21,"2","6","1","2","2","塩干魚介",1169,0.3,1215,0.3,904,0.2,902,0.3,601,0.1
22,"2","6","1","2","3","魚肉練製品",682,0.2,729,0.2,396,0.1,355,0.1,432,0.1
23,"2","6","1","2","4","他の魚介加工品",947,0.3,1008,0.3,609,0.2,352,0.1,504,0.1
24,"2","5","1","3","0","肉類",9196,2.5,9461,2.6,7509,2.0,6458,2.4,10058,2.0
25,"2","6","1","3","1","生鮮肉",7578,2.1,7807,2.1,6239,1.6,5184,1.9,6907,1.4
26,"2","6","1","3","2","加工肉",1618,0.4,1654,0.5,1270,0.3,1274,0.5,3151,0.6
27,"2","5","1","4","0","乳卵類",5396,1.5,5616,1.5,3995,1.0,2887,1.1,6496,1.3
28,"2","6","1","4","1","牛乳",1648,0.4,1737,0.5,1150,0.3,412,0.2,1507,0.3
29,"2","6","1","4","2","乳製品",2618,0.7,2707,0.7,1948,0.5,1720,0.6,4068,0.8
30,"2","6","1","4","3","卵",1131,0.3,1172,0.3,898,0.2,755,0.3,921,0.2
31,"2","5","1","5","0","野菜・海藻",11454,3.1,11969,3.3,8389,2.2,6973,2.6,9212,1.8
32,"2","6","1","5","1","生鮮野菜",8071,2.2,8400,2.3,6079,1.6,5430,2.0,6683,1.3
33,"2","6","1","5","2","乾物・海藻",782,0.2,828,0.2,492,0.1,183,0.1,1097,0.2
34,"2","6","1","5","3","大豆加工品",1303,0.4,1369,0.4,933,0.2,642,0.2,907,0.2
35,"2","6","1","5","4","他の野菜・海藻加工品",1298,0.4,1372,0.4,885,0.2,718,0.3,526,0.1
36,"2","5","1","6","0","果物",4147,1.1,4372,1.2,2843,0.7,2382,0.9,2451,0.5
37,"2","6","1","6","1","生鮮果物",3772,1.0,3982,1.1,2555,0.7,2036,0.8,2337,0.5
38,"2","6","1","6","2","果物加工品",375,0.1,390,0.1,289,0.1,346,0.1,114,0.0
39,"2","5","1","7","0","油脂・調味料",4423,1.2,4543,1.2,3624,0.9,2844,1.0,5818,1.1
40,"2","6","1","7","1","油脂",482,0.1,497,0.1,386,0.1,375,0.1,463,0.1
41,"2","6","1","7","2","調味料",3941,1.1,4045,1.1,3238,0.8,2468,0.9,5355,1.1
42,"2","5","1","8","0","菓子類",7632,2.1,7742,2.1,6480,1.7,8930,3.3,9731,1.9
43,"2","5","1","9","0","調理食品",15331,4.2,15628,4.3,13615,3.5,12322,4.5,13998,2.7
44,"2","6","1","9","1","主食的調理食品",6550,1.8,6570,1.8,6287,1.6,6535,2.4,8064,1.6
45,"2","6","1","9","2","他の調理食品",8780,2.4,9059,2.5,7328,1.9,5787,2.1,5934,1.2
46,"2","5","1","10","0","飲料",5770,1.6,5785,1.6,5195,1.4,6352,2.3,10564,2.1
47,"2","6","1","10","1","茶類",1180,0.3,1186,0.3,1069,0.3,1097,0.4,2125,0.4
48,"2","6","1","10","2","コーヒー・ココア",1239,0.3,1230,0.3,1220,0.3,1132,0.4,2461,0.5
49,"2","6","1","10","3","他の飲料",3351,0.9,3369,0.9,2906,0.8,4123,1.5,5979,1.2
50,"2","5","1","11","0","酒類",3819,1.0,3853,1.1,3945,1.0,2313,0.9,1543,0.3
51,"2","5","1","12","0","外食",18344,5.0,18031,4.9,19729,5.1,14541,5.4,35828,7.0
52,"2","6","1","12","1","一般外食",17988,4.9,17681,4.8,19250,5.0,14541,5.4,35828,7.0
53,"2","6","1","12","2","学校給食",357,0.1,350,0.1,479,0.1,-,-,-,-
54,"2","4","2","0","0","住居",35893,9.8,26510,7.3,99722,25.9,60394,22.3,67878,13.3
55,"2","5","2","1","0","家賃地代",14215,3.9,1357,0.4,99669,25.9,57547,21.2,67756,13.3
56,"2","5","2","2","0","設備修繕・維持",21678,5.9,25153,6.9,53,0.0,2847,1.0,122,0.0
57,"2","6","2","2","1","設備材料",15211,4.1,17644,4.8,53,0.0,2216,0.8,122,0.0
58,"2","6","2","2","2","工事その他のサービス",6467,1.8,7510,2.1,-,-,631,0.2,-,-
59,"2","4","3","0","0","光熱・水道",19718,5.4,20122,5.5,16527,4.3,20744,7.6,20548,4.0
60,"2","5","3","1","0","電気代",11594,3.2,11978,3.3,9275,2.4,9457,3.5,8475,1.7
61,"2","5","3","2","0","ガス代",3221,0.9,3216,0.9,3068,0.8,4234,1.6,3993,0.8
62,"2","5","3","3","0","他の光熱",100,0.0,114,0.0,18,0.0,-,-,-,-
63,"2","5","3","4","0","上下水道料",4803,1.3,4814,1.3,4166,1.1,7052,2.6,8081,1.6
64,"2","4","4","0","0","家具・家事用品",13934,3.8,13401,3.7,17278,4.5,5534,2.0,34496,6.8
65,"2","5","4","1","0","家庭用耐久財",4732,1.3,4077,1.1,8860,2.3,196,0.1,20722,4.1
66,"2","6","4","1","1","家事用耐久財",2785,0.8,1959,0.5,7801,2.0,-,-,20722,4.1
67,"2","6","4","1","2","冷暖房用器具",1268,0.3,1398,0.4,573,0.1,-,-,-,-
68,"2","6","4","1","3","一般家具",678,0.2,720,0.2,485,0.1,196,0.1,-,-
69,"2","5","4","2","0","室内装備・装飾品",573,0.2,591,0.2,530,0.1,-,-,389,0.1
70,"2","5","4","3","0","寝具類",1383,0.4,1541,0.4,497,0.1,-,-,-,-
71,"2","5","4","4","0","家事雑貨",2404,0.7,2345,0.6,2576,0.7,1588,0.6,6847,1.3
72,"2","5","4","5","0","家事用消耗品",3852,1.0,3828,1.0,3926,1.0,3750,1.4,5314,1.0
73,"2","5","4","6","0","家事サービス",991,0.3,1018,0.3,890,0.2,-,-,1223,0.2
74,"2","4","5","0","0","被服及び履物",13469,3.7,13425,3.7,10427,2.7,5728,2.1,67077,13.2
75,"2","5","5","1","0","和服",27,0.0,31,0.0,-,-,-,-,-,-
76,"2","5","5","2","0","洋服",6207,1.7,6153,1.7,4346,1.1,2850,1.1,39330,7.7
77,"2","6","5","2","1","男子用洋服",2359,0.6,2207,0.6,1340,0.3,304,0.1,32009,6.3
78,"2","6","5","2","2","婦人用洋服",3234,0.9,3369,0.9,2353,0.6,1329,0.5,4740,0.9
79,"2","6","5","2","3","子供用洋服",614,0.2,576,0.2,653,0.2,1217,0.4,2580,0.5
80,"2","5","5","3","0","シャツ・セーター類",2817,0.8,2890,0.8,1761,0.5,2252,0.8,10078,2.0
81,"2","6","5","3","1","男子用シャツ・セーター類",933,0.3,914,0.3,837,0.2,426,0.2,4711,0.9
82,"2","6","5","3","2","婦人用シャツ・セーター類",1610,0.4,1739,0.5,417,0.1,1362,0.5,4926,1.0
83,"2","6","5","3","3","子供用シャツ・セーター類",274,0.1,238,0.1,507,0.1,465,0.2,441,0.1
84,"2","5","5","4","0","下着類",973,0.3,961,0.3,1003,0.3,212,0.1,2916,0.6
85,"2","6","5","4","1","男子用下着類",270,0.1,280,0.1,206,0.1,-,-,623,0.1
86,"2","6","5","4","2","婦人用下着類",534,0.1,526,0.1,612,0.2,212,0.1,770,0.2
87,"2","6","5","4","3","子供用下着類",169,0.0,155,0.0,186,0.0,-,-,1523,0.3
88,"2","5","5","5","0","生地・糸類",75,0.0,83,0.0,28,0.0,31,0.0,-,-
89,"2","5","5","6","0","他の被服",688,0.2,683,0.2,737,0.2,383,0.1,1059,0.2
90,"2","5","5","7","0","履物類",1886,0.5,1774,0.5,2078,0.5,-,-,12675,2.5
91,"2","5","5","8","0","被服関連サービス",795,0.2,850,0.2,473,0.1,-,-,1019,0.2
92,"2","4","6","0","0","保健医療",21944,6.0,21730,6.0,24308,6.3,15461,5.7,22470,4.4
93,"2","5","6","1","0","医薬品",2704,0.7,2813,0.8,1819,0.5,3474,1.3,2467,0.5
94,"2","5","6","2","0","健康保持用摂取品",1272,0.3,1347,0.4,974,0.3,68,0.0,-,-
95,"2","5","6","3","0","保健医療用品・器具",2828,0.8,2741,0.8,2451,0.6,4982,1.8,12097,2.4
96,"2","5","6","4","0","保健医療サービス",15140,4.1,14830,4.1,19063,5.0,6936,2.6,7907,1.6
97,"2","4","7","0","0","交通・通信",42074,11.5,42473,11.6,36280,9.4,41698,15.4,77676,15.2
98,"2","5","7","1","0","交通",12578,3.4,11725,3.2,17018,4.4,15471,5.7,31231,6.1
99,"2","5","7","2","0","自動車等関係費",16610,4.5,18102,5.0,6326,1.6,3083,1.1,28153,5.5
100,"2","6","7","2","1","自動車等購入",7132,1.9,8294,2.3,-,-,-,-,-,-
101,"2","6","7","2","2","自転車購入",650,0.2,756,0.2,-,-,-,-,-,-
102,"2","6","7","2","3","自動車等維持",8828,2.4,9052,2.5,6326,1.6,3083,1.1,28153,5.5
103,"2","5","7","3","0","通信",12886,3.5,12645,3.5,12935,3.4,23144,8.5,18293,3.6
104,"2","4","8","0","0","教育",30209,8.2,32715,9.0,17110,4.4,466,0.2,9090,1.8
105,"2","5","8","1","0","授業料等",24141,6.6,25976,7.1,15511,4.0,72,0.0,367,0.1
106,"2","5","8","2","0","教科書・学習参考教材",110,0.0,111,0.0,75,0.0,395,0.1,-,-
107,"2","5","8","3","0","補習教育",5958,1.6,6627,1.8,1523,0.4,-,-,8722,1.7
108,"2","4","9","0","0","教養娯楽",39651,10.8,40775,11.2,32850,8.5,17112,6.3,55948,11.0
109,"2","5","9","1","0","教養娯楽用耐久財",4308,1.2,3887,1.1,7500,2.0,555,0.2,9282,1.8
110,"2","5","9","2","0","教養娯楽用品",7312,2.0,7542,2.1,5022,1.3,3809,1.4,19993,3.9
111,"2","5","9","3","0","書籍・他の印刷物",3601,1.0,3728,1.0,2862,0.7,845,0.3,5445,1.1
112,"2","5","9","4","0","教養娯楽サービス",24430,6.7,25619,7.0,17465,4.5,11903,4.4,21228,4.2
113,"2","6","9","4","1","宿泊料",4986,1.4,5176,1.4,4220,1.1,3091,1.1,-,-
114,"2","6","9","4","2","パック旅行費",2507,0.7,2527,0.7,2872,0.7,-,-,-,-
115,"2","6","9","4","3","月謝類",4231,1.2,4573,1.3,1924,0.5,2664,1.0,3878,0.8
116,"2","6","9","4","4","他の教養娯楽サービス",12706,3.5,13342,3.7,8449,2.2,6148,2.3,17350,3.4
117,"2","4","10","0","0","その他の消費支出",51193,13.9,52645,14.4,44532,11.6,27801,10.2,37058,7.3
118,"2","5","10","1","0","諸雑費",25268,6.9,25555,7.0,24016,6.2,16626,6.1,27998,5.5
119,"2","6","10","1","1","理美容サービス",4054,1.1,4165,1.1,3924,1.0,980,0.4,378,0.1
120,"2","6","10","1","2","理美容用品",5651,1.5,5778,1.6,4582,1.2,3690,1.4,10239,2.0
121,"2","6","10","1","3","身の回り用品",2391,0.7,2406,0.7,2469,0.6,323,0.1,3276,0.6
122,"2","6","10","1","4","たばこ",1016,0.3,853,0.2,1829,0.5,4824,1.8,-,-
123,"2","6","10","1","5","他の諸雑費",12157,3.3,12354,3.4,11212,2.9,6809,2.5,14105,2.8
124,"2","5","10","2","0","こづかい",6158,1.7,6435,1.8,5107,1.3,-,-,3348,0.7
125,"2","5","10","3","0","交際費",15513,4.2,15944,4.4,13865,3.6,9526,3.5,5713,1.1
126,"2","6","10","3","0","食料",4332,1.2,4445,1.2,4049,1.1,1643,0.6,1732,0.3
127,"2","6","10","3","0","家具・家事用品",84,0.0,95,0.0,7,0.0,101,0.0,-,-
128,"2","6","10","3","0","被服及び履物",301,0.1,260,0.1,649,0.2,101,0.0,-,-
129,"2","6","10","3","0","教養娯楽",929,0.3,1076,0.3,34,0.0,-,-,-,-
130,"2","6","10","3","0","他の物品サービス",833,0.2,861,0.2,92,0.0,5505,2.0,101,0.0
131,"2","6","10","3","6","贈与金",4674,1.3,4571,1.3,6250,1.6,609,0.2,998,0.2
132,"2","6","10","3","7","他の交際費",4360,1.2,4637,1.3,2783,0.7,1567,0.6,2882,0.6
133,"2","5","10","4","0","仕送り金",4254,1.2,4711,1.3,1543,0.4,1649,0.6,-,-
134,"2","3","0","0","0","土地家屋購入",14195,-,16508,-,-,-,-,-,-,-
135,"2","3","0","0","0","（再掲）教育関係費",36298,9.9,39164,10.7,20535,5.3,9550,3.5,10481,2.1
136,"2","3","0","0","0","（再掲）教養娯楽関係費",45911,12.5,46762,12.8,41934,10.9,20600,7.6,56627,11.1
