1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,,,,,
2,,,,第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
5,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,0,調査世帯数,334,-,-,50,-,47,-,46,-,46,-,44,-,50,-,51,-
7,0,0,世帯人員,3.26,-,-,3.06,-,3.24,-,3.21,-,3.31,-,3.17,-,3.32,-,3.48,-
8,0,0,有業人員,1.75,-,-,1.59,-,1.64,-,1.72,-,1.81,-,1.80,-,1.69,-,2.03,-
9,0,0,世帯主平均年齢,50.9,-,-,53.6,-,54.9,-,49.6,-,48.8,-,49.8,-,48.5,-,51.0,-
10,0,0,消費支出,338748,-,11.7,209107,-,273774,-,296475,-,329359,-,409951,-,374928,-,476114,-
11,0,0,公共的料金,92271,27.2,6.1,51747,24.7,80986,29.6,78596,26.5,85380,25.9,103971,25.4,108414,28.9,136290,28.6
12,1,0,公共料金等,55888,16.5,-6.2,42198,20.2,58702,21.4,56257,19.0,51853,15.7,51123,12.5,55036,14.7,75884,15.9
13,1,1,米,1511,0.4,-4.6,1439,0.7,1825,0.7,1314,0.4,1316,0.4,1097,0.3,1114,0.3,2480,0.5
14,1,1,食塩,35,0.0,-50.7,11,0.0,48,0.0,35,0.0,28,0.0,29,0.0,40,0.0,57,0.0
