1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","","","","","",""
2,"","","","第１２表　生計支出７分位階層別１世帯当たり年平均１か月間の公共的料金支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","","項目（0：世帯数等　1：公共料金等　2：準公共料金等）","","","","","","","","","","","","","","","",""
4,"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
5,"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","0","調査世帯数",615,-,-,89,-,89,-,88,-,89,-,88,-,86,-,86,-
7,"0","0","世帯人員",2.95,-,-,2.68,-,2.83,-,2.84,-,2.95,-,3.03,-,3.08,-,3.22,-
8,"0","0","有業人員",1.40,-,-,1.14,-,1.25,-,1.30,-,1.43,-,1.51,-,1.49,-,1.66,-
9,"0","0","世帯主平均年齢",59.5,-,-,63.7,-,61.3,-,61.0,-,59.4,-,57.8,-,57.1,-,56.2,-
10,"0","0","消費支出",335174,-,3.2,107058,-,171389,-,221999,-,273830,-,335869,-,430369,-,805792,-
11,"0","0","公共的料金",90087,26.9,2.0,26181,24.5,47273,27.6,62071,28.0,78121,28.5,86743,25.8,105994,24.6,223667,27.8
12,"1","0","公共料金等",58572,17.5,-1.8,22492,21.0,38236,22.3,47134,21.2,57097,20.9,63329,18.9,77077,17.9,104271,12.9
13,"1","1","米",1618,0.5,-3.5,1165,1.1,1362,0.8,1564,0.7,1664,0.6,1851,0.6,1810,0.4,1908,0.2
14,"1","1","食塩",39,0.0,-4.9,26,0.0,30,0.0,36,0.0,36,0.0,36,0.0,55,0.0,50,0.0
15,"1","1","学校給食",533,0.2,-31.2,87,0.1,287,0.2,413,0.2,560,0.2,597,0.2,944,0.2,824,0.1
16,"1","1","公営家賃",1406,0.4,-62.2,613,0.6,734,0.4,1901,0.9,1720,0.6,2263,0.7,1970,0.5,542,0.1
17,"1","1","電気代",11537,3.4,0.8,6313,5.9,9947,5.8,10809,4.9,12711,4.6,12465,3.7,14131,3.3,14176,1.8
