1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,,,,,
2,,,,,,,第１０表　世帯類型別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,2355,-,6458,-,273,-,58,-,914,-,5137,-
7,0,0,0,0,0,調査世帯数,344,-,84,-,219,-,10,-,2,-,31,-,178,-
8,0,0,0,0,0,世帯人員,3.23,-,2.00,-,3.76,-,2.36,-,x,-,2.94,-,3.38,-
9,0,0,0,0,0,有業人員,1.75,-,1.50,-,1.87,-,1.50,-,x,-,1.57,-,2.19,-
10,0,0,0,0,0,世帯主平均年齢,50.9,-,56.4,-,48.8,-,55.3,-,x,-,50.2,-,50.1,-
11,1,0,0,0,0,受取,1487693,-,1457473,-,1611354,-,810338,-,x,-,893921,-,1772052,-
12,1,1,0,0,0,実収入,614895,100.0,702714,100.0,631676,100.0,439146,100.0,x,x,322558,100.0,761242,100.0
13,1,2,0,0,0,経常収入,563081,91.6,504212,71.8,623912,98.8,438649,99.9,x,x,322096,99.9,670510,88.1
14,1,3,0,0,0,勤め先収入,547298,89.0,486030,69.2,607827,96.2,435925,99.3,x,x,310738,96.3,659609,86.6
15,1,4,0,0,0,世帯主収入,443948,72.2,384833,54.8,493891,78.2,367456,83.7,x,x,266220,82.5,471529,61.9
16,1,6,0,0,0,うち男,422938,68.8,376873,53.6,487336,77.1,141297,32.2,-,-,170641,52.9,460786,60.5
17,1,5,0,0,0,定期収入,421912,68.6,378491,53.9,462855,73.3,361147,82.2,x,x,262649,81.4,433737,57.0
18,1,5,0,0,0,臨時収入,3127,0.5,2193,0.3,3271,0.5,6309,1.4,-,-,3571,1.1,3411,0.4
19,1,5,0,0,0,賞与,18909,3.1,4149,0.6,27765,4.4,-,-,-,-,-,-,34381,4.5
20,1,4,0,0,0,世帯主の配偶者の収入,90529,14.7,101198,14.4,98828,15.6,-,-,-,-,31410,9.7,176085,23.1
21,1,6,0,0,0,うち女,85553,13.9,96029,13.7,94135,14.9,-,-,-,-,23453,7.3,166398,21.9
22,1,4,0,0,0,他の世帯員収入,12821,2.1,-,-,15107,2.4,68468,15.6,-,-,13108,4.1,11994,1.6
