1,東京都生計分析調査　令和 5年 1月,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第８表　世帯主年齢階層別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,917,-,812,-,1396,-,1459,-,1501,-,1458,-,1145,-,1312,-
7,0,0,0,0,0,調査世帯数,321,-,29,-,26,-,44,-,48,-,51,-,47,-,35,-,41,-
8,0,0,0,0,0,世帯人員,3.18,-,2.98,-,3.49,-,3.78,-,3.49,-,3.39,-,2.99,-,2.89,-,2.41,-
9,0,0,0,0,0,有業人員,1.8,-,1.75,-,1.56,-,1.61,-,1.76,-,1.82,-,1.96,-,2.15,-,1.73,-
10,0,0,0,0,0,世帯主平均年齢,50.9,-,31.1,-,37.1,-,42.2,-,47,-,51.7,-,57.2,-,61.7,-,70,-
11,1,0,0,0,0,受取,1458067,-,1406203,-,1469574,-,1706354,-,1566434,-,1546552,-,1389593,-,1287029,-,1226822,-
12,1,1,0,0,0,実収入,588129,100,621420,100,557635,100,699817,100,621751,100,726282,100,634691,100,508337,100,287486,100
13,1,2,0,0,0,経常収入,572564,97.4,598843,96.4,544833,97.7,683219,97.6,592818,95.3,702050,96.7,623340,98.2,505561,99.5,285131,99.2
14,1,3,0,0,0,勤め先収入,556717,94.7,591030,95.1,510681,91.6,662070,94.6,584277,94,695270,95.7,600006,94.5,483931,95.2,275520,95.8
15,1,4,0,0,0,世帯主収入,435948,74.1,425859,68.5,415097,74.4,520113,74.3,462488,74.4,532674,73.3,501313,79,382570,75.3,200207,69.6
16,1,6,0,0,0,うち男,419872,71.4,386022,62.1,391224,70.2,515450,73.7,439004,70.6,530891,73.1,478106,75.3,379709,74.7,181696,63.2
17,1,5,0,0,0,定期収入,422301,71.8,416105,67,414439,74.3,509902,72.9,454343,73.1,497412,68.5,498693,78.6,348595,68.6,196235,68.3
18,1,5,0,0,0,臨時収入,3543,0.6,682,0.1,658,0.1,3253,0.5,8145,1.3,7963,1.1,2620,0.4,749,0.1,933,0.3
19,1,5,0,0,0,賞与,10104,1.7,9072,1.5,-,-,6958,1,-,-,27298,3.8,-,-,33226,6.5,3039,1.1
20,1,4,0,0,0,世帯主の配偶者の収入,110393,18.8,165170,26.6,95584,17.1,139708,20,115314,18.5,160572,22.1,79688,12.6,82823,16.3,45450,15.8
21,1,6,0,0,0,うち女,105992,18,143815,23.1,75817,13.6,139440,19.9,115314,18.5,160572,22.1,79688,12.6,82823,16.3,39357,13.7
22,1,4,0,0,0,他の世帯員収入,10376,1.8,-,-,-,-,2249,0.3,6475,1,2024,0.3,19005,3,18538,3.6,29862,10.4
23,1,3,0,0,0,事業・内職収入,7590,1.3,7812,1.3,8497,1.5,2775,0.4,6550,1.1,573,0.1,18963,3,11776,2.3,4885,1.7
24,1,4,0,0,0,家賃収入,5479,0.9,7812,1.3,8497,1.5,2242,0.3,-,-,-,-,14311,2.3,10260,2,3795,1.3
25,1,4,0,0,0,他の事業収入,955,0.2,-,-,-,-,-,-,6550,1.1,-,-,-,-,-,-,-,-
26,1,4,0,0,0,内職収入,1156,0.2,-,-,-,-,533,0.1,-,-,573,0.1,4652,0.7,1517,0.3,1090,0.4
27,1,3,0,0,0,他の経常収入,8257,1.4,1,0,25655,4.6,18374,2.6,1992,0.3,6207,0.9,4371,0.7,9854,1.9,4726,1.6
28,1,4,0,0,0,財産収入,239,0,1,0,-,-,-,-,41,0,13,0,261,0,1681,0.3,-,-
