1,東京都生計分析調査　令和 5年12月,,,,,,,,,,,,,,,,,,,,
2,,,,主　　要　　指　　標　　　１　　―　全　世　帯　―,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,
5,,,,hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou1,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou2,hyoutou3,hyoutou1
6,,,,youto001,youto002,youto003,youto004,youto005,youto006,youto007,youto008,youto009,youto010,youto011,youto012,youto013,youto014,youto015,youto016,youto017,youto018
7,実数・増減率,年次・四半期・月次コード,年次・四半期・月次,調査世帯数(世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,生計支出（円）,生計支出／消費支出（円）,生計支出／消費支出／食料（円）,生計支出／消費支出／住居（円）,生計支出／消費支出／光熱・水道（円）,生計支出／消費支出／家具・家事用品（円）,生計支出／消費支出／被服及び履物（円）,生計支出／消費支出／保健医療（円）,生計支出／消費支出／交通・通信（円）,生計支出／消費支出／教育（円）,生計支出／消費支出／教養娯楽（円）,生計支出／消費支出／その他の消費支出（円）,生計支出／消費支出／その他の消費支出／諸雑費（円）,生計支出／土地家屋購入（円）
8,Jissu,nen,実数_令和 2年平均,689,2.94,1.32,59.4,331138,319428,90238,27590,21508,13578,11365,17767,34165,19167,31569,52480,24795,11710
9,Jissu,nen,実数_令和 3年平均,674,2.91,1.36,59.6,340536,322669,90453,26599,20196,13735,11007,18384,34635,19093,32384,56182,28199,17868
10,Jissu,nen,実数_令和 4年平均,637,2.90,1.32,59.6,329608,324667,88881,26865,23328,12768,11756,17369,34883,19540,35037,54240,29131,4941
11,Jissu,nen,実数_令和 5年平均,615,2.95,1.40,59.5,340041,335174,96298,25590,23173,13099,11860,17238,34458,21284,39084,53090,27098,4867
12,Jissu,sihan,実数_令和 4年10～12月,625,2.93,1.37,59.6,353865,353865,98829,29668,23064,15976,14751,18858,35127,20423,37584,59586,31284,-
13,Jissu,sihan,実数_令和 5年 1～ 3月,599,2.94,1.43,59.6,328108,328108,90108,24634,32575,9801,11350,16595,32582,16997,39875,53592,27444,-
14,Jissu,sihan,実数_令和 5年 4～ 6月,611,2.95,1.42,59.4,333721,332995,94105,25848,22985,12659,11824,16349,33469,29654,36768,49334,25744,726
15,Jissu,sihan,実数_令和 5年 7～ 9月,622,2.97,1.39,59.0,334124,327492,97698,25215,17654,14275,9537,16929,36358,15878,39797,54151,28169,6632
16,Jissu,sihan,実数_令和 5年10～12月,626,2.93,1.35,60.0,364211,352101,103281,26665,19480,15662,14727,19080,35422,22609,39895,55283,27034,12110
17,Jissu,tuki,実数_令和 4年12月,616,2.94,1.40,59.4,378014,378014,109827,27994,24640,18491,14504,18769,36955,20239,40076,66520,35312,-
18,Jissu,tuki,実数_令和 5年 1月,590,2.93,1.45,59.7,342467,342467,91487,29029,31180,10873,13045,15540,32163,16465,42296,60390,25760,-
19,Jissu,tuki,実数_令和 5年 2月,601,2.92,1.41,59.8,296643,296643,84615,24197,33282,8132,8019,16503,25971,16274,32481,47170,29938,-
20,Jissu,tuki,実数_令和 5年 3月,607,2.97,1.44,59.4,345213,345213,94221,20675,33262,10397,12987,17743,39612,18251,44849,53215,26635,-
21,Jissu,tuki,実数_令和 5年 4月,602,2.94,1.43,59.4,369068,369068,93678,24730,26718,11931,13042,17934,32649,55156,36525,56706,29635,-
22,Jissu,tuki,実数_令和 5年 5月,614,2.95,1.43,59.3,316448,314270,96374,23429,22891,12672,10726,14371,33055,18983,38343,43426,21809,2179
23,Jissu,tuki,実数_令和 5年 6月,617,2.96,1.40,59.6,315648,315648,92262,29384,19347,13375,11703,16743,34703,14824,35437,47871,25788,-
24,Jissu,tuki,実数_令和 5年 7月,621,2.97,1.42,58.7,319403,319403,97705,21399,16511,12997,12394,18253,35608,15502,37388,51648,27571,-
25,Jissu,tuki,実数_令和 5年 8月,617,2.97,1.39,58.9,368654,348758,99669,37582,17684,16113,8695,17077,38813,7693,45493,59939,30611,19896
26,Jissu,tuki,実数_令和 5年 9月,627,2.97,1.36,59.5,314314,314314,95721,16664,18766,13716,7523,15457,34654,24439,36509,50867,26326,-
27,Jissu,tuki,実数_令和 5年10月,639,2.95,1.37,59.7,381193,366998,98914,35893,19718,13934,13469,21944,42074,30209,39651,51193,25268,14195
28,Jissu,tuki,実数_令和 5年11月,625,2.93,1.35,59.8,340594,318458,96854,19561,19389,15219,16638,16277,31575,12615,38055,52277,26856,22136
29,Jissu,tuki,実数_令和 5年12月,614,2.90,1.33,60.4,370847,370847,114074,24540,19332,17833,14075,19018,32616,25002,41978,62378,28978,-
30,meimoku,nen,対前年（同期・同月）名目増加率_令和 2年平均,-,-,-,-,0.3,-2.2,2.6,16.8,1.1,10.4,-19.1,6.3,-6.5,-0.6,-15.8,-8.5,-3.9,215.1
31,meimoku,nen,対前年（同期・同月）名目増加率_令和 3年平均,-,-,-,-,2.8,1.0,0.2,-3.6,-6.1,1.2,-3.2,3.5,1.4,-0.4,2.6,7.1,13.7,52.6
