1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,,
2,,,,,,,第１０表　世帯類型別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,1953,-,6792,-,319,-,80,-,936,-,5338,-
7,0,0,0,0,0,調査世帯数,332,-,66,-,224,-,10,-,2,-,32,-,176,-
8,0,0,0,0,0,世帯人員,3.27,-,2.00,-,3.70,-,2.25,-,x,-,3.13,-,3.43,-
9,0,0,0,0,0,有業人員,1.78,-,1.54,-,1.89,-,1.75,-,x,-,1.49,-,2.18,-
10,0,0,0,0,0,世帯主平均年齢,51.1,-,55.3,-,49.8,-,59.2,-,x,-,49.5,-,49.7,-
11,1,0,0,0,0,受取,1364283,-,1281513,-,1490612,-,665999,-,x,-,858119,-,1633291,-
12,1,1,0,0,0,実収入,593190,100.0,532687,100.0,660784,100.0,317964,100.0,x,x,322691,100.0,711617,100.0
13,1,2,0,0,0,経常収入,572176,96.5,523957,98.4,633337,95.8,313811,98.7,x,x,317000,98.2,681446,95.8
14,1,3,0,0,0,勤め先収入,558861,94.2,502893,94.4,620386,93.9,313811,98.7,x,x,312666,96.9,674768,94.8
15,1,4,0,0,0,世帯主収入,449219,75.7,380548,71.4,501820,75.9,231706,72.9,x,x,284860,88.3,480222,67.5
16,1,6,0,0,0,うち男,430622,72.6,369292,69.3,497707,75.3,41570,13.1,-,-,204267,63.3,472023,66.3
17,1,5,0,0,0,定期収入,426944,72.0,355817,66.8,479254,72.5,225866,71.0,x,x,264231,81.9,448497,63.0
18,1,5,0,0,0,臨時収入,8118,1.4,5290,1.0,9058,1.4,31,0.0,-,-,9947,3.1,10582,1.5
19,1,5,0,0,0,賞与,14157,2.4,19441,3.6,13508,2.0,5808,1.8,-,-,10683,3.3,21143,3.0
20,1,4,0,0,0,世帯主の配偶者の収入,100398,16.9,122345,23.0,109351,16.5,-,-,-,-,23853,7.4,187567,26.4
21,1,6,0,0,0,うち女,96729,16.3,116072,21.8,106850,16.2,-,-,-,-,15900,4.9,180695,25.4
22,1,4,0,0,0,他の世帯員収入,9244,1.6,-,-,9214,1.4,82105,25.8,-,-,3953,1.2,6978,1.0
23,1,3,0,0,0,事業・内職収入,4543,0.8,5298,1.0,5025,0.8,-,-,-,-,1013,0.3,4625,0.6
24,1,4,0,0,0,家賃収入,2327,0.4,3959,0.7,2288,0.3,-,-,-,-,-,-,1679,0.2
25,1,4,0,0,0,他の事業収入,459,0.1,-,-,675,0.1,-,-,-,-,-,-,859,0.1
26,1,4,0,0,0,内職収入,1757,0.3,1339,0.3,2062,0.3,-,-,-,-,1013,0.3,2086,0.3
27,1,3,0,0,0,他の経常収入,8773,1.5,15766,3.0,7926,1.2,-,-,-,-,3321,1.0,2053,0.3
28,1,4,0,0,0,財産収入,195,0.0,-,-,287,0.0,-,-,-,-,-,-,239,0.0
29,1,4,0,0,0,社会保障給付,8578,1.4,15766,3.0,7639,1.2,-,-,-,-,3321,1.0,1815,0.3
30,1,5,0,0,0,公的年金給付,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,1,5,0,0,0,他の社会保障給付,8578,1.4,15766,3.0,7639,1.2,-,-,-,-,3321,1.0,1815,0.3
32,1,4,0,0,0,仕送り金,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,1,2,0,0,0,特別収入,21013,3.5,8730,1.6,27448,4.2,4153,1.3,x,x,5691,1.8,30172,4.2
34,1,3,0,0,0,受贈金,11426,1.9,205,0.0,16763,2.5,-,-,-,-,-,-,19933,2.8
35,1,3,0,0,0,他の特別収入,9587,1.6,8525,1.6,10684,1.6,4153,1.3,x,x,5691,1.8,10239,1.4
36,1,1,0,0,0,実収入以外の受取(繰入金を除く),524592,-,381644,-,594791,-,274792,-,x,-,398443,-,613000,-
37,1,2,0,0,0,預貯金引出,367642,-,263437,-,415897,-,239272,-,x,-,278573,-,430384,-
38,1,2,0,0,0,保険金,2058,-,9367,-,72,-,-,-,-,-,1922,-,-,-
39,1,3,0,0,0,個人・企業年金保険金,1625,-,7400,-,-,-,-,-,-,-,1922,-,-,-
40,1,3,0,0,0,他の保険金,433,-,1967,-,72,-,-,-,-,-,-,-,-,-
41,1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,1,2,0,0,0,他の借入金,597,-,-,-,792,-,-,-,-,-,629,-,1008,-
44,1,2,0,0,0,クレジット購入借入金,152549,-,108599,-,175529,-,35520,-,x,-,117319,-,178582,-
45,1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,1,2,0,0,0,実収入以外の受取のその他,1746,-,241,-,2502,-,-,-,-,-,-,-,3026,-
47,1,1,0,0,0,繰入金,246501,-,367183,-,235036,-,73243,-,x,-,136985,-,308674,-
48,2,0,0,0,0,支払,1364283,-,1281513,-,1490612,-,665999,-,x,-,858119,-,1633291,-
49,2,1,0,0,0,実支出,491079,-,388176,-,549214,-,263179,-,x,-,361487,-,560983,-
50,2,2,0,0,0,生計支出,379798,-,286350,-,425443,-,200747,-,x,-,304476,-,432604,-
51,2,3,0,0,0,消費支出,379798,100.0,286350,100.0,425443,100.0,200747,100.0,x,x,304476,100.0,432604,100.0
52,2,4,1,0,0,食料,97134,25.6,88943,31.1,103760,24.4,59867,29.8,x,x,78834,25.9,105009,24.3
53,2,5,1,1,0,穀類,7696,2.0,6227,2.2,8308,2.0,3767,1.9,x,x,7661,2.5,8264,1.9
54,2,6,1,1,1,米類,1788,0.5,1070,0.4,2010,0.5,766,0.4,x,x,2028,0.7,2034,0.5
55,2,6,1,1,2,パン,3700,1.0,3198,1.1,3933,0.9,1558,0.8,x,x,3788,1.2,3892,0.9
56,2,6,1,1,3,麺類,1646,0.4,1381,0.5,1766,0.4,939,0.5,x,x,1566,0.5,1694,0.4
57,2,6,1,1,4,他の穀類,562,0.1,579,0.2,599,0.1,504,0.3,x,x,279,0.1,644,0.1
58,2,5,1,2,0,魚介類,5481,1.4,4657,1.6,5863,1.4,3499,1.7,x,x,5095,1.7,5783,1.3
59,2,6,1,2,1,生鮮魚介,3111,0.8,2569,0.9,3391,0.8,1797,0.9,x,x,2657,0.9,3292,0.8
60,2,6,1,2,2,塩干魚介,1092,0.3,1072,0.4,1104,0.3,916,0.5,x,x,1110,0.4,1113,0.3
61,2,6,1,2,3,魚肉練製品,502,0.1,456,0.2,516,0.1,202,0.1,x,x,593,0.2,539,0.1
62,2,6,1,2,4,他の魚介加工品,775,0.2,559,0.2,852,0.2,583,0.3,x,x,735,0.2,839,0.2
63,2,5,1,3,0,肉類,8908,2.3,6618,2.3,9902,2.3,4993,2.5,x,x,7812,2.6,9776,2.3
64,2,6,1,3,1,生鮮肉,7245,1.9,5439,1.9,8026,1.9,4177,2.1,x,x,6388,2.1,7954,1.8
65,2,6,1,3,2,加工肉,1664,0.4,1179,0.4,1876,0.4,816,0.4,x,x,1424,0.5,1822,0.4
66,2,5,1,4,0,乳卵類,4786,1.3,4167,1.5,5201,1.2,2340,1.2,x,x,3900,1.3,4999,1.2
67,2,6,1,4,1,牛乳,1363,0.4,1022,0.4,1550,0.4,690,0.3,x,x,948,0.3,1476,0.3
68,2,6,1,4,2,乳製品,2383,0.6,2229,0.8,2540,0.6,1093,0.5,x,x,2003,0.7,2412,0.6
69,2,6,1,4,3,卵,1039,0.3,916,0.3,1110,0.3,557,0.3,x,x,949,0.3,1111,0.3
