1,"東京都生計分析調査　令和 5年 7月","","","","","","","","","","","","","","","","","",""
2,"","","","","","","","","第２表　世帯主年齢階層別１世帯当たり１か月間の品目別生計支出　―　全　世　帯　―","","","","","","","","","",""
3,"","","","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","","",""
4,"項目","階層","大分類","中分類","小分類","中間計","符号","項目名","都平均／実数（円）","都平均／対前年同月増加率（％）","35歳未満（円）","35～39歳（円）","40～44歳（円）","45～49歳（円）","50～54歳（円）","55～59歳（円）","60～64歳（円）","65歳以上（円）","（再掲）75歳以上（円）"
5,"0","0","0","0","0","0","0","世帯数分布",10000,-,582,679,679,1217,1056,1099,894,3794,1789
6,"0","0","0","0","0","0","0","調査世帯数",621,-,36,40,41,74,67,69,53,241,112
7,"0","0","0","0","0","0","0","世帯人員",2.97,-,2.91,3.84,3.46,3.61,3.28,3.00,2.88,2.46,2.38
8,"0","0","0","0","0","0","0","有業人員",1.42,-,1.57,1.56,1.59,1.71,1.87,1.94,1.78,0.89,0.58
9,"0","0","0","0","0","0","0","世帯主平均年齢",58.7,-,30.6,36.8,42.6,46.9,51.7,56.9,61.8,75.2,81.3
10,"2","2","0","0","0","0","0","生計支出",319403,1.4,257835,295377,317363,360252,393244,385717,339358,275927,252771
11,"2","3","0","0","0","0","0","消費支出",319403,1.4,257835,295377,317363,360252,393244,385717,339358,275927,252771
12,"2","4","1","0","0","0","0","食料",103650,10.6,72530,98740,105790,109134,111487,115237,120433,97664,87742
13,"2","5","1","1","0","0","0","穀類",7216,8.1,5187,7221,6458,7867,8382,7923,7132,6942,6662
14,"2","6","1","1","1","0","0","米類",1658,2.9,885,1801,1282,1806,1595,2076,1499,1705,1885
15,"2","7","1","1","1","0","102","米",1658,2.9,885,1801,1282,1806,1595,2076,1499,1705,1885
16,"2","6","1","1","2","0","0","パン",3072,7.1,2155,2784,2763,3136,3962,3216,3276,2961,2636
17,"2","7","1","1","2","0","120","食パン",951,-0.3,513,587,771,870,1148,1058,1108,1019,1054
18,"2","7","1","1","2","0","129","他のパン",2121,10.8,1642,2197,1991,2266,2814,2159,2168,1942,1582
19,"2","6","1","1","3","0","0","麺類",2039,14.7,1896,1986,1776,2422,2486,1942,2021,1903,1855
20,"2","7","1","1","3","0","130","生うどん・そば",296,16.5,352,213,300,342,307,299,288,284,287
21,"2","7","1","1","3","0","131","乾うどん・そば",444,20.7,240,349,267,312,672,225,665,515,685
22,"2","7","1","1","3","0","134","パスタ",137,-4.9,168,152,121,171,219,169,146,88,68
23,"2","7","1","1","3","0","133","中華麺",563,15.8,434,547,546,651,509,560,502,591,540
24,"2","7","1","1","3","0","135","カップ麺",376,10.9,447,527,340,609,479,469,257,243,164
25,"2","7","1","1","3","0","132","即席麺",154,32.8,211,152,158,215,226,141,104,120,55
26,"2","7","1","1","3","0","139","他の麺類",69,0.0,44,48,44,122,75,79,59,60,56
27,"2","6","1","1","4","0","0","他の穀類",446,7.2,251,650,638,503,339,689,336,374,286
28,"2","7","1","1","4","0","140","小麦粉",34,-20.9,7,32,25,36,23,12,16,53,31
29,"2","7","1","1","4","0","150","もち",28,-17.6,4,52,36,44,23,65,-,18,27
30,"2","7","1","1","4","0","160","他の穀類のその他",384,13.3,240,565,577,423,292,612,320,302,228
31,"2","5","1","2","0","0","0","魚介類",5725,-3.4,2974,3444,4665,5400,4663,5475,6226,7100,6311
32,"2","6","1","2","1","0","0","生鮮魚介",3165,2.1,1589,1812,2997,3114,2704,3198,3480,3740,3103
33,"2","7","1","2","1","170-189","0","鮮魚",2938,0.9,1514,1686,2916,2932,2547,3061,3241,3389,2850
34,"2","7","1","2","1","170-189","170","まぐろ",581,0.5,417,424,519,449,534,654,574,682,598
35,"2","7","1","2","1","170-189","172","あじ",69,-10.4,12,67,31,60,62,92,63,85,98
36,"2","7","1","2","1","170-189","173","いわし",31,-26.2,-,14,17,5,26,35,51,45,44
37,"2","7","1","2","1","170-189","174","かつお",189,20.4,64,179,189,219,91,246,194,209,221
38,"2","7","1","2","1","170-189","175","かれい",27,-38.6,8,-,33,28,17,70,-,30,49
39,"2","7","1","2","1","170-189","176","さけ",422,-3.7,156,266,324,608,476,360,396,457,410
40,"2","7","1","2","1","170-189","177","さば",59,28.3,47,20,34,75,51,106,61,56,48
41,"2","7","1","2","1","170-189","178","さんま",6,-45.5,-,-,-,-,3,-,-,16,4
42,"2","7","1","2","1","170-189","180","たい",55,-12.7,16,23,79,52,74,92,76,43,24
43,"2","7","1","2","1","170-189","181","ぶり",180,19.2,129,166,134,142,103,199,290,200,236
44,"2","7","1","2","1","170-189","182","いか",107,-23.6,70,37,56,77,90,102,120,148,82
45,"2","7","1","2","1","170-189","183","たこ",116,-8.7,21,38,129,74,111,89,91,172,97
46,"2","7","1","2","1","170-189","185","えび",178,-12.7,224,50,53,208,143,174,244,203,226
47,"2","7","1","2","1","170-189","186","かに",6,500.0,-,-,-,-,-,22,13,6,5
48,"2","7","1","2","1","170-189","189","他の鮮魚",522,14.7,195,350,903,454,491,464,568,571,390
49,"2","7","1","2","1","170-189","187","さしみ盛合わせ",389,2.4,156,51,416,480,274,356,499,467,316
50,"2","7","1","2","1","190-194","0","貝類",227,20.7,75,126,81,182,158,137,239,351,253
51,"2","7","1","2","1","190-194","190","あさり",47,38.2,19,60,-,58,26,15,38,70,69
52,"2","7","1","2","1","190-194","192","しじみ",50,-2.0,11,20,-,33,60,34,131,58,63
53,"2","7","1","2","1","190-194","191","かき(貝)",13,44.4,-,15,21,-,28,-,-,19,40
54,"2","7","1","2","1","190-194","194","ほたて貝",68,-4.2,46,31,60,38,41,57,70,99,80
55,"2","7","1","2","1","190-194","193","他の貝",50,117.4,-,-,-,53,2,31,-,104,-
56,"2","6","1","2","2","0","0","塩干魚介",1043,-2.5,523,801,858,832,767,862,1022,1400,1420
57,"2","7","1","2","2","0","195","塩さけ",143,6.7,52,105,135,140,98,116,154,183,250
58,"2","7","1","2","2","0","196","たらこ",194,11.5,128,64,90,215,141,220,173,253,237
59,"2","7","1","2","2","0","197","しらす干し",187,-5.1,102,124,85,147,148,143,131,280,211
60,"2","7","1","2","2","0","198","干しあじ",73,-22.3,34,57,71,24,43,64,67,109,143
61,"2","7","1","2","2","0","202","他の塩干魚介",445,-5.5,207,451,476,306,337,319,497,575,578
62,"2","6","1","2","3","0","0","魚肉練製品",580,-2.4,283,287,290,456,395,614,716,779,769
63,"2","7","1","2","3","0","203","揚げかまぼこ",136,-9.3,20,32,7,87,97,192,144,204,226
64,"2","7","1","2","3","0","204","ちくわ",142,6.8,80,81,110,119,90,110,88,211,210
