1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,,,,,
2,,,,第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
5,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,0,調査世帯数,602,-,-,88,-,87,-,86,-,87,-,82,-,84,-,88,-
7,0,0,世帯人員,2.94,-,-,2.59,-,2.73,-,2.98,-,2.98,-,2.96,-,3.10,-,3.24,-
8,0,0,有業人員,1.43,-,-,1.05,-,1.21,-,1.44,-,1.52,-,1.55,-,1.60,-,1.65,-
9,0,0,世帯主平均年齢,59.4,-,-,66.2,-,61.8,-,58.9,-,60.9,-,57.3,-,54.5,-,56.1,-
10,0,0,消費支出,369068,-,6.8,110503,-,175713,-,226397,-,278398,-,340623,-,437968,-,1004952,-
11,0,0,公共的料金,128941,34.9,19.9,27670,25.0,53658,30.5,60747,26.8,82531,29.6,96401,28.3,128069,29.2,449007,44.7
12,1,0,公共料金等,65342,17.7,5.7,23870,21.6,44754,25.5,44762,19.8,60458,21.7,72244,21.2,85732,19.6,124710,12.4
13,1,1,米,1646,0.4,-7.8,1207,1.1,1296,0.7,1546,0.7,1856,0.7,1771,0.5,1867,0.4,1972,0.2
14,1,1,食塩,31,0.0,-6.1,36,0.0,27,0.0,26,0.0,31,0.0,26,0.0,26,0.0,42,0.0
15,1,1,学校給食,365,0.1,14.4,135,0.1,336,0.2,512,0.2,458,0.2,281,0.1,223,0.1,609,0.1
16,1,1,公営家賃,1264,0.3,-62.4,258,0.2,820,0.5,1041,0.5,2735,1.0,1421,0.4,2601,0.6,-,-
17,1,1,電気代,13145,3.6,3.0,7287,6.6,10728,6.1,11604,5.1,12686,4.6,15744,4.6,17462,4.0,16450,1.6
18,1,1,都市ガス,7906,2.1,1.9,3951,3.6,7069,4.0,6432,2.8,8647,3.1,9899,2.9,8741,2.0,10539,1.0
19,1,1,上下水道料,4913,1.3,-16.0,2447,2.2,4887,2.8,4772,2.1,5705,2.0,5417,1.6,5121,1.2,6024,0.6
20,1,1,医科診療代,4260,1.2,6.2,1491,1.3,3680,2.1,2556,1.1,3806,1.4,5001,1.5,3982,0.9,9213,0.9
21,1,1,歯科診療代,1688,0.5,14.1,545,0.5,404,0.2,1457,0.6,1227,0.4,2527,0.7,4752,1.1,931,0.1
22,1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,1,1,他の入院料,2720,0.7,55.0,-,-,1978,1.1,-,-,967,0.3,2452,0.7,2301,0.5,11210,1.1
24,1,1,鉄道運賃,4011,1.1,88.3,312,0.3,2284,1.3,1231,0.5,4565,1.6,3800,1.1,6750,1.5,9082,0.9
25,1,1,鉄道通学定期代,1613,0.4,35.8,-,-,156,0.1,433,0.2,87,0.0,661,0.2,2674,0.6,7218,0.7
26,1,1,鉄道通勤定期代,1790,0.5,-12.6,-,-,297,0.2,1161,0.5,1234,0.4,2905,0.9,5148,1.2,1795,0.2
27,1,1,バス代,319,0.1,45.0,23,0.0,146,0.1,123,0.1,327,0.1,213,0.1,991,0.2,416,0.0
28,1,1,バス通学定期代,419,0.1,235.2,-,-,-,-,-,-,658,0.2,-,-,1815,0.4,478,0.0
29,1,1,バス通勤定期代,485,0.1,106.4,16,0.0,-,-,-,-,396,0.1,79,0.0,-,-,2867,0.3
