1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,,,,,
2,,,,,,,第１０表　世帯類型別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,2113,-,6740,-,362,-,81,-,785,-,4910,-
7,0,0,0,0,0,調査世帯数,334,-,73,-,222,-,13,-,3,-,26,-,167,-
8,0,0,0,0,0,世帯人員,3.26,-,2.00,-,3.75,-,2.44,-,2.50,-,2.77,-,3.41,-
9,0,0,0,0,0,有業人員,1.75,-,1.50,-,1.87,-,1.44,-,1.00,-,1.59,-,2.23,-
10,0,0,0,0,0,世帯主平均年齢,50.9,-,56.1,-,49.0,-,53.3,-,37.0,-,51.9,-,49.5,-
11,1,0,0,0,0,受取,1813576,-,1718631,-,1927885,-,1258818,-,1037121,-,1343690,-,2076491,-
12,1,1,0,0,0,実収入,984465,100.0,914701,100.0,1053034,100.0,825115,100.0,546875,100.0,656999,100.0,1164556,100.0
13,1,2,0,0,0,経常収入,966273,98.2,911352,99.6,1027148,97.5,824833,100.0,546273,99.9,656637,99.9,1135842,97.5
14,1,3,0,0,0,勤め先収入,887273,90.1,793474,86.7,969539,92.1,781879,94.8,442510,80.9,481966,73.4,1084822,93.2
15,1,4,0,0,0,世帯主収入,732381,74.4,649002,71.0,795394,75.5,704392,85.4,442510,80.9,428642,65.2,787137,67.6
16,1,6,0,0,0,うち男,703822,71.5,645044,70.5,784399,74.5,497538,60.3,-,-,265305,40.4,772253,66.3
17,1,5,0,0,0,定期収入,428670,43.5,378917,41.4,464365,44.1,383708,46.5,409042,74.8,276848,42.1,433327,37.2
18,1,5,0,0,0,臨時収入,2477,0.3,2140,0.2,2642,0.3,4907,0.6,-,-,845,0.1,2078,0.2
19,1,5,0,0,0,賞与,301234,30.6,267945,29.3,328387,31.2,315778,38.3,33468,6.1,150949,23.0,351732,30.2
20,1,4,0,0,0,世帯主の配偶者の収入,139401,14.2,144472,15.8,156998,14.9,-,-,-,-,38987,5.9,283898,24.4
21,1,6,0,0,0,うち女,135165,13.7,144472,15.8,151990,14.4,-,-,-,-,28018,4.3,275272,23.6
22,1,4,0,0,0,他の世帯員収入,15490,1.6,-,-,17148,1.6,77487,9.4,-,-,14337,2.2,13787,1.2
23,1,3,0,0,0,事業・内職収入,8943,0.9,14662,1.6,7480,0.7,3357,0.4,-,-,8685,1.3,8698,0.7
24,1,4,0,0,0,家賃収入,3749,0.4,8834,1.0,1782,0.2,-,-,-,-,8685,1.3,3517,0.3
25,1,4,0,0,0,他の事業収入,2242,0.2,1053,0.1,2997,0.3,-,-,-,-,-,-,4566,0.4
26,1,4,0,0,0,内職収入,2951,0.3,4775,0.5,2701,0.3,3357,0.4,-,-,-,-,615,0.1
27,1,3,0,0,0,他の経常収入,70057,7.1,103217,11.3,50129,4.8,39597,4.8,103763,19.0,165986,25.3,42322,3.6
28,1,4,0,0,0,財産収入,3658,0.4,8054,0.9,1900,0.2,8153,1.0,36675,6.7,4843,0.7,4283,0.4
29,1,4,0,0,0,社会保障給付,66221,6.7,94321,10.3,48229,4.6,31444,3.8,67088,12.3,161143,24.5,38040,3.3
30,1,5,0,0,0,公的年金給付,48579,4.9,92558,10.1,24141,2.3,16530,2.0,-,-,154841,23.6,23780,2.0
31,1,5,0,0,0,他の社会保障給付,17642,1.8,1763,0.2,24088,2.3,14914,1.8,67088,12.3,6302,1.0,14260,1.2
32,1,4,0,0,0,仕送り金,178,0.0,841,0.1,-,-,-,-,-,-,-,-,-,-
33,1,2,0,0,0,特別収入,18192,1.8,3349,0.4,25886,2.5,282,0.0,602,0.1,362,0.1,28714,2.5
34,1,3,0,0,0,受贈金,902,0.1,489,0.1,1185,0.1,-,-,-,-,-,-,273,0.0
35,1,3,0,0,0,他の特別収入,17290,1.8,2860,0.3,24701,2.3,282,0.0,602,0.1,362,0.1,28441,2.4
36,1,1,0,0,0,実収入以外の受取(繰入金を除く),541765,-,536263,-,558736,-,340753,-,372018,-,503664,-,584879,-
37,1,2,0,0,0,預貯金引出,386585,-,358182,-,396204,-,282486,-,325844,-,428546,-,412225,-
38,1,2,0,0,0,保険金,14992,-,27678,-,12875,-,-,-,-,-,5926,-,11294,-
39,1,3,0,0,0,個人・企業年金保険金,12483,-,27678,-,9154,-,-,-,-,-,5926,-,6186,-
40,1,3,0,0,0,他の保険金,2508,-,-,-,3722,-,-,-,-,-,-,-,5108,-
41,1,2,0,0,0,有価証券売却,2168,-,-,-,3217,-,-,-,-,-,-,-,4416,-
42,1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,1,2,0,0,0,他の借入金,543,-,-,-,715,-,-,-,-,-,784,-,981,-
44,1,2,0,0,0,クレジット購入借入金,136860,-,148503,-,145404,-,58267,-,46174,-,68408,-,155523,-
45,1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,1,2,0,0,0,実収入以外の受取のその他,618,-,1900,-,321,-,-,-,-,-,-,-,440,-
