1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,
2,,,第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
5,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,調査世帯数,607,-,-,81,-,87,-,90,-,89,-,87,-,87,-,86,-
7,0,世帯人員,2.97,-,-,2.65,-,2.79,-,2.72,-,2.99,-,3.09,-,3.08,-,3.48,-
8,0,有業人員,1.44,-,-,1.09,-,1.39,-,1.26,-,1.40,-,1.58,-,1.62,-,1.73,-
9,0,世帯主平均年齢,59.4,-,-,63.6,-,59.8,-,63.3,-,60.4,-,57.8,-,55.3,-,55.4,-
10,0,消費支出,345213,100.0,8.8,110422,100.0,176184,100.0,227699,100.0,280804,100.0,343798,100.0,447084,100.0,824853,100.0
11,2,基礎的支出,186416,54.0,4.7,80662,73.0,127017,72.1,151042,66.3,171473,61.1,211609,61.6,238606,53.4,322611,39.1
12,3,選択的支出,158797,46.0,13.9,29760,27.0,49167,27.9,76658,33.7,109331,38.9,132189,38.4,208478,46.6,502242,60.9
13,1,食料,98460,28.5,10.5,54504,49.4,75564,42.9,85249,37.4,92715,33.0,110326,32.1,124283,27.8,145893,17.7
14,2,基礎的支出,74756,21.7,4.9,45169,40.9,61506,34.9,70182,30.8,72457,25.8,85087,24.7,87932,19.7,100516,12.2
