1,"東京都生計分析調査　令和 5年 9月","","","","","","","","","","","","","","",""
2,"","","","","","","第１３表　住居所有形態別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―","","","","","","","","",""
3,"","","","","","","注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","持家／実数（円）","持家／構成比（％）","民営借家／実数（円）","民営借家／構成比（％）","公営借家／実数（円）","公営借家／構成比（％）","給与住宅／実数（円）","給与住宅／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,8526,-,1065,-,248,-,161,-
7,"0","0","0","0","0","調査世帯数",627,-,536,-,63,-,18,-,10,-
8,"0","0","0","0","0","世帯人員",2.97,-,3.01,-,2.72,-,2.52,-,3.33,-
9,"0","0","0","0","0","有業人員",1.36,-,1.36,-,1.49,-,0.70,-,1.40,-
10,"0","0","0","0","0","世帯主平均年齢",59.5,-,60.8,-,50.0,-,63.1,-,43.0,-
11,"2","2","0","0","0","生計支出",314314,-,311470,-,363325,-,205140,-,308787,-
12,"2","3","0","0","0","消費支出",314314,100.0,311470,100.0,363325,100.0,205140,100.0,308787,100.0
13,"2","4","1","0","0","食料",95721,30.5,98282,31.6,82692,22.8,68559,33.4,88130,28.5
14,"2","5","1","1","0","穀類",6701,2.1,6903,2.2,5277,1.5,6943,3.4,5061,1.6
15,"2","6","1","1","1","米類",1630,0.5,1679,0.5,1294,0.4,1674,0.8,1157,0.4
16,"2","6","1","1","2","パン",3005,1.0,3119,1.0,2258,0.6,3181,1.6,1632,0.5
17,"2","6","1","1","3","麺類",1619,0.5,1641,0.5,1447,0.4,1680,0.8,1486,0.5
18,"2","6","1","1","4","他の穀類",447,0.1,463,0.1,277,0.1,409,0.2,785,0.3
19,"2","5","1","2","0","魚介類",6267,2.0,6543,2.1,4750,1.3,3903,1.9,5293,1.7
20,"2","6","1","2","1","生鮮魚介",3632,1.2,3786,1.2,2772,0.8,2230,1.1,3325,1.1
21,"2","6","1","2","2","塩干魚介",1165,0.4,1210,0.4,987,0.3,710,0.3,656,0.2
22,"2","6","1","2","3","魚肉練製品",571,0.2,603,0.2,345,0.1,472,0.2,522,0.2
23,"2","6","1","2","4","他の魚介加工品",899,0.3,944,0.3,647,0.2,491,0.2,789,0.3
24,"2","5","1","3","0","肉類",8699,2.8,8994,2.9,7033,1.9,5457,2.7,9093,2.9
25,"2","6","1","3","1","生鮮肉",7166,2.3,7403,2.4,5936,1.6,4270,2.1,7217,2.3
26,"2","6","1","3","2","加工肉",1533,0.5,1591,0.5,1097,0.3,1187,0.6,1877,0.6
27,"2","5","1","4","0","乳卵類",5224,1.7,5448,1.7,4007,1.1,3554,1.7,3982,1.3
28,"2","6","1","4","1","牛乳",1692,0.5,1765,0.6,1300,0.4,1074,0.5,1398,0.5
29,"2","6","1","4","2","乳製品",2472,0.8,2586,0.8,1850,0.5,1585,0.8,1894,0.6
30,"2","6","1","4","3","卵",1060,0.3,1097,0.4,858,0.2,896,0.4,689,0.2
31,"2","5","1","5","0","野菜・海藻",10917,3.5,11386,3.7,8209,2.3,8302,4.0,8019,2.6
32,"2","6","1","5","1","生鮮野菜",7746,2.5,8104,2.6,5638,1.6,5695,2.8,5935,1.9
33,"2","6","1","5","2","乾物・海藻",698,0.2,728,0.2,495,0.1,658,0.3,484,0.2
34,"2","6","1","5","3","大豆加工品",1241,0.4,1284,0.4,1024,0.3,931,0.5,877,0.3
35,"2","6","1","5","4","他の野菜・海藻加工品",1231,0.4,1269,0.4,1053,0.3,1018,0.5,723,0.2
36,"2","5","1","6","0","果物",4522,1.4,4768,1.5,3148,0.9,2936,1.4,3017,1.0
37,"2","6","1","6","1","生鮮果物",4154,1.3,4379,1.4,2910,0.8,2572,1.3,2911,0.9
38,"2","6","1","6","2","果物加工品",367,0.1,388,0.1,237,0.1,364,0.2,107,0.0
39,"2","5","1","7","0","油脂・調味料",4162,1.3,4286,1.4,3337,0.9,3458,1.7,4136,1.3
40,"2","6","1","7","1","油脂",493,0.2,509,0.2,354,0.1,434,0.2,644,0.2
41,"2","6","1","7","2","調味料",3669,1.2,3777,1.2,2983,0.8,3024,1.5,3491,1.1
42,"2","5","1","8","0","菓子類",7412,2.4,7633,2.5,5717,1.6,7505,3.7,6785,2.2
43,"2","5","1","9","0","調理食品",13831,4.4,14070,4.5,12953,3.6,12240,6.0,9459,3.1
44,"2","6","1","9","1","主食的調理食品",6000,1.9,5988,1.9,6320,1.7,6430,3.1,3865,1.3
45,"2","6","1","9","2","他の調理食品",7831,2.5,8081,2.6,6633,1.8,5810,2.8,5594,1.8
46,"2","5","1","10","0","飲料",6026,1.9,6017,1.9,5882,1.6,6826,3.3,6211,2.0
47,"2","6","1","10","1","茶類",1208,0.4,1201,0.4,1161,0.3,1443,0.7,1511,0.5
48,"2","6","1","10","2","コーヒー・ココア",1047,0.3,1020,0.3,1199,0.3,1244,0.6,1181,0.4
49,"2","6","1","10","3","他の飲料",3771,1.2,3796,1.2,3522,1.0,4139,2.0,3519,1.1
50,"2","5","1","11","0","酒類",4561,1.5,4575,1.5,4296,1.2,2103,1.0,9339,3.0
51,"2","5","1","12","0","外食",17400,5.5,17659,5.7,18083,5.0,5330,2.6,17736,5.7
52,"2","6","1","12","1","一般外食",17005,5.4,17272,5.5,17524,4.8,5330,2.6,17411,5.6
53,"2","6","1","12","2","学校給食",395,0.1,388,0.1,559,0.2,-,-,325,0.1
54,"2","4","2","0","0","住居",16664,5.3,6465,2.1,94875,26.1,20336,9.9,33595,10.9
55,"2","5","2","1","0","家賃地代",11171,3.6,216,0.1,93420,25.7,19952,9.7,33578,10.9
56,"2","5","2","2","0","設備修繕・維持",5493,1.7,6249,2.0,1455,0.4,384,0.2,17,0.0
57,"2","6","2","2","1","設備材料",3175,1.0,3723,1.2,9,0.0,-,-,17,0.0
58,"2","6","2","2","2","工事その他のサービス",2318,0.7,2527,0.8,1446,0.4,384,0.2,-,-
59,"2","4","3","0","0","光熱・水道",18766,6.0,19279,6.2,16988,4.7,13563,6.6,11400,3.7
60,"2","5","3","1","0","電気代",11337,3.6,11788,3.8,9041,2.5,8063,3.9,7721,2.5
61,"2","5","3","2","0","ガス代",2949,0.9,2946,0.9,3033,0.8,3127,1.5,2302,0.7
62,"2","5","3","3","0","他の光熱",40,0.0,36,0.0,71,0.0,35,0.0,36,0.0
63,"2","5","3","4","0","上下水道料",4439,1.4,4509,1.4,4842,1.3,2338,1.1,1341,0.4
64,"2","4","4","0","0","家具・家事用品",13716,4.4,14305,4.6,10899,3.0,5990,2.9,13028,4.2
65,"2","5","4","1","0","家庭用耐久財",5537,1.8,5960,1.9,4022,1.1,1101,0.5,-,-
66,"2","6","4","1","1","家事用耐久財",1567,0.5,1634,0.5,1636,0.5,-,-,-,-
67,"2","6","4","1","2","冷暖房用器具",3371,1.1,3863,1.2,474,0.1,1101,0.5,-,-
68,"2","6","4","1","3","一般家具",599,0.2,463,0.1,1912,0.5,-,-,-,-
69,"2","5","4","2","0","室内装備・装飾品",354,0.1,399,0.1,131,0.0,-,-,-,-
70,"2","5","4","3","0","寝具類",1024,0.3,1070,0.3,983,0.3,103,0.1,287,0.1
71,"2","5","4","4","0","家事雑貨",2590,0.8,2651,0.9,2177,0.6,1642,0.8,3550,1.1
72,"2","5","4","5","0","家事用消耗品",3581,1.1,3686,1.2,2867,0.8,2841,1.4,3923,1.3
73,"2","5","4","6","0","家事サービス",630,0.2,540,0.2,719,0.2,302,0.1,5269,1.7
74,"2","4","5","0","0","被服及び履物",7523,2.4,7444,2.4,8129,2.2,7045,3.4,8427,2.7
75,"2","5","5","1","0","和服",13,0.0,5,0.0,80,0.0,-,-,-,-
76,"2","5","5","2","0","洋服",2949,0.9,2988,1.0,2149,0.6,3787,1.8,4892,1.6
77,"2","6","5","2","1","男子用洋服",1154,0.4,1257,0.4,428,0.1,-,-,2264,0.7
78,"2","6","5","2","2","婦人用洋服",1404,0.4,1324,0.4,1533,0.4,3469,1.7,1614,0.5
79,"2","6","5","2","3","子供用洋服",391,0.1,406,0.1,188,0.1,318,0.2,1015,0.3
80,"2","5","5","3","0","シャツ・セーター類",1417,0.5,1378,0.4,2037,0.6,795,0.4,315,0.1
81,"2","6","5","3","1","男子用シャツ・セーター類",427,0.1,458,0.1,260,0.1,346,0.2,-,-
82,"2","6","5","3","2","婦人用シャツ・セーター類",884,0.3,817,0.3,1656,0.5,449,0.2,-,-
83,"2","6","5","3","3","子供用シャツ・セーター類",105,0.0,102,0.0,121,0.0,-,-,315,0.1
84,"2","5","5","4","0","下着類",847,0.3,886,0.3,606,0.2,914,0.4,237,0.1
85,"2","6","5","4","1","男子用下着類",227,0.1,257,0.1,58,0.0,80,0.0,-,-
86,"2","6","5","4","2","婦人用下着類",496,0.2,519,0.2,450,0.1,206,0.1,-,-
87,"2","6","5","4","3","子供用下着類",124,0.0,110,0.0,98,0.0,628,0.3,237,0.1
88,"2","5","5","5","0","生地・糸類",51,0.0,59,0.0,1,0.0,5,0.0,15,0.0
89,"2","5","5","6","0","他の被服",465,0.1,411,0.1,731,0.2,1083,0.5,609,0.2
90,"2","5","5","7","0","履物類",1452,0.5,1372,0.4,2263,0.6,444,0.2,1866,0.6
91,"2","5","5","8","0","被服関連サービス",330,0.1,345,0.1,262,0.1,17,0.0,493,0.2
92,"2","4","6","0","0","保健医療",15457,4.9,16086,5.2,11830,3.3,12923,6.3,10043,3.3
93,"2","5","6","1","0","医薬品",2643,0.8,2802,0.9,1509,0.4,2624,1.3,1753,0.6
94,"2","5","6","2","0","健康保持用摂取品",1325,0.4,1486,0.5,501,0.1,216,0.1,-,-
95,"2","5","6","3","0","保健医療用品・器具",2319,0.7,2290,0.7,2097,0.6,3529,1.7,3479,1.1
96,"2","5","6","4","0","保健医療サービス",9170,2.9,9509,3.1,7723,2.1,6554,3.2,4812,1.6
97,"2","4","7","0","0","交通・通信",34654,11.0,33926,10.9,43671,12.0,27034,13.2,25307,8.2
98,"2","5","7","1","0","交通",9604,3.1,10014,3.2,8338,2.3,4983,2.4,3387,1.1
99,"2","5","7","2","0","自動車等関係費",13886,4.4,12820,4.1,25033,6.9,5104,2.5,10120,3.3
100,"2","6","7","2","1","自動車等購入",2017,0.6,-,-,18935,5.2,-,-,-,-
101,"2","6","7","2","2","自転車購入",646,0.2,710,0.2,377,0.1,-,-,-,-
102,"2","6","7","2","3","自動車等維持",11224,3.6,12110,3.9,5722,1.6,5104,2.5,10120,3.3
103,"2","5","7","3","0","通信",11164,3.6,11092,3.6,10300,2.8,16947,8.3,11800,3.8
104,"2","4","8","0","0","教育",24439,7.8,24753,7.9,25678,7.1,44,0.0,37160,12.0
105,"2","5","8","1","0","授業料等",18744,6.0,18411,5.9,23351,6.4,44,0.0,34648,11.2
106,"2","5","8","2","0","教科書・学習参考教材",133,0.0,121,0.0,241,0.1,-,-,224,0.1
107,"2","5","8","3","0","補習教育",5562,1.8,6220,2.0,2085,0.6,-,-,2288,0.7
108,"2","4","9","0","0","教養娯楽",36509,11.6,38627,12.4,23018,6.3,20104,9.8,38866,12.6
109,"2","5","9","1","0","教養娯楽用耐久財",2789,0.9,2923,0.9,679,0.2,-,-,13956,4.5
110,"2","5","9","2","0","教養娯楽用品",6758,2.2,7115,2.3,5023,1.4,4481,2.2,2882,0.9
111,"2","5","9","3","0","書籍・他の印刷物",3439,1.1,3586,1.2,2287,0.6,1754,0.9,5910,1.9
112,"2","5","9","4","0","教養娯楽サービス",23522,7.5,25004,8.0,15030,4.1,13869,6.8,16118,5.2
113,"2","6","9","4","1","宿泊料",3021,1.0,3137,1.0,1415,0.4,5167,2.5,4174,1.4
114,"2","6","9","4","2","パック旅行費",4936,1.6,5678,1.8,887,0.2,-,-,-,-
115,"2","6","9","4","3","月謝類",3787,1.2,3871,1.2,3537,1.0,3086,1.5,2109,0.7
116,"2","6","9","4","4","他の教養娯楽サービス",11779,3.7,12318,4.0,9190,2.5,5615,2.7,9835,3.2
117,"2","4","10","0","0","その他の消費支出",50867,16.2,52304,16.8,45545,12.5,29543,14.4,42831,13.9
118,"2","5","10","1","0","諸雑費",26326,8.4,25827,8.3,31611,8.7,18156,8.9,30351,9.8
119,"2","6","10","1","1","理美容サービス",4033,1.3,4083,1.3,4516,1.2,1836,0.9,1552,0.5
120,"2","6","10","1","2","理美容用品",5296,1.7,5406,1.7,4432,1.2,5122,2.5,5467,1.8
121,"2","6","10","1","3","身の回り用品",1474,0.5,1488,0.5,1629,0.4,87,0.0,1847,0.6
122,"2","6","10","1","4","たばこ",1154,0.4,970,0.3,1913,0.5,3900,1.9,1616,0.5
123,"2","6","10","1","5","他の諸雑費",14370,4.6,13880,4.5,19121,5.3,7211,3.5,19868,6.4
124,"2","5","10","2","0","こづかい",5758,1.8,5953,1.9,4897,1.3,3883,1.9,4017,1.3
125,"2","5","10","3","0","交際費",14288,4.5,15469,5.0,7530,2.1,6502,3.2,8464,2.7
126,"2","6","10","3","0","食料",4550,1.4,4844,1.6,2711,0.7,2737,1.3,3936,1.3
127,"2","6","10","3","0","家具・家事用品",227,0.1,257,0.1,71,0.0,-,-,-,-
128,"2","6","10","3","0","被服及び履物",142,0.0,161,0.1,42,0.0,-,-,-,-
129,"2","6","10","3","0","教養娯楽",804,0.3,879,0.3,118,0.0,1386,0.7,489,0.2
130,"2","6","10","3","0","他の物品サービス",571,0.2,591,0.2,508,0.1,-,-,777,0.3
131,"2","6","10","3","6","贈与金",3591,1.1,4045,1.3,1065,0.3,866,0.4,457,0.1
132,"2","6","10","3","7","他の交際費",4404,1.4,4691,1.5,3016,0.8,1512,0.7,2805,0.9
133,"2","5","10","4","0","仕送り金",4495,1.4,5055,1.6,1507,0.4,1003,0.5,-,-
134,"2","3","0","0","0","土地家屋購入",-,-,-,-,-,-,-,-,-,-
135,"2","3","0","0","0","（再掲）教育関係費",28757,9.1,29608,9.5,27139,7.5,452,0.2,37975,12.3
136,"2","3","0","0","0","（再掲）教養娯楽関係費",40947,13.0,43207,13.9,26841,7.4,23562,11.5,41372,13.4
