1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第３表　勤め先収入７分位階層別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―　,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
7,0,0,0,0,0,調査世帯数,332,-,-,46,-,47,-,47,-,48,-,48,-,50,-,46,-
8,0,0,0,0,0,世帯人員,3.27,-,-,2.97,-,2.96,-,3.34,-,3.17,-,3.49,-,3.54,-,3.40,-
9,0,0,0,0,0,有業人員,1.78,-,-,1.59,-,1.71,-,1.70,-,1.66,-,1.81,-,1.94,-,2.07,-
10,0,0,0,0,0,世帯主平均年齢,51.1,-,-,56.7,-,54.2,-,51.9,-,47.8,-,49.8,-,48.3,-,49.3,-
11,1,0,0,0,0,受取,1364283,-,0.3,506220,-,852515,-,1172704,-,1383587,-,1345265,-,1828384,-,2440363,-
12,1,1,0,0,0,実収入,593190,100.0,0.0,89087,100.0,310191,100.0,433013,100.0,568110,100.0,650726,100.0,846787,100.0,1242272,100.0
13,1,2,0,0,0,経常収入,572176,96.5,2.6,84386,94.7,306755,98.9,426019,98.4,523735,92.2,629998,96.8,789070,93.2,1233094,99.3
14,1,3,0,0,0,勤め先収入,558861,94.2,2.9,57287,64.3,286981,92.5,417795,96.5,508879,89.6,623536,95.8,777782,91.9,1227113,98.8
15,1,4,0,0,0,世帯主収入,449219,75.7,-0.8,48073,54.0,243724,78.6,363457,83.9,433487,76.3,543328,83.5,613467,72.4,888813,71.5
16,1,6,0,0,0,うち男,430622,72.6,3.8,31587,35.5,191771,61.8,356485,82.3,415879,73.2,518494,79.7,601060,71.0,888813,71.5
17,1,5,0,0,0,定期収入,426944,72.0,6.1,48073,54.0,239965,77.4,357139,82.5,423951,74.6,531522,81.7,602588,71.2,775735,62.4
18,1,5,0,0,0,臨時収入,8118,1.4,38.5,-,-,3759,1.2,2167,0.5,977,0.2,10411,1.6,7348,0.9,31926,2.6
19,1,5,0,0,0,賞与,14157,2.4,-68.2,-,-,-,-,4150,1.0,8559,1.5,1395,0.2,3530,0.4,81152,6.5
20,1,4,0,0,0,世帯主の配偶者の収入,100398,16.9,22.8,7360,8.3,32329,10.4,39762,9.2,63852,11.2,80208,12.3,155652,18.4,321393,25.9
21,1,6,0,0,0,うち女,96729,16.3,25.6,7360,8.3,27136,8.7,34645,8.0,63852,11.2,71669,11.0,148997,17.6,321393,25.9
22,1,4,0,0,0,他の世帯員収入,9244,1.6,6.4,1853,2.1,10927,3.5,14576,3.4,11540,2.0,-,-,8663,1.0,16907,1.4
23,1,3,0,0,0,事業・内職収入,4543,0.8,-32.1,6034,6.8,8339,2.7,2222,0.5,2049,0.4,5757,0.9,1788,0.2,5649,0.5
24,1,4,0,0,0,家賃収入,2327,0.4,-21.5,5335,6.0,6184,2.0,2058,0.5,-,-,-,-,-,-,2769,0.2
25,1,4,0,0,0,他の事業収入,459,0.1,-84.4,-,-,650,0.2,-,-,-,-,2492,0.4,56,0.0,-,-
26,1,4,0,0,0,内職収入,1757,0.3,125.5,700,0.8,1505,0.5,164,0.0,2049,0.4,3265,0.5,1732,0.2,2880,0.2
27,1,3,0,0,0,他の経常収入,8773,1.5,13.8,21064,23.6,11435,3.7,6002,1.4,12807,2.3,704,0.1,9501,1.1,331,0.0
28,1,4,0,0,0,財産収入,195,0.0,-90.1,-,-,422,0.1,40,0.0,-,-,7,0.0,778,0.1,110,0.0
29,1,4,0,0,0,社会保障給付,8578,1.4,88.5,21064,23.6,11012,3.6,5962,1.4,12807,2.3,697,0.1,8723,1.0,222,0.0
30,1,5,0,0,0,公的年金給付,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,1,5,0,0,0,他の社会保障給付,8578,1.4,88.5,21064,23.6,11012,3.6,5962,1.4,12807,2.3,697,0.1,8723,1.0,222,0.0
32,1,4,0,0,0,仕送り金,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,1,2,0,0,0,特別収入,21013,3.5,-41.5,4702,5.3,3437,1.1,6994,1.6,44374,7.8,20728,3.2,57716,6.8,9179,0.7
34,1,3,0,0,0,受贈金,11426,1.9,-56.7,-,-,-,-,4129,1.0,18123,3.2,418,0.1,54475,6.4,2691,0.2
35,1,3,0,0,0,他の特別収入,9587,1.6,0.5,4702,5.3,3437,1.1,2865,0.7,26251,4.6,20310,3.1,3241,0.4,6488,0.5
36,1,1,0,0,0,実収入以外の受取(繰入金を除く),524592,-,4.4,297907,-,324197,-,468776,-,518896,-,544599,-,703038,-,809089,-
37,1,2,0,0,0,預貯金引出,367642,-,-2.2,192229,-,225269,-,337749,-,400963,-,382260,-,476049,-,554950,-
38,1,2,0,0,0,保険金,2058,-,-65.6,13117,-,1255,-,336,-,-,-,-,-,-,-,-,-
39,1,3,0,0,0,個人・企業年金保険金,1625,-,-72.8,10362,-,1255,-,-,-,-,-,-,-,-,-,-,-
40,1,3,0,0,0,他の保険金,433,-,...,2755,-,-,-,336,-,-,-,-,-,-,-,-,-
41,1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,1,2,0,0,0,他の借入金,597,-,50.4,422,-,-,-,-,-,3373,-,-,-,425,-,-,-
44,1,2,0,0,0,クレジット購入借入金,152549,-,27.0,91974,-,97674,-,130691,-,113853,-,162339,-,226214,-,243169,-
45,1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,1,2,0,0,0,実収入以外の受取のその他,1746,-,595.6,165,-,-,-,-,-,707,-,-,-,350,-,10971,-
47,1,1,0,0,0,繰入金,246501,-,-6.8,119226,-,218126,-,270916,-,296582,-,149940,-,278559,-,389001,-
48,2,0,0,0,0,支払,1364283,-,0.3,506220,-,852515,-,1172704,-,1383587,-,1345265,-,1828384,-,2440363,-
49,2,1,0,0,0,実支出,491079,-,6.7,268464,-,307261,-,408243,-,430378,-,511270,-,665427,-,840617,-
50,2,2,0,0,0,生計支出,379798,-,7.9,254853,-,269834,-,348458,-,340179,-,380579,-,499052,-,562029,-
51,2,3,0,0,0,消費支出,379798,100.0,9.2,254853,100.0,269834,100.0,348458,100.0,340179,100.0,380579,100.0,499052,100.0,562029,100.0
52,2,4,1,0,0,食料,97134,25.6,12.1,85225,33.4,78076,28.9,91671,26.3,88731,26.1,103463,27.2,107331,21.5,125071,22.3
53,2,5,1,1,0,穀類,7696,2.0,10.9,7797,3.1,6161,2.3,7901,2.3,7327,2.2,8122,2.1,8107,1.6,8455,1.5
54,2,6,1,1,1,米類,1788,0.5,-0.2,2256,0.9,1191,0.4,1804,0.5,1372,0.4,1734,0.5,2072,0.4,2096,0.4
55,2,6,1,1,2,パン,3700,1.0,19.3,3619,1.4,2752,1.0,4029,1.2,3280,1.0,4168,1.1,3430,0.7,4608,0.8
56,2,6,1,1,3,麺類,1646,0.4,5.4,1235,0.5,1793,0.7,1534,0.4,2066,0.6,1731,0.5,1956,0.4,1204,0.2
57,2,6,1,1,4,他の穀類,562,0.1,15.6,687,0.3,425,0.2,534,0.2,609,0.2,490,0.1,650,0.1,547,0.1
58,2,5,1,2,0,魚介類,5481,1.4,4.6,5680,2.2,4760,1.8,5275,1.5,4737,1.4,5979,1.6,5721,1.1,6210,1.1
59,2,6,1,2,1,生鮮魚介,3111,0.8,0.1,3188,1.3,2922,1.1,3085,0.9,2832,0.8,2892,0.8,3213,0.6,3644,0.6
60,2,6,1,2,2,塩干魚介,1092,0.3,23.5,1203,0.5,790,0.3,1029,0.3,855,0.3,1539,0.4,1129,0.2,1103,0.2
61,2,6,1,2,3,魚肉練製品,502,0.1,15.4,543,0.2,472,0.2,427,0.1,418,0.1,577,0.2,594,0.1,482,0.1
62,2,6,1,2,4,他の魚介加工品,775,0.2,-5.0,746,0.3,576,0.2,734,0.2,632,0.2,971,0.3,785,0.2,980,0.2
63,2,5,1,3,0,肉類,8908,2.3,4.1,8786,3.4,7203,2.7,8035,2.3,8396,2.5,10831,2.8,9450,1.9,9659,1.7
64,2,6,1,3,1,生鮮肉,7245,1.9,3.3,7211,2.8,6107,2.3,6144,1.8,6990,2.1,8715,2.3,7655,1.5,7901,1.4
65,2,6,1,3,2,加工肉,1664,0.4,7.8,1576,0.6,1096,0.4,1891,0.5,1407,0.4,2116,0.6,1795,0.4,1758,0.3
66,2,5,1,4,0,乳卵類,4786,1.3,7.8,4229,1.7,4037,1.5,5024,1.4,4363,1.3,4809,1.3,5501,1.1,5515,1.0
67,2,6,1,4,1,牛乳,1363,0.4,0.2,1119,0.4,1150,0.4,1510,0.4,1305,0.4,1391,0.4,1826,0.4,1232,0.2
