1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,,,,
2,,,第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
5,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,0,調査世帯数,617,-,-,87,-,88,-,88,-,91,-,87,-,86,-,90,-
7,0,世帯人員,2.96,-,-,2.59,-,3.05,-,2.83,-,2.88,-,3.18,-,3.04,-,3.15,-
8,0,有業人員,1.40,-,-,1.13,-,1.45,-,1.27,-,1.42,-,1.64,-,1.27,-,1.63,-
9,0,世帯主平均年齢,59.6,-,-,63.4,-,57.4,-,65.4,-,59.0,-,56.2,-,57.5,-,58.5,-
10,0,消費支出,315648,100.0,9.7,101273,100.0,157681,100.0,206901,100.0,254931,100.0,314063,100.0,402229,100.0,769151,100.0
11,2,基礎的支出,180839,57.3,8.8,75088,74.1,112344,71.2,144931,70.0,156594,61.4,190920,60.8,214187,53.3,370264,48.1
12,3,選択的支出,134809,42.7,11.0,26185,25.9,45337,28.8,61970,30.0,98337,38.6,123144,39.2,188042,46.7,398888,51.9
13,1,食料,97206,30.8,10.0,54212,53.5,74093,47.0,88317,42.7,90337,35.4,108329,34.5,124924,31.1,139660,18.2
14,2,基礎的支出,76500,24.2,8.9,46181,45.6,62820,39.8,74805,36.2,70799,27.8,85556,27.2,91119,22.7,103829,13.5
15,3,選択的支出,20706,6.6,14.0,8031,7.9,11273,7.1,13512,6.5,19538,7.7,22773,7.3,33805,8.4,35830,4.7
16,1,住居,29384,9.3,32.2,1415,1.4,4662,3.0,10171,4.9,17990,7.1,21830,7.0,29834,7.4,119289,15.5
17,2,基礎的支出,27977,8.9,35.4,1415,1.4,4662,3.0,9017,4.4,16372,6.4,20647,6.6,27518,6.8,115739,15.0
18,3,選択的支出,1406,0.4,-10.4,-,-,-,-,1154,0.6,1618,0.6,1182,0.4,2316,0.6,3550,0.5
19,1,光熱・水道,19347,6.1,-4.8,11474,11.3,16520,10.5,19453,9.4,19163,7.5,20158,6.4,21633,5.4,26916,3.5
20,2,基礎的支出,19347,6.1,-4.8,11474,11.3,16520,10.5,19453,9.4,19163,7.5,20158,6.4,21633,5.4,26916,3.5
21,3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,1,家具・家事用品,13566,4.3,4.4,3377,3.3,5847,3.7,7819,3.8,8568,3.4,18236,5.8,17536,4.4,33458,4.3
23,2,基礎的支出,10703,3.4,10.4,2997,3.0,4496,2.9,6935,3.4,7385,2.9,12889,4.1,14392,3.6,25729,3.3
24,3,選択的支出,2862,0.9,-13.2,380,0.4,1352,0.9,885,0.4,1183,0.5,5347,1.7,3144,0.8,7729,1.0
25,1,被服及び履物,11965,3.8,8.6,2198,2.2,4640,2.9,6861,3.3,12396,4.9,13026,4.1,14064,3.5,30427,4.0
26,2,基礎的支出,787,0.2,-15.3,264,0.3,365,0.2,935,0.5,874,0.3,695,0.2,904,0.2,1464,0.2
27,3,選択的支出,11178,3.5,10.8,1934,1.9,4275,2.7,5926,2.9,11522,4.5,12331,3.9,13159,3.3,28962,3.8
28,1,保健医療,16807,5.3,4.1,4503,4.4,7022,4.5,13694,6.6,11950,4.7,16564,5.3,23851,5.9,39876,5.2
29,2,基礎的支出,15128,4.8,14.5,4386,4.3,7001,4.4,11963,5.8,10946,4.3,13783,4.4,21571,5.4,36071,4.7
30,3,選択的支出,1679,0.5,-42.7,116,0.1,21,0.0,1731,0.8,1004,0.4,2781,0.9,2280,0.6,3805,0.5
31,1,交通・通信,34762,11.0,2.1,5992,5.9,11492,7.3,15462,7.5,25439,10.0,29292,9.3,36932,9.2,118235,15.4
32,2,基礎的支出,6390,2.0,-10.0,1438,1.4,2384,1.5,3416,1.7,7742,3.0,7665,2.4,7695,1.9,14320,1.9
33,3,選択的支出,28372,9.0,5.3,4553,4.5,9108,5.8,12046,5.8,17697,6.9,21627,6.9,29237,7.3,103915,13.5
34,1,教育,14824,4.7,14.3,1063,1.0,1356,0.9,526,0.3,2850,1.1,7941,2.5,20970,5.2,68793,8.9
35,2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,3,選択的支出,14824,4.7,14.3,1063,1.0,1356,0.9,526,0.3,2850,1.1,7941,2.5,20970,5.2,68793,8.9
37,1,教養娯楽,36651,11.6,22.1,7627,7.5,13602,8.6,20541,9.9,30443,11.9,31254,10.0,51336,12.8,101270,13.2
38,2,基礎的支出,6356,2.0,5.1,2563,2.5,3841,2.4,7205,3.5,6273,2.5,7131,2.3,6569,1.6,10860,1.4
39,3,選択的支出,30295,9.6,26.4,5064,5.0,9760,6.2,13336,6.4,24169,9.5,24122,7.7,44767,11.1,90410,11.8
40,1,その他の消費支出,41137,13.0,4.0,9412,9.3,18448,11.7,24057,11.6,35795,14.0,47433,15.1,61150,15.2,91228,11.9
41,2,基礎的支出,17650,5.6,-2.3,4369,4.3,10255,6.5,11204,5.4,17040,6.7,22394,7.1,22786,5.7,35335,4.6
42,3,選択的支出,23487,7.4,9.3,5043,5.0,8193,5.2,12853,6.2,18755,7.4,25039,8.0,38364,9.5,55893,7.3
3805,8.4,,"0","受贈金",3968,0.6,554,0.1,26959,4.3,4073,0.7,12,0.0,48,0.0,-,-,590,0.1,-,-
35,"1","3","0","0","0","他の特別収入",3759,0.6,2951,0.6,1714,0.3,5884,1.0,3372,0.5,6714,1.0,2774,0.3,1013,0.2,4228,1.5
36,"1","1","0","0","0","実収入以外の受取(繰入金を除く)",528671,-,366026,-,498757,-,451757,-,547985,-,459436,-,624096,-,837079,-,388472,-
37,"1","2","0","0","0","預貯金引出",384753,-,231876,-,351985,-,324357,-,408359,-,318536,-,433508,-,702727,-,266864,-
38,"1","2","0","0","0","保険金",205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2392,-
39,"1","3","0","0","0","個人・企業年金保険金",205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2392,-
40,"1","3","0","0","0","他の保険金",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,"1","2","0","0","0","有価証券売却",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,"1","2","0","0","0","土地家屋借入金",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,"1","2","0","0","0","他の借入金",204,-,-,-,-,-,-,-,-,-,-,-,-,-,1955,-,-,-
44,"1","2","0","0","0","クレジット購入借入金",142935,-,134150,-,144934,-,127366,-,139321,-,140901,-,188666,-,132397,-,119026,-
45,"1","2","0","0","0","土地家屋売却",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,"1","2","0","0","0","実収入以外の受取のその他",574,-,-,-,1839,-,34,-,305,-,-,-,1923,-,-,-,190,-
47,"1","1","0","0","0","繰入金",414047,-,168428,-,1033475,-,338956,-,387545,-,307336,-,584729,-,175688,-,109590,-
48,"2","0","0","0","0","支払",1569893,-,1055567,-,2160920,-,1392843,-,1657641,-,1428427,-,2045047,-,1529095,-,775430,-
49,"2","1","0","0","0","実支出",508216,-,375025,-,414579,-,446387,-,487818,-,485864,-,612089,-,860879,-,334500,-
50,"2","2","0","0","0","生計支出",375495,-,299028,-,302878,-,323245,-,334084,-,339934,-,391400,-,754386,-,291524,-
51,"2","3","0","0","0","消費支出",333485,100.0,299028,100.0,302878,100.0,323245,100.0,334084,100.0,339934,100.0,391400,100.0,351011,100.0,291524,100.0
52,"2","4","1","0","0","食料",100712,30.2,77654,26.0,89004,29.4,98126,30.4,100122,30.0,113859,33.5,109514,28.0,104841,29.9,96637,33.1
53,"2","5","1","1","0","穀類",7191,2.2,4309,1.4,5884,1.9,7702,2.4,8382,2.5,8058,2.4,7072,1.8,7205,2.1,6811,2.3
54,"2","6","1","1","1","米類",1564,0.5,458,0.2,895,0.3,1681,0.5,1766,0.5,2034,0.6,1311,0.3,2027,0.6,1808,0.6
55,"2","6","1","1","2","パン",3375,1.0,2016,0.7,2786,0.9,3756,1.2,4110,1.2,3521,1.0,3472,0.9,3346,1.0,2917,1.0
56,"2","6","1","1","3","麺類",1704,0.5,1426,0.5,1495,0.5,1770,0.5,1951,0.6,1888,0.6,1596,0.4,1589,0.5,1584,0.5
57,"2","6","1","1","4","他の穀類",549,0.2,408,0.1,707,0.2,495,0.2,556,0.2,615,0.2,693,0.2,243,0.1,502,0.2
58,"2","5","1","2","0","魚介類",5837,1.8,2613,0.9,4361,1.4,4597,1.4,5280,1.6,7365,2.2,5349,1.4,8339,2.4,8372,2.9
59,"2","6","1","2","1","生鮮魚介",3373,1.0,1827,0.6,2200,0.7,2469,0.8,2903,0.9,4565,1.3,3254,0.8,4641,1.3,4943,1.7
60,"2","6","1","2","2","塩干魚介",928,0.3,322,0.1,847,0.3,980,0.3,1106,0.3,978,0.3,677,0.2,1130,0.3,1186,0.4
61,"2","6","1","2","3","魚肉練製品",630,0.2,237,0.1,509,0.2,430,0.1,693,0.2,851,0.3,537,0.1,748,0.2,863,0.3
62,"2","6","1","2","4","他の魚介加工品",906,0.3,227,0.1,806,0.3,719,0.2,578,0.2,971,0.3,881,0.2,1821,0.5,1380,0.5
63,"2","5","1","3","0","肉類",9589,2.9,6189,2.1,7096,2.3,8752,2.7,11232,3.4,11409,3.4,10470,2.7,10301,2.9,7963,2.7
64,"2","6","1","3","1","生鮮肉",7905,2.4,5297,1.8,5421,1.8,7258,2.2,9275,2.8,9364,2.8,9058,2.3,8287,2.4,6559,2.2
65,"2","6","1","3","2","加工肉",1684,0.5,893,0.3,1674,0.6,1494,0.5,1958,0.6,2045,0.6,1412,0.4,2013,0.6,1403,0.5
66,"2","5","1","4","0","乳卵類",5110,1.5,4313,1.4,4593,1.5,4885,1.5,4784,1.4,6032,1.8,5880,1.5,5253,1.5,4259,1.5
67,"2","6","1","4","1","牛乳",1513,0.5,903,0.3,1277,0.4,1523,0.5,1377,0.4,1797,0.5,1646,0.4,1944,0.6,1332,0.5
68,"2","6","1","4","2","乳製品",2544,0.8,2761,0.9,2361,0.8,2386,0.7,2292,0.7,3047,0.9,3255,0.8,2045,0.6,1801,0.6
69,"2","6","1","4","3","卵",1053,0.3,649,0.2,955,0.3,976,0.3,1114,0.3,1187,0.3,978,0.2,1264,0.4,1125,0.4
70,"2","5","1","5","0","野菜・海藻",9521,2.9,6007,2.0,7489,2.5,7997,2.5,9236,2.8,11466,3.4,10983,2.8,11266,3.2,9844,3.4
71,"2","6","1","5","1","生鮮野菜",6563,2.0,4166,1.4,5383,1.8,5619,1.7,6307,1.9,8076,2.4,7029,1.8,7886,2.2,6814,2.3
72,"2","6","1","5","2","乾物・海藻",740,0.2,539,0.2,466,0.2,631,0.2,856,0.3,1052,0.3,779,0.2,566,0.2,748,0.3
73,"2","6","1","5","3","大豆加工品",1087,0.3,555,0.2,824,0.3,1041,0.3,1128,0.3,1206,0.4,1201,0.3,1393,0.4,1111,0.4
74,"2","6","1","5","4","他の野菜・海藻加工品",1131,0.3,748,0.3,816,0.3,706,0.2,945,0.3,1131,0.3,1974,0.5,1422,0.4,1171,0.4
