1,"東京都生計分析調査　令和 5年12月","","","","","","","","","","","","","","","","","","",""
2,"","","","第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","","項目（0：世帯数等　1：公共料金等　2：準公共料金等）","","","","","","","","","","","","","","","",""
4,"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
5,"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","0","調査世帯数",614,-,-,89,-,95,-,80,-,93,-,91,-,83,-,83,-
7,"0","0","世帯人員",2.90,-,-,2.85,-,2.73,-,2.89,-,2.83,-,2.86,-,3.13,-,3.00,-
8,"0","0","有業人員",1.33,-,-,1.30,-,1.18,-,1.26,-,1.40,-,1.22,-,1.47,-,1.48,-
9,"0","0","世帯主平均年齢",60.4,-,-,62.9,-,62.5,-,59.5,-,60.0,-,61.2,-,58.7,-,57.9,-
10,"0","0","消費支出",370847,-,-1.9,116124,-,189110,-,248926,-,314869,-,391580,-,488139,-,843477,-
11,"0","0","公共的料金",85642,23.1,-7.1,22973,19.8,48017,25.4,62413,25.1,72372,23.0,78373,20.0,101890,20.9,212519,25.2
12,"1","0","公共料金等",51587,13.9,-18.9,19160,16.5,39597,20.9,42765,17.2,48874,15.5,57775,14.8,68259,14.0,84416,10.0
13,"1","1","米",1638,0.4,10.3,1169,1.0,1445,0.8,1904,0.8,1657,0.5,1822,0.5,1781,0.4,1693,0.2
14,"1","1","食塩",45,0.0,12.5,53,0.0,38,0.0,26,0.0,39,0.0,52,0.0,26,0.0,81,0.0
15,"1","1","学校給食",372,0.1,-52.7,78,0.1,175,0.1,329,0.1,713,0.2,465,0.1,653,0.1,190,0.0
16,"1","1","公営家賃",543,0.1,-84.7,238,0.2,-,-,-,-,958,0.3,732,0.2,1871,0.4,-,-
17,"1","1","電気代",8712,2.3,-19.1,4222,3.6,8013,4.2,8030,3.2,8371,2.7,9748,2.5,9850,2.0,12722,1.5
18,"1","1","都市ガス",4717,1.3,-29.5,2616,2.3,4518,2.4,4460,1.8,4762,1.5,4769,1.2,5034,1.0,6843,0.8
19,"1","1","上下水道料",4993,1.3,-14.3,2812,2.4,5268,2.8,5563,2.2,4011,1.3,5437,1.4,5032,1.0,6826,0.8
20,"1","1","医科診療代",3897,1.1,-28.3,982,0.8,3983,2.1,3375,1.4,3432,1.1,5878,1.5,5012,1.0,4614,0.5
21,"1","1","歯科診療代",1788,0.5,-25.2,759,0.7,1201,0.6,1557,0.6,992,0.3,1179,0.3,1576,0.3,5236,0.6
22,"1","1","出産入院料",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,"1","1","他の入院料",1712,0.5,122.3,-,-,759,0.4,-,-,1033,0.3,1759,0.4,5842,1.2,2576,0.3
24,"1","1","鉄道運賃",4060,1.1,-14.7,233,0.2,1185,0.6,1595,0.6,4574,1.5,4560,1.2,7316,1.5,8898,1.1
25,"1","1","鉄道通学定期代",59,0.0,34.1,-,-,-,-,312,0.1,106,0.0,-,-,-,-,-,-
26,"1","1","鉄道通勤定期代",1090,0.3,-15.8,363,0.3,132,0.1,609,0.2,348,0.1,1749,0.4,3421,0.7,1011,0.1
