1,"東京都生計分析調査　令和 5年 9月","","","","","","","","","","","","","","",""
2,"","","","","","","第６表　世帯人員別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―　","","","","","","","","",""
3,"","","","","","","注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","2人／実数（円）","2人／構成比（％）","3人／実数（円）","3人／構成比（％）","4人／実数（円）","4人／構成比（％）","5人以上／実数（円）","5人以上／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,2506,-,2877,-,3664,-,953,-
7,"0","0","0","0","0","調査世帯数",325,-,85,-,90,-,118,-,32,-
8,"0","0","0","0","0","世帯人員",3.33,-,2.00,-,3.00,-,4.00,-,5.28,-
9,"0","0","0","0","0","有業人員",1.74,-,1.51,-,1.72,-,1.92,-,1.74,-
10,"0","0","0","0","0","世帯主平均年齢",49.8,-,54.2,-,50.6,-,47.3,-,45.6,-
11,"1","0","0","0","0","受取",1455495,-,1305201,-,1364147,-,1680171,-,1262536,-
12,"1","1","0","0","0","実収入",592539,100.0,511788,100.0,592987,100.0,661436,100.0,538608,100.0
13,"1","2","0","0","0","経常収入",583636,98.5,505755,98.8,572932,96.6,657212,99.4,537838,99.9
14,"1","3","0","0","0","勤め先収入",563737,95.1,482628,94.3,563574,95.0,626987,94.8,534316,99.2
15,"1","4","0","0","0","世帯主収入",471350,79.5,422563,82.6,470662,79.4,507677,76.8,462045,85.8
16,"1","6","0","0","0","うち男",450874,76.1,396396,77.5,450864,76.0,485238,73.4,462045,85.8
17,"1","5","0","0","0","定期収入",457214,77.2,406793,79.5,463737,78.2,487579,73.7,453360,84.2
18,"1","5","0","0","0","臨時収入",6675,1.1,6842,1.3,6925,1.2,5841,0.9,8686,1.6
19,"1","5","0","0","0","賞与",7462,1.3,8928,1.7,-,-,14257,2.2,-,-
20,"1","4","0","0","0","世帯主の配偶者の収入",81431,13.7,53782,10.5,82271,13.9,103296,15.6,67534,12.5
