1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第３表　勤め先収入７分位階層別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―　,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
7,0,0,0,0,0,調査世帯数,334,-,-,50,-,47,-,46,-,46,-,44,-,50,-,51,-
8,0,0,0,0,0,世帯人員,3.26,-,-,3.06,-,3.24,-,3.21,-,3.31,-,3.17,-,3.32,-,3.48,-
9,0,0,0,0,0,有業人員,1.75,-,-,1.59,-,1.64,-,1.72,-,1.81,-,1.80,-,1.69,-,2.03,-
10,0,0,0,0,0,世帯主平均年齢,50.9,-,-,53.6,-,54.9,-,49.6,-,48.8,-,49.8,-,48.5,-,51.0,-
11,1,0,0,0,0,受取,1813576,-,2.1,908622,-,1142689,-,1299702,-,1519668,-,1691250,-,2208496,-,3905186,-
12,1,1,0,0,0,実収入,984465,100.0,-3.9,202388,100.0,446025,100.0,558404,100.0,692019,100.0,887433,100.0,1401018,100.0,2687155,100.0
13,1,2,0,0,0,経常収入,966273,98.2,-5.1,201843,99.7,441859,99.1,553619,99.1,656794,94.9,885256,99.8,1397474,99.7,2610795,97.2
14,1,3,0,0,0,勤め先収入,887273,90.1,-7.4,84481,41.7,301654,67.6,431299,77.2,580838,83.9,856481,96.5,1378826,98.4,2560078,95.3
15,1,4,0,0,0,世帯主収入,732381,74.4,-8.3,76799,37.9,276014,61.9,384270,68.8,495679,71.6,658532,74.2,1177978,84.1,2041788,76.0
