1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","",""
2,"","","","","","","第３２表　有業者の有無別及び世帯人員別１世帯当たり年平均１か月間の収入と用途別生計支出　―　無職世帯　―","","","","","","","","",""
3,"","","","","","","注）　１）は、「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いたもの。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","有業者の有無／有業者なし／実数（円）","有業者の有無／有業者なし／構成比（％）","有業者の有無／有業者あり／実数（円）","有業者の有無／有業者あり／構成比（％）","世帯人員別／2人／実数（円）","世帯人員別／2人／構成比（％）","世帯人員別／3人以上／実数（円）","世帯人員別／3人以上／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,6028,-,3972,-,7219,-,2781,-
7,"0","0","0","0","0","調査世帯数",194,-,118,-,76,-,141,-,53,-
8,"0","0","0","0","0","世帯人員",2.36,-,2.11,-,2.75,-,2.00,-,3.31,-
9,"0","0","0","0","0","有業人員",0.48,-,-,-,1.20,-,0.24,-,1.09,-
10,"0","0","0","0","0","世帯主平均年齢",75.0,-,75.8,-,73.7,-,75.9,-,72.7,-
11,"1","0","0","0","0","受取",714060,-,683984,-,761466,-,676659,-,812149,-
12,"1","1","0","0","0","実収入",242959,100.0,219504,100.0,278672,100.0,222366,100.0,297683,100.0
13,"1","2","0","0","0","経常収入",234631,96.6,211975,96.6,269307,96.6,215130,96.7,286777,96.3
14,"1","3","0","0","0","勤め先収入",37044,15.2,-,-,93911,33.7,21295,9.6,78897,26.5
15,"1","4","0","0","0","世帯主収入",-,-,-,-,-,-,-,-,-,-
16,"1","6","0","0","0","うち男",-,-,-,-,-,-,-,-,-,-
17,"1","5","0","0","0","定期収入",-,-,-,-,-,-,-,-,-,-
18,"1","5","0","0","0","臨時収入",-,-,-,-,-,-,-,-,-,-
19,"1","5","0","0","0","賞与",-,-,-,-,-,-,-,-,-,-
20,"1","4","0","0","0","世帯主の配偶者の収入",16787,6.9,-,-,43005,15.4,10780,4.8,33286,11.2
21,"1","6","0","0","0","うち女",16787,6.9,-,-,43005,15.4,10780,4.8,33286,11.2
22,"1","4","0","0","0","他の世帯員収入",20257,8.3,-,-,50906,18.3,10514,4.7,45611,15.3
23,"1","3","0","0","0","事業・内職収入",7215,3.0,4661,2.1,11140,4.0,6493,2.9,9052,3.0
24,"1","4","0","0","0","家賃収入",3282,1.4,2781,1.3,3932,1.4,3194,1.4,3564,1.2
25,"1","4","0","0","0","他の事業収入",387,0.2,-,-,1016,0.4,197,0.1,906,0.3
26,"1","4","0","0","0","内職収入",3547,1.5,1880,0.9,6192,2.2,3102,1.4,4582,1.5
27,"1","3","0","0","0","他の経常収入",190372,78.4,207314,94.4,164256,58.9,187342,84.2,198829,66.8
28,"1","4","0","0","0","財産収入",7611,3.1,6239,2.8,9699,3.5,4959,2.2,14791,5.0
29,"1","4","0","0","0","社会保障給付",182156,75.0,200629,91.4,153716,55.2,182006,81.8,182791,61.4
30,"1","5","0","0","0","公的年金給付",176488,72.6,192876,87.9,151116,54.2,179030,80.5,170134,57.2
31,"1","5","0","0","0","他の社会保障給付",5668,2.3,7753,3.5,2600,0.9,2976,1.3,12657,4.3
32,"1","4","0","0","0","仕送り金",606,0.2,445,0.2,841,0.3,377,0.2,1247,0.4
33,"1","2","0","0","0","特別収入",8328,3.4,7529,3.4,9365,3.4,7237,3.3,10906,3.7
34,"1","3","0","0","0","受贈金",1171,0.5,679,0.3,1826,0.7,689,0.3,2380,0.8
35,"1","3","0","0","0","他の特別収入",7157,2.9,6850,3.1,7540,2.7,6548,2.9,8526,2.9
36,"1","1","0","0","0","実収入以外の受取(繰入金を除く)",345310,-,342479,-,348546,-,339374,-,362577,-
37,"1","2","0","0","0","預貯金引出",247364,-,241021,-,256353,-,238900,-,271127,-
38,"1","2","0","0","0","保険金",29538,-,34871,-,20783,-,32566,-,21427,-
39,"1","3","0","0","0","個人・企業年金保険金",26318,-,30614,-,19432,-,28385,-,21031,-
40,"1","3","0","0","0","他の保険金",3220,-,4257,-,1351,-,4181,-,396,-
41,"1","2","0","0","0","有価証券売却",1926,-,3056,-,-,-,2622,-,-,-
42,"1","2","0","0","0","土地家屋借入金",-,-,-,-,-,-,-,-,-,-
43,"1","2","0","0","0","他の借入金",61,-,60,-,68,-,83,-,-,-
44,"1","2","0","0","0","クレジット購入借入金",65870,-,62804,-,70988,-,64503,-,69858,-
45,"1","2","0","0","0","土地家屋売却",-,-,-,-,-,-,-,-,-,-
46,"1","2","0","0","0","実収入以外の受取のその他",551,-,666,-,354,-,701,-,166,-
47,"1","1","0","0","0","繰入金",125791,-,122002,-,134248,-,114919,-,151888,-
48,"2","0","0","0","0","支払",714060,-,683984,-,761466,-,676659,-,812149,-
49,"2","1","0","0","0","実支出",302380,-,291205,-,319250,-,290550,-,333421,-
50,"2","2","0","0","0","生計支出",266549,-,260375,-,275896,-,256707,-,292246,-
51,"2","3","0","0","0","消費支出",265902,100.0,259237,100.0,275896,100.0,255774,100.0,292246,100.0
52,"2","4","1","0","0","食料",85142,32.0,82078,31.7,89888,32.6,78900,30.8,101230,34.6
