1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,
2,,,,,,,第１４表　住居所有形態別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,7879,-,1692,-,214,-,214,-
7,0,0,0,0,0,調査世帯数,344,-,271,-,56,-,9,-,8,-
8,0,0,0,0,0,世帯人員,3.23,-,3.29,-,3.07,-,2.82,-,2.82,-
9,0,0,0,0,0,有業人員,1.75,-,1.81,-,1.59,-,1.27,-,1.36,-
10,0,0,0,0,0,世帯主平均年齢,50.9,-,52.3,-,44.2,-,53.4,-,48.9,-
11,1,0,0,0,0,受取,1487693,-,1462262,-,1737853,-,709485,-,1226054,-
12,1,1,0,0,0,実収入,614895,100.0,584451,100.0,795682,100.0,332077,100.0,589823,100.0
13,1,2,0,0,0,経常収入,563081,91.6,575774,98.5,532406,66.9,313857,94.5,587980,99.7
14,1,3,0,0,0,勤め先収入,547298,89.0,561062,96.0,507636,63.8,313857,94.5,587980,99.7
15,1,4,0,0,0,世帯主収入,443948,72.2,448203,76.7,439930,55.3,270129,81.3,493159,83.6
16,1,6,0,0,0,うち男,422938,68.8,432934,74.1,389751,49.0,247348,74.5,493159,83.6
17,1,5,0,0,0,定期収入,421912,68.6,421414,72.1,437009,54.9,269218,81.1,473823,80.3
18,1,5,0,0,0,臨時収入,3127,0.5,3136,0.5,2921,0.4,911,0.3,6646,1.1
19,1,5,0,0,0,賞与,18909,3.1,23653,4.0,-,-,-,-,12690,2.2
20,1,4,0,0,0,世帯主の配偶者の収入,90529,14.7,98272,16.8,59858,7.5,43728,13.2,94822,16.1
21,1,6,0,0,0,うち女,85553,13.9,95732,16.4,42279,5.3,43728,13.2,94822,16.1
22,1,4,0,0,0,他の世帯員収入,12821,2.1,14587,2.5,7848,1.0,-,-,-,-
23,1,3,0,0,0,事業・内職収入,8060,1.3,10009,1.7,1026,0.1,-,-,-,-
24,1,4,0,0,0,家賃収入,4376,0.7,5554,1.0,-,-,-,-,-,-
25,1,4,0,0,0,他の事業収入,1854,0.3,2227,0.4,587,0.1,-,-,-,-
26,1,4,0,0,0,内職収入,1830,0.3,2228,0.4,439,0.1,-,-,-,-
27,1,3,0,0,0,他の経常収入,7723,1.3,4703,0.8,23744,3.0,-,-,-,-
28,1,4,0,0,0,財産収入,1170,0.2,565,0.1,4282,0.5,-,-,-,-
29,1,4,0,0,0,社会保障給付,6553,1.1,4138,0.7,19461,2.4,-,-,-,-
30,1,5,0,0,0,公的年金給付,-,-,-,-,-,-,-,-,-,-
31,1,5,0,0,0,他の社会保障給付,6553,1.1,4138,0.7,19461,2.4,-,-,-,-
32,1,4,0,0,0,仕送り金,-,-,-,-,-,-,-,-,-,-
33,1,2,0,0,0,特別収入,51814,8.4,8677,1.5,263276,33.1,18219,5.5,1842,0.3
34,1,3,0,0,0,受贈金,1029,0.2,470,0.1,3894,0.5,-,-,-,-
35,1,3,0,0,0,他の特別収入,50786,8.3,8207,1.4,259382,32.6,18219,5.5,1842,0.3
36,1,1,0,0,0,実収入以外の受取(繰入金を除く),556855,-,592553,-,430880,-,334040,-,461826,-
