年,四半期,全体,製造業,卸売業,小売業,サービス,(%)
2008,Ⅰ,-8.5,3.1,-0.6,-39,-5.1,
2008,Ⅱ,-15.3,-8.4,-8.3,-44.7,-5.2,
2008,Ⅲ,-23,-18.3,-13.1,-51.8,-13.3,
2008,Ⅳ,-33.7,-41,-27.7,-52.1,-13.6,
2009,Ⅰ,-40.3,-45.9,-34.9,-50.7,-29.9,
2009,Ⅱ,-41.4,-51.5,-37.8,-48.6,-26.2,
2009,Ⅲ,-41.9,-50.7,-31.8,-51.4,-33.7,
2009,Ⅳ,-37.9,-37.2,-30.8,-54.8,-30.9,
2010,Ⅰ,-28.6,-28.7,-21.8,-42.8,-22.7,
2010,Ⅱ,-29.4,-22.6,-20.5,-50.6,-29.4,
2010,Ⅲ,-24.7,-19.6,-11.5,-49.2,-23.1,
2010,Ⅳ,-20.6,-15.4,-7.6,-51.7,-13.5,
2011,Ⅰ,-26.3,-19.3,-19.8,-51.9,-19.5,
2011,Ⅱ,-25.6,-21.8,-14.2,-46.5,-23.4,
2011,Ⅲ,-25.7,-18.8,-14.4,-51.1,-24.3,
2011,Ⅳ,-20.9,-13.6,-10.6,-46.3,-19.6,
2012,Ⅰ,-15.6,-13.8,-1.6,-36.9,-15.7,
2012,Ⅱ,-14.5,-15.3,-6,-35.7,-6,
2012,Ⅲ,-21.6,-19.3,-3.7,-54.8,-15.2,
2012,Ⅳ,-14.7,-12,-7.1,-36.4,-7.3,
2013,Ⅰ,-13,-17.9,-7.1,-30.5,-0.6,
2013,Ⅱ,-14,-16.4,-5.2,-31.6,-7,
2013,Ⅲ,-15,-20,-3.2,-42.9,-0.6,
2013,Ⅳ,-9,-13.9,9.2,-38.7,4.9,
2014,Ⅰ,-3.4,-5,8.3,-31.6,7.1,
2014,Ⅱ,-10.9,-7,-1.4,-42.7,-1.4,
2014,Ⅲ,-11.2,-10.3,-3.7,-34.2,-1.9,
2014,Ⅳ,-11.1,-7.8,-3.7,-38.7,2.9,
2015,Ⅰ,-4.9,0.2,0.6,-27.3,-1.1,
2015,Ⅱ,-6.1,0.9,0.8,-31.5,-0.8,
2015,Ⅲ,-7.1,-5,0.9,-32.5,1.8,
2015,Ⅳ,-3.9,-2.6,6.4,-24.4,2,
2016,Ⅰ,-7.3,-5.7,-0.3,-29.7,0.5,
2016,Ⅱ,-10.1,-12.2,-5.5,-31.2,3.6,
2016,Ⅲ,-6.9,-5.1,-0.6,-28.6,1.1,
2016,Ⅳ,1.2,2.9,11.9,-23.8,8.4,
2017,Ⅰ,-1.8,-1.5,9,-25.8,5.5,
2017,Ⅱ,0.2,1,7.6,-23.5,9.4,
2017,Ⅲ,-0.9,-1.3,13.5,-29.7,7.2,
2017,Ⅳ,4.2,3.1,19.6,-24.3,12.5,
2018,Ⅰ,1.2,3.5,17,-28.8,4.4,
2018,Ⅱ,1.5,6.4,13,-27.3,7.5,
2018,Ⅲ,-0.2,0.6,13.5,-30.9,8.5,
2018,Ⅳ,3.5,2.9,18.3,-27.3,12.9,
2019,Ⅰ,-2.5,-2.5,12,-31.4,4.2,
2019,Ⅱ,-4.5,-7.2,4.6,-26.1,6.1,
2019,Ⅲ,-4.1,-10.6,11.2,-35,10.8,
2019,Ⅳ,-3.5,-5.2,7.3,-29.8,8.7,
