区分１,区分２,(n),情報収集・活用力(％),語学力(％),統率力・リーダーシップ力(％),企画・開発力(％),専門知識(％),営業力(％),データ分析力(％),コミュニケーション力(％),プレゼンテーション力(％),事務処理力(％),交渉力(％),その他(％),無回答(％)
今回調査,全体,1504,30.9,12.7,32.4,28.5,63.8,38.2,16.2,45.7,22,31.8,26.1,2.3,2.5
業種別 ,情報・コンテンツ業,411,36.7,15.8,46,48.9,61.8,42.1,19.5,55.5,29,17.3,33.1,1.5,1.9
業種別 ,専門サービス業,527,30.2,13.9,18.8,20.1,66.6,32.3,19.2,38.5,19.5,49.5,22,1.7,2.7
業種別 ,技術サービス業,222,29.3,10.8,35.1,27.5,78.8,33.3,10.4,41.9,29.3,18.9,29.3,2.3,2.3
業種別 ,事業サービス業,338,26,8.6,35.2,17.5,51.8,46.4,11.2,47.6,12.7,30.5,22.2,4.4,3.3
特定10業種別,税理士事務所,179,23.5,4.5,9.5,5.6,76,25.1,19,30.2,9.5,54.2,15.6,0.6,4.5
特定10業種別,ソフトウェア業,222,30.2,14.4,52.3,42.8,74.8,36.9,17.1,56.8,29.3,10.4,29.7,0.5,1.4
特定10業種別,建築設計業,103,35.9,16.5,31.1,36.9,82.5,27.2,11.7,42.7,39.8,14.6,27.2,1.9,1
特定10業種別,デザイン業,76,44.7,14.5,30.3,50,57.9,44.7,19.7,52.6,35.5,19.7,31.6,2.6,1.3
特定10業種別,経営コンサルタント業,53,35.8,15.1,24.5,28.3,64.2,37.7,26.4,45.3,28.3,39.6,26.4,1.9,1.9
特定10業種別,建物サービス業,76,19.7,2.6,43.4,14.5,56.6,47.4,5.3,55.3,9.2,23.7,27.6,0,2.6
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",38,10.5,13.2,10.5,5.3,71.1,18.4,7.9,34.2,5.3,60.5,15.8,2.6,2.6
特定10業種別,自動車整備業,38,15.8,2.6,18.4,5.3,60.5,50,13.2,23.7,5.3,13.2,5.3,18.4,5.3
特定10業種別,法律事務所,43,30.2,20.9,18.6,11.6,60.5,9.3,25.6,46.5,9.3,90.7,23.3,2.3,0
特定10業種別,映像情報制作・配給業,43,44.2,20.9,46.5,55.8,39.5,37.2,14,60.5,34.9,23.3,41.9,2.3,7
従業者規模別,１～２人,154,16.9,8.4,6.5,12.3,53.2,18.2,10.4,20.1,7.8,39.6,11.7,3.2,9.1
従業者規模別,３～５人,438,27.2,8.9,14.8,21.2,65.5,31.3,13.7,35.2,17.1,35.2,20.8,1.1,2.7
従業者規模別,６～９人,297,32.7,14.5,32,25.3,62.3,39.7,17.2,47.1,22.2,29,25.6,2.7,1.7
従業者規模別,10～29人,332,38.3,17.5,46.4,40.1,65.7,47.6,19,57.8,30.7,25.9,33.4,2.7,1.5
従業者規模別,30人以上,250,35.6,14,62,40,67.2,48.4,18.4,60.8,27.2,31.2,35.2,3.2,0.8
年間売上高増減別（３年前）,大幅（10％以上）増加,234,36.3,17.1,42.7,40.2,70.9,42.3,19.7,59.4,26.9,28.6,32.1,0.4,2.6
年間売上高増減別（３年前）,やや（10％未満）増加,279,33,14.7,39.8,30.8,69.5,39.1,18.3,56.6,29,30.5,26.9,1.8,1.4
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,505,29.7,12.5,28.1,26.1,63,33.9,14.3,41.4,16.8,32.1,23.8,2.8,3
年間売上高増減別（３年前）,やや（10％未満）減少,243,24.7,9.5,28,20.2,59.7,38.3,15.6,36.6,19.8,35.8,21.8,3.3,1.6
年間売上高増減別（３年前）,大幅（10％以上）減少,215,31.2,8.8,26.5,27.9,53.5,41.4,13.5,35.8,21.9,29.3,28.8,2.8,4.2
売上高経常利益率別,黒字,1144,30.5,13.2,34.6,28.5,65.7,38.1,16.9,47.4,23.1,32.9,26.6,2.1,2.4
売上高経常利益率別,赤字,296,32.1,10.1,25,28.4,55.4,39.9,14.2,38.9,19.9,25.7,25,2.7,2.4
経常損益の変化別（３年前）,増益,374,34.2,14.7,35.8,37.2,70.9,39.6,18.4,54.5,27.3,28.3,29.4,2.1,2.4
経常損益の変化別（３年前）,横ばい,628,30.3,11.6,31.7,25,60.7,34.9,14.6,42.7,18.8,32.6,23.9,1.9,2.4
経常損益の変化別（３年前）,減益,470,28.7,11.9,31.3,26.4,62.3,41.3,16,42.8,22.6,32.3,26.4,2.8,2.8
代表者の年齢別,40歳未満,39,25.6,20.5,30.8,35.9,61.5,25.6,17.9,51.3,20.5,33.3,15.4,2.6,2.6
代表者の年齢別,40歳代,226,37.2,12.4,37.6,35,62.8,43.4,18.6,60.2,21.7,28.3,31.9,1.3,1.8
代表者の年齢別,50歳代,422,35.1,15.2,40.5,33.2,65.4,42.4,17.5,51.4,27,30.6,30.1,3.1,1.9
代表者の年齢別,60～64歳,238,30.7,15.1,38.7,30.7,64.3,39.9,16.4,46.6,22.7,28.2,26.9,2.9,1.3
代表者の年齢別,65～69歳,214,22.4,8.9,27.6,24.3,65.4,35,12.1,39.7,21,28,22,2.3,1.4
代表者の年齢別,70歳以上,336,28.6,9.2,17.9,18.2,62.2,32.1,14.3,31.3,15.5,39.3,21.1,1.5,5.4
