区分１,区分２,(n),同業者の増加(％),異業種からの参入増加(％),複数社に対する相見積の増加(％),顧客ニーズの高度化(％),顧客による業務の内製化(％),顧客側の業績悪化(％),大企業の寡占化(％),社会環境変化等によるサービスへの需要減退(％),規制緩和・強化、法改正(％),新しいビジネスモデルの登場(％),デジタルプラットフォームビジネスの登場(％),技術革新(％),その他(％),無回答(％),
今回調査,全体,782,55.6,16.9,31.1,23.4,20.1,25.8,15.6,11.3,8.4,12.8,6.4,6.4,3.3,1.2,
前回調査,全体,995,49.7,17,31.7,21.1,17.4,27.8,15.7,11.6,9.3,12.8,-,7.4,4.5,0.9,※-は新規
業種別 ,情報・コンテンツ業,180,46.1,15,28.3,36.1,22.2,22.2,13.3,11.7,7.8,16.1,9.4,13.9,3.9,1.1,
業種別 ,専門サービス業,339,63.1,16.5,26.3,18.6,22.4,31,12.7,8.8,7.7,15,8.3,4.7,1.8,1.2,
業種別 ,技術サービス業,106,50,13.2,41.5,21.7,21.7,24.5,27.4,12.3,4.7,7.5,1.9,4.7,3.8,0,
業種別 ,事業サービス業,154,54.5,22.7,37.7,20.1,11,20.1,16.9,15.6,13.6,7.8,1.9,2.6,5.8,1.3,
特定10業種別,税理士事務所,106,67,15.1,17.9,17,8.5,41.5,11.3,7.5,7.5,17,5.7,2.8,1.9,0.9,
特定10業種別,ソフトウェア業,90,45.6,10,28.9,44.4,20,17.8,13.3,11.1,14.4,18.9,7.8,16.7,4.4,2.2,
特定10業種別,建築設計業,51,49,9.8,43.1,29.4,17.6,19.6,37.3,13.7,5.9,7.8,0,3.9,7.8,0,
特定10業種別,デザイン業,58,37.9,12.1,39.7,17.2,50,39.7,12.1,15.5,3.4,22.4,15.5,6.9,0,1.7,
特定10業種別,経営コンサルタント業,36,58.3,30.6,8.3,30.6,22.2,27.8,11.1,2.8,2.8,11.1,8.3,2.8,2.8,0,
特定10業種別,建物サービス業,33,57.6,27.3,60.6,24.2,6.1,24.2,27.3,18.2,15.2,3,0,9.1,3,3,
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",31,71,12.9,22.6,12.9,16.1,22.6,32.3,19.4,16.1,3.2,3.2,0,6.5,0,
特定10業種別,自動車整備業,12,33.3,16.7,25,16.7,25,25,16.7,8.3,0,0,0,0,16.7,0,
特定10業種別,法律事務所,28,92.9,17.9,3.6,21.4,10.7,17.9,3.6,7.1,17.9,7.1,7.1,7.1,0,0,
特定10業種別,映像情報制作・配給業,24,41.7,16.7,25,33.3,33.3,33.3,20.8,0,4.2,12.5,12.5,4.2,4.2,0,
従業者規模別,１～２人,201,59.2,16.4,26.9,12.9,21.9,26.4,15.4,10.4,7,10,7,5.5,5,2,
従業者規模別,３～５人,197,60.4,22.3,27.4,20.8,19.3,31.5,20.3,10.2,4.6,13.2,5.1,6.1,2,0,
従業者規模別,６～９人,115,51.3,13.9,33,26.1,15.7,25.2,13.9,13,7,13,6.1,3.5,3.5,0.9,
従業者規模別,10～29人,150,53.3,13.3,36.7,22.7,24,24,14,13.3,8,13.3,8.7,9.3,2,1.3,
従業者規模別,30人以上,104,48.1,16.3,36.5,46.2,18.3,17.3,8.7,10.6,19.2,16.3,5.8,7.7,4.8,1.9,
年間売上高増減別（３年前）,大幅（10％以上）増加,110,60,16.4,30.9,40,22.7,11.8,13.6,6.4,8.2,12.7,9.1,6.4,1.8,0.9,
年間売上高増減別（３年前）,やや（10％未満）増加,131,59.5,19.1,37.4,25.2,19.1,21.4,9.9,7.6,3.8,16,6.1,8.4,3.1,1.5,
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,246,55.7,17.5,27.2,24.4,17.1,23.6,17.1,11.4,11.8,13.8,4.1,6.1,4.9,0.8,
年間売上高増減別（３年前）,やや（10％未満）減少,122,53.3,18,26.2,13.9,12.3,34.4,15.6,13.9,9.8,10.7,6.6,2.5,1.6,2.5,
年間売上高増減別（３年前）,大幅（10％以上）減少,160,50,13.1,36.3,16.3,30,36.9,20,14.4,5.6,10,7.5,7.5,3.1,0.6,
売上高経常利益率別,黒字,559,59.6,17.9,30.6,25,18.2,22.4,13.2,10.6,8.9,13.2,6.3,7,3.2,1.3,
売上高経常利益率別,赤字,189,40.7,14.8,34.9,19,25.4,37,22.2,13.8,7.4,11.6,5.8,5.3,3.2,1.1,
経常損益の変化別（３年前）,増益,181,55.8,18.2,28.2,34.3,21.5,14.4,14.9,8.8,6.6,14.4,8.3,8.3,2.2,1.7,
経常損益の変化別（３年前）,横ばい,293,57.3,17.7,28.7,16,17.4,21.8,13.3,11.3,8.9,13.3,5.5,5.5,3.1,1,
経常損益の変化別（３年前）,減益,291,53.3,15.5,36.4,23.7,22.3,37.8,17.9,13.1,8.6,11.7,5.8,6.2,3.8,1,
