区分１,区分２,(n),A.知識・知見等の情報共有(％),B.共同での販路開拓・受注・販売(％),C.共同研究・開発(％),D.共同生産・購買(％),E.人脈形成(％),F.共同配送・保管(％),G.共同での施設・設備利用(％),H.雇用拡大（人材確保）(％),I.その他(％)
今回調査,全体,379,72.3,41.4,34,9,44.6,5.5,15.8,18.2,4.7
業種別 ,情報・コンテンツ業,122,73,54.1,45.1,16.4,46.7,9,20.5,27.9,3.3
業種別 ,専門サービス業,121,69.4,38,24.8,5.8,44.6,2.5,11.6,7.4,5.8
業種別 ,技術サービス業,69,76.8,24.6,42,4.3,47.8,1.4,14.5,15.9,5.8
業種別 ,事業サービス業,66,71.2,42.4,22.7,6.1,37.9,9.1,16.7,22.7,4.5
特定10業種別,税理士事務所,23,60.9,13,0,8.7,17.4,0,4.3,4.3,21.7
特定10業種別,ソフトウェア業,67,67.2,53.7,46.3,7.5,47.8,3,14.9,34.3,3
特定10業種別,建築設計業,38,86.8,28.9,42.1,5.3,52.6,2.6,13.2,13.2,5.3
特定10業種別,デザイン業,16,62.5,56.3,31.3,12.5,56.3,12.5,12.5,12.5,0
特定10業種別,経営コンサルタント業,30,83.3,53.3,40,6.7,46.7,3.3,16.7,13.3,0
特定10業種別,建物サービス業,15,80,53.3,6.7,6.7,40,6.7,26.7,26.7,6.7
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",8,62.5,12.5,12.5,0,25,0,0,0,0
特定10業種別,自動車整備業,5,100,20,20,20,60,20,20,0,0
特定10業種別,法律事務所,9,100,11.1,44.4,11.1,66.7,0,0,0,0
特定10業種別,映像情報制作・配給業,14,57.1,42.9,28.6,35.7,57.1,14.3,21.4,14.3,7.1
従業者規模別,１～２人,80,77.5,30,32.5,7.5,42.5,3.8,17.5,5,2.5
従業者規模別,３～５人,84,70.2,36.9,27.4,3.6,35.7,3.6,13.1,11.9,8.3
従業者規模別,６～９人,56,78.6,53.6,44.6,10.7,53.6,12.5,17.9,10.7,7.1
従業者規模別,10～29人,72,63.9,44.4,33.3,11.1,44.4,6.9,18.1,31.9,2.8
従業者規模別,30人以上,76,69.7,47.4,38.2,11.8,52.6,3.9,14.5,31.6,3.9
年間売上高増減別（３年前）,大幅（10％以上）増加,88,78.4,45.5,48.9,9.1,46.6,3.4,13.6,14.8,4.5
年間売上高増減別（３年前）,やや（10％未満）増加,89,75.3,42.7,37.1,7.9,49.4,3.4,16.9,27,3.4
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,104,68.3,42.3,25,10.6,45.2,10.6,14.4,18.3,5.8
年間売上高増減別（３年前）,やや（10％未満）減少,33,63.6,27.3,24.2,6.1,27.3,12.1,21.2,12.1,0
年間売上高増減別（３年前）,大幅（10％以上）減少,51,74.5,37.3,25.5,5.9,47.1,0,19.6,11.8,7.8
売上高経常利益率別,黒字,287,73.9,42.2,35.2,10.5,45.3,5.9,14.6,17.8,4.2
売上高経常利益率別,赤字,72,69.4,37.5,29.2,1.4,43.1,5.6,20.8,18.1,5.6
経常損益の変化別（３年前）,増益,130,74.6,45.4,43.8,13.1,45.4,6.2,17.7,20.8,5.4
経常損益の変化別（３年前）,横ばい,134,73.1,39.6,28.4,8.2,42.5,6.7,14.9,13.4,4.5
経常損益の変化別（３年前）,減益,99,71.7,37.4,28.3,3,48.5,4,15.2,21.2,3
