区分１,区分２,(n),子・子の配偶者に継がせたい(％),配偶者に継がせたい(％),子・配偶者以外の親族に継がせたい（1.2.を除く）(％),従業員に継がせたい(％),外部の人間に継がせたい(％),誰でもよいから継がせたい(％),親会社が決定する(％),他社に売却したい(％),まだ決めていない(％),誰にも継がせたくない(％),その他(％),無回答(％)
今回調査,全体,2073,13.5,0.6,0.9,16.9,3.1,2.9,3.7,1.4,33.6,6,2.7,14.6
業種別 ,情報・コンテンツ業,494,7.3,0.4,0.2,22.5,1.6,4.5,6.3,2.2,32.2,3.2,2.6,17
業種別 ,専門サービス業,765,15.4,0.5,1.3,13.9,5.6,2.7,1.4,1,33.5,6.9,3.7,14
業種別 ,技術サービス業,353,10.2,0.3,0.6,22.1,2.3,2.8,2.3,0.8,32.6,11.3,2,12.7
業種別 ,事業サービス業,450,19.8,1.3,1.3,12.2,0.9,1.8,6,1.6,35.6,3.6,1.8,14.2
特定10業種別,税理士事務所,233,28.3,1.3,1.3,12.9,10.3,2.6,0,1.7,25.8,2.6,3,10.3
特定10業種別,ソフトウェア業,249,7.6,0,0,25.7,2.4,4.4,5.6,3.6,30.5,2.8,2,15.3
特定10業種別,建築設計業,171,7.6,0,0,20.5,3.5,2.3,2.3,1.2,35.7,13.5,2.3,11.1
特定10業種別,デザイン業,109,5.5,0,0.9,14.7,1.8,0.9,1.8,0.9,41.3,11,2.8,18.3
特定10業種別,経営コンサルタント業,99,8.1,0,3,12.1,3,1,3,0,44.4,8.1,3,14.1
特定10業種別,建物サービス業,85,17.6,0,2.4,16.5,0,1.2,5.9,3.5,31.8,3.5,3.5,14.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",58,12.1,0,0,15.5,3.4,5.2,0,0,36.2,8.6,6.9,12.1
特定10業種別,自動車整備業,58,27.6,1.7,0,6.9,1.7,1.7,1.7,0,34.5,5.2,1.7,17.2
特定10業種別,法律事務所,55,12.7,0,0,10.9,5.5,3.6,0,0,30.9,16.4,7.3,12.7
特定10業種別,映像情報制作・配給業,56,1.8,0,1.8,30.4,0,3.6,7.1,0,32.1,0,3.6,19.6
従業者規模別,１～２人,627,8.6,0.5,0.8,3.2,4.6,2.9,1,1.1,43.5,15.9,4.8,13.1
従業者規模別,３～５人,520,17.9,1.2,0.6,15.8,4,3.3,1.2,1.9,33.7,3.7,2.3,14.6
従業者規模別,６～９人,303,19.5,0.7,0.7,29.4,2.3,3.3,2,0.7,28.4,0.3,1,11.9
従業者規模別,10～29人,329,10.3,0.3,1.5,30.7,1.8,2.7,4,2.4,26.4,0.9,1.2,17.6
従業者規模別,30人以上,249,12.4,0.4,1.6,21.7,0,2,16.9,0.8,26.1,0.4,2.4,15.3
年間売上高増減別（３年前）,大幅（10％以上）増加,287,10.1,0,0,24,1.7,3.8,7,1.4,32.8,2.1,2.1,15
年間売上高増減別（３年前）,やや（10％未満）増加,349,15.2,0.6,1.7,19.2,2.9,3.2,3.4,1.1,30.1,2.3,1.7,18.6
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,740,13.2,0.8,1.1,16.8,3.9,3.2,3,1.1,36.1,6.8,2.6,11.5
年間売上高増減別（３年前）,やや（10％未満）減少,327,17.7,0.3,0.6,15,3.1,1.8,1.2,1.2,32.7,7.6,4,14.7
年間売上高増減別（３年前）,大幅（10％以上）減少,328,11,1.2,0.6,12.2,2.7,2.4,4.9,2.4,33.5,9.8,2.7,16.5
売上高経常利益率別,黒字,1499,14.5,0.6,1.1,18.9,3.1,2.9,4.4,1.5,31.8,4.5,2.3,14.5
売上高経常利益率別,赤字,481,10.4,0.8,0.4,12.3,2.7,2.9,1.9,1.2,39.7,10.4,2.7,14.6
経常損益の変化別（３年前）,増益,495,14.1,0,1,18,2,3.4,5.1,2,31.1,3.4,2.6,17.2
経常損益の変化別（３年前）,横ばい,903,12.6,0.8,1,17.1,3.5,2.5,3.2,0.7,36.5,5.6,2.1,14.3
経常損益の変化別（３年前）,減益,622,14.6,1,0.8,16.7,3.2,3.2,3.4,1.9,30.5,8.4,3.2,13
代表者の年齢別,40歳未満,55,5.5,0,0,3.6,1.8,1.8,5.5,1.8,50.9,0,1.8,27.3
代表者の年齢別,40歳代,299,6,0.3,0.7,9.7,1.7,2.3,3.7,2,48.2,5.4,3,17.1
代表者の年齢別,50歳代,566,7.6,0.5,0.9,20,2.3,2.1,4.1,1.6,38.9,6,2.1,14
代表者の年齢別,60～64歳,337,11,0.6,1.2,19.9,2.7,4.7,7.7,0.9,27.6,7.4,3.3,13.1
代表者の年齢別,65～69歳,301,14.6,0.3,1.3,18.9,4.3,2.7,2.3,1,34.6,7.6,1.3,11
代表者の年齢別,70歳以上,478,26.8,1.3,0.8,16.1,4.8,2.9,1,1.5,20.7,5,4,15.1
