区分１,区分２,(n),新卒者・若年層を採用したい(％),実務経験のある人を採用したい(％),専門的な技術・知識を持つ人を採用したい(％),必要とする技術・知識を持つ人を採用したい(％),その他(％),採用の意向はない(％),無回答(％)
今回調査,全体,1504,29.8,42,30.9,39.3,1.9,24.7,1.5
業種別 ,情報・コンテンツ業,411,43.1,49.1,38,47.7,1.7,14.8,0.7
業種別 ,専門サービス業,527,16.3,33.2,29.2,26.8,0.9,37,1.9
業種別 ,技術サービス業,222,36,45.5,36.9,48.6,1.8,17.6,2.3
業種別 ,事業サービス業,338,30.5,44.7,21.6,42.6,3.8,22.5,1.5
特定10業種別,税理士事務所,179,11.7,28.5,25.1,15.6,0,46.9,2.2
特定10業種別,ソフトウェア業,222,51.4,54.5,45.9,52.7,0.9,8.1,0.9
特定10業種別,建築設計業,103,35,41.7,39.8,41.7,1,26.2,0
特定10業種別,デザイン業,76,22.4,40.8,27.6,40.8,0,26.3,0
特定10業種別,経営コンサルタント業,53,20.8,35.8,37.7,41.5,1.9,30.2,0
特定10業種別,建物サービス業,76,25,40.8,25,46.1,6.6,19.7,1.3
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",38,7.9,31.6,31.6,21.1,2.6,47.4,2.6
特定10業種別,自動車整備業,38,26.3,39.5,28.9,34.2,2.6,31.6,2.6
特定10業種別,法律事務所,43,9.3,16.3,20.9,32.6,0,46.5,0
特定10業種別,映像情報制作・配給業,43,48.8,44.2,23.3,41.9,4.7,18.6,2.3
従業者規模別,１～２人,154,3.9,20.8,12.3,18.2,0,59.7,4.5
従業者規模別,３～５人,438,15.8,31.1,24,30.6,1.6,39,0.7
従業者規模別,６～９人,297,25.9,38.7,29,39.1,2,21.9,2.7
従業者規模別,10～29人,332,43.1,52.1,40.4,45.8,2.7,9.9,0.3
従業者規模別,30人以上,250,58,62.8,45.6,60.4,2.8,1.2,1.2
年間売上高増減別（３年前）,大幅（10％以上）増加,234,42.7,55.6,44.9,53.4,1.7,7.7,1.3
年間売上高増減別（３年前）,やや（10％未満）増加,279,39.8,46.2,30.1,43.7,2.9,11.5,2.2
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,505,25,41,30.9,36.4,2.2,28.5,1.8
年間売上高増減別（３年前）,やや（10％未満）減少,243,19.8,36.6,23.5,29.6,1.2,39.1,0.4
年間売上高増減別（３年前）,大幅（10％以上）減少,215,25.1,29.3,22.8,34.9,1.4,35.8,1.9
売上高経常利益率別,黒字,1144,32.6,43.7,32.7,40.2,2,22.3,1.4
売上高経常利益率別,赤字,296,20.6,36.1,22,35.8,1.7,33.4,2
経常損益の変化別（３年前）,増益,374,38,50.3,36.4,48.9,2.4,13.6,1.1
経常損益の変化別（３年前）,横ばい,628,27.7,39.5,27.5,33,1.4,29,1.9
経常損益の変化別（３年前）,減益,470,26.4,38.9,30,40,2.3,28.1,1.5
代表者の年齢別,40歳未満,39,30.8,43.6,35.9,38.5,2.6,10.3,5.1
代表者の年齢別,40歳代,226,34.5,50.9,33.2,47.8,1.8,13.3,0.4
代表者の年齢別,50歳代,422,37,46.9,35.8,43.8,2.4,19.2,1.2
代表者の年齢別,60～64歳,238,31.9,47.9,36.6,44.5,0.8,23.5,0.8
代表者の年齢別,65～69歳,214,27.6,34.1,22.4,33.2,3.3,30.4,0.9
代表者の年齢別,70歳以上,336,17.6,30.7,25,29.8,1.5,37.8,3.3
