区分１,区分２,(n),適切な候補者の不在(％),後継者の教育・成長(％),業績不振(％),借入金の返済(％),個人保証の問題(％),後継者への自社株式の集中(％),事業承継の社内体制が未整備(％),相続税・贈与税の問題(％),相談相手の不在(％),業界の将来性への不安(％),事業の引継先（M ＆A ）が見つからない(％),その他(％),特になし(％),無回答(％)
今回調査,全体,2073,25.5,22.3,10.3,8.2,3.7,1,9.3,2.4,2.1,17.3,1.8,2.1,21.1,18.3
業種別 ,情報・コンテンツ業,494,24.9,27.1,10.3,11.5,5.5,1.6,14.6,3,2.6,17.2,1.8,1.2,19.4,20.6
業種別 ,専門サービス業,765,26.5,20.3,8.5,3.8,2.1,0.5,6.3,0.9,2.1,15.4,2.2,2.7,23.9,17.3
業種別 ,技術サービス業,353,26.9,22.7,10.8,13.3,4,1.1,10.2,2.8,0.8,19.5,2.3,1.4,17,15.9
業種別 ,事業サービス業,450,22.7,20.7,12.7,8.2,4,1.1,8,4,2.7,19.1,0.7,2.4,21.3,19.6
特定10業種別,税理士事務所,233,30.9,25.8,4.7,1.3,0.4,0,6,0.9,1.7,18,2.6,1.7,19.3,14.2
特定10業種別,ソフトウェア業,249,30.9,32.1,6.4,13.7,8.4,2,18.5,4.4,2.4,10,2.8,0.8,18.5,18.1
特定10業種別,建築設計業,171,29.2,21.6,11.7,14.6,5.3,1.2,12.3,2.9,1.2,17,2.9,2.3,16.4,15.2
特定10業種別,デザイン業,109,17.4,14.7,19.3,11,5.5,1.8,7.3,1.8,0.9,20.2,0.9,1.8,24.8,14.7
特定10業種別,経営コンサルタント業,99,21.2,17.2,5.1,2,2,0,5.1,1,1,2,1,4,37.4,21.2
特定10業種別,建物サービス業,85,15.3,25.9,15.3,8.2,3.5,0,9.4,4.7,3.5,15.3,0,1.2,22.4,21.2
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",58,29.3,19,13.8,1.7,3.4,1.7,6.9,0,3.4,27.6,1.7,6.9,19,12.1
特定10業種別,自動車整備業,58,22.4,29.3,20.7,8.6,3.4,1.7,8.6,5.2,1.7,27.6,0,5.2,13.8,20.7
特定10業種別,法律事務所,55,27.3,18.2,7.3,0,1.8,0,5.5,0,0,7.3,1.8,0,25.5,20
特定10業種別,映像情報制作・配給業,56,23.2,23.2,12.5,10.7,5.4,3.6,10.7,3.6,3.6,23.2,1.8,1.8,16.1,21.4
従業者規模別,１～２人,627,26.6,10,15.3,7.5,1.9,0.2,3.8,0.3,2.4,16.1,1.6,3.8,25.2,13.6
従業者規模別,３～５人,520,30.2,21.2,11.5,8.3,3.1,0.2,8.3,1.3,1.5,18.3,1.5,1.2,19.4,19.6
従業者規模別,６～９人,303,22.4,33.7,10.6,8.3,4,1.7,13.2,2.6,4.6,20.5,3.3,1.3,16.5,14.9
従業者規模別,10～29人,329,25.5,28.6,4.9,9.7,6.7,2.1,13.4,4,0.6,16.7,2.1,0.9,16.4,24.3
従業者規模別,30人以上,249,17.7,35.3,4,8.4,5.2,2.8,15.7,7.6,1.6,16.1,0.8,2.4,23.7,21.7
年間売上高増減別（３年前）,大幅（10％以上）増加,287,22.6,28.2,1.7,5.9,3.1,1,13.9,3.8,1.7,10.1,1.4,2.4,27.2,19.9
年間売上高増減別（３年前）,やや（10％未満）増加,349,23.8,28.7,3.2,6.6,3.7,0.9,9.7,2.6,1.1,11.5,1.7,1.4,21.2,24.4
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,740,26.5,20.4,6.2,7.7,3.5,1.5,9.1,2.2,2.6,17.7,1.6,2.3,24.3,14.7
年間売上高増減別（３年前）,やや（10％未満）減少,327,26.6,18.3,16.2,8.9,2.8,0.9,7.6,2.8,1.5,22,1.2,1.5,16.8,18
年間売上高増減別（３年前）,大幅（10％以上）減少,328,27.4,19.8,28.7,13.1,5.8,0.3,7.3,1.5,3.4,24.7,2.7,2.1,11,19.2
売上高経常利益率別,黒字,1499,26.6,24.8,6.5,6.7,3.5,1.1,10.3,2.7,2.1,16.3,1.9,1.9,21.7,18.3
売上高経常利益率別,赤字,481,23.5,15.2,22.9,12.9,4.4,0.8,6.4,1.9,2.3,21,1.5,2.3,18.1,18.1
経常損益の変化別（３年前）,増益,495,23.6,24.6,5.3,7.7,4.2,0.6,11.5,3.8,1,12.1,1.6,2.6,24,21.8
経常損益の変化別（３年前）,横ばい,903,25.7,21.4,8.2,7.6,2.4,1.1,8.5,1.3,1.7,17.2,1.3,2.1,21.6,17.5
経常損益の変化別（３年前）,減益,622,27.8,22.3,17.4,10,5.1,1.1,9.2,2.9,3.9,21.9,2.6,1.6,16.6,16.9
創業時期別,1970年以前,207,21.3,25.1,13.5,6.3,3.4,2.4,10.6,7.7,3.9,23.2,1.4,1.9,21.3,13.5
創業時期別,1971～1980年,209,25.4,27.3,14.4,11,3.3,1.4,9.6,1.4,2.4,19.6,3.3,1.4,16.3,21.5
創業時期別,1981～1990年,386,26.7,24.4,11.9,9.3,3.6,2.1,9.3,2.1,1.6,17.9,1.8,1.6,17.1,17.4
創業時期別,1991～2000年,443,32.1,21.9,11.5,10.8,5,0.7,9.9,2.9,1.4,18.3,2.5,2.5,17.2,14
創業時期別,2001～2010年,457,24.3,21.4,8.1,5.3,2.8,0.2,9,1.8,1.8,15.1,0.9,3.1,22.8,21.7
