区分１,区分２,(n),増加(％),横ばい(％),減少(％),いない(％),無回答(％)
今回調査,全体,1504,15.2,38,8.4,31,7.4
業種別 ,情報・コンテンツ業,411,14.8,33.8,7.5,38.2,5.6
業種別 ,専門サービス業,527,13.5,38.7,4.9,32.6,10.2
業種別 ,技術サービス業,222,13.1,40.5,9,29.7,7.7
業種別 ,事業サービス業,338,19.8,40.5,14.5,20.4,4.7
特定10業種別,税理士事務所,179,10.1,38.5,2.8,33,15.6
特定10業種別,ソフトウェア業,222,17.1,27,6.3,43.7,5.9
特定10業種別,建築設計業,103,13.6,40.8,4.9,33,7.8
特定10業種別,デザイン業,76,7.9,35.5,9.2,36.8,10.5
特定10業種別,経営コンサルタント業,53,11.3,41.5,5.7,32.1,9.4
特定10業種別,建物サービス業,76,18.4,40.8,28.9,7.9,3.9
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",38,2.6,47.4,2.6,36.8,10.5
特定10業種別,自動車整備業,38,5.3,44.7,5.3,42.1,2.6
特定10業種別,法律事務所,43,25.6,27.9,0,34.9,11.6
特定10業種別,映像情報制作・配給業,43,11.6,44.2,7,32.6,4.7
従業者規模別,１～２人,154,7.8,33.1,3.9,36.4,18.8
従業者規模別,３～５人,438,8,39.5,4.3,38.8,9.4
従業者規模別,６～９人,297,13.8,36,6.4,37.7,6.1
従業者規模別,10～29人,332,15.7,40.4,12.3,26.2,5.4
従業者規模別,30人以上,250,33.2,37.2,14.8,13.2,1.6
年間売上高増減別（３年前）,大幅（10％以上）増加,234,30.8,29.5,8.1,26.9,4.7
年間売上高増減別（３年前）,やや（10％未満）増加,279,21.5,33,5.7,33.7,6.1
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,505,9.5,42.2,8.1,31.5,8.7
年間売上高増減別（３年前）,やや（10％未満）減少,243,8.2,45.7,7.8,31.7,6.6
年間売上高増減別（３年前）,大幅（10％以上）減少,215,9.3,36.7,13.5,31.6,8.8
売上高経常利益率別,黒字,1144,17,36.7,7.5,31.9,6.9
売上高経常利益率別,赤字,296,7.1,42.6,13.2,30.1,7.1
経常損益の変化別（３年前）,増益,374,21.7,34.2,8,30.5,5.6
経常損益の変化別（３年前）,横ばい,628,12.3,38.5,7.2,32.5,9.6
経常損益の変化別（３年前）,減益,470,13.6,40,10.9,30.2,5.3
代表者の年齢別,40歳未満,39,17.9,30.8,7.7,33.3,10.3
代表者の年齢別,40歳代,226,21.7,35,7.5,30.5,5.3
代表者の年齢別,50歳代,422,17.8,37.4,9.2,29.6,5.9
代表者の年齢別,60～64歳,238,13.9,36.6,10.5,31.9,7.1
代表者の年齢別,65～69歳,214,10.3,43.5,7.9,32.2,6.1
代表者の年齢別,70歳以上,336,11.3,39.6,6.8,30.7,11.6
