区分１,区分２,区分３,区分４,(n),取り組んだ・取り組んでいる（％）,取り組んでいたが途中でやめてしまった（％）,取り組みたいができない（％）,取り組んでいない（必要性を感じていない）（％）,無回答（％）
業種別×従業者規模別×増益・減益,業種別,従業者規模別,今回調査（全体）,2263,20.5,3.9,18.7,51.3,5.4
業種別×従業者規模別×増益・減益,情報・コンテンツ業,１～２人,増益,25,20,8,16,52,4
業種別×従業者規模別×増益・減益,情報・コンテンツ業,１～２人,減益,22,22.7,18.2,18.2,40.9,0
業種別×従業者規模別×増益・減益,情報・コンテンツ業,３～29人,増益,92,47.8,2.2,20.7,25,4.3
業種別×従業者規模別×増益・減益,情報・コンテンツ業,３～29人,減益,84,35.7,9.5,26.2,23.8,4.8
業種別×従業者規模別×増益・減益,情報・コンテンツ業,30人以上,増益,46,47.8,2.2,23.9,26.1,0
業種別×従業者規模別×増益・減益,情報・コンテンツ業,30人以上,減益,20,45,5,15,35,0
業種別×従業者規模別×増益・減益,専門サービス業,１～２人,増益,62,27.4,3.2,11.3,51.6,6.5
業種別×従業者規模別×増益・減益,専門サービス業,１～２人,減益,105,11.4,6.7,21.9,54.3,5.7
業種別×従業者規模別×増益・減益,専門サービス業,３～29人,増益,86,20.9,5.8,20.9,46.5,5.8
業種別×従業者規模別×増益・減益,専門サービス業,３～29人,減益,163,14.7,3.7,23.3,52.8,5.5
業種別×従業者規模別×増益・減益,専門サービス業,30人以上,増益,5,80,0,0,20,0
業種別×従業者規模別×増益・減益,専門サービス業,30人以上,減益,7,42.9,0,28.6,28.6,0
業種別×従業者規模別×増益・減益,技術サービス業,１～２人,増益,25,16,0,20,64,0
業種別×従業者規模別×増益・減益,技術サービス業,１～２人,減益,52,15.4,9.6,9.6,61.5,3.8
業種別×従業者規模別×増益・減益,技術サービス業,３～29人,増益,49,30.6,2,18.4,42.9,6.1
業種別×従業者規模別×増益・減益,技術サービス業,３～29人,減益,61,19.7,3.3,26.2,47.5,3.3
業種別×従業者規模別×増益・減益,技術サービス業,30人以上,増益,9,66.7,0,22.2,11.1,0
業種別×従業者規模別×増益・減益,技術サービス業,30人以上,減益,6,33.3,0,33.3,16.7,16.7
業種別×従業者規模別×増益・減益,事業サービス業,１～２人,増益,24,12.5,4.2,16.7,58.3,8.3
業種別×従業者規模別×増益・減益,事業サービス業,１～２人,減益,44,9.1,2.3,15.9,65.9,6.8
業種別×従業者規模別×増益・減益,事業サービス業,３～29人,増益,53,20.8,1.9,11.3,62.3,3.8
業種別×従業者規模別×増益・減益,事業サービス業,３～29人,減益,81,16,4.9,22.2,51.9,4.9
業種別×従業者規模別×増益・減益,事業サービス業,30人以上,増益,31,32.3,3.2,19.4,41.9,3.2
業種別×従業者規模別×増益・減益,事業サービス業,30人以上,減益,33,15.2,0,36.4,48.5,0
