区分１,区分２,(n),売上増加が見込めない（％）,費用の削減が見込めない（％）,取組み方がわからない（％）,助成金・補助金が獲得できない（％）,資金が不足（％）,人手が不足（％）,対応できる能力をもった人材の不足（％）,必要性を感じていない（％）,他に優先することがある（％）,その他（％）,無回答（％）
今回調査,全体,264,17.8,0.8,6.1,0.8,6.8,13.3,8.3,34.8,9.5,3.4,23.9
業種別,情報・コンテンツ業,45,15.6,2.2,4.4,0,4.4,13.3,13.3,31.1,11.1,2.2,26.7
業種別,専門サービス業,89,20.2,0,5.6,1.1,9,11.2,4.5,43.8,9,5.6,18
業種別,技術サービス業,55,9.1,1.8,9.1,0,5.5,12.7,7.3,30.9,12.7,3.6,27.3
業種別,事業サービス業,73,21.9,0,5.5,1.4,6.8,16.4,9.6,30.1,6.8,1.4,27.4
特定10業種別,税理士事務所,30,20,0,3.3,0,0,13.3,10,50,6.7,10,10
特定10業種別,ソフトウェア業,18,16.7,5.6,5.6,0,5.6,0,11.1,33.3,11.1,0,33.3
特定10業種別,建築設計業,28,3.6,0,10.7,0,3.6,3.6,0,39.3,14.3,3.6,28.6
特定10業種別,デザイン業,11,36.4,0,9.1,9.1,27.3,18.2,0,18.2,0,9.1,36.4
特定10業種別,経営コンサルタント業,12,16.7,0,0,0,8.3,8.3,0,41.7,8.3,0,25
特定10業種別,建物サービス業,11,9.1,0,0,0,9.1,45.5,9.1,18.2,0,0,27.3
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",7,42.9,0,14.3,0,28.6,0,0,28.6,0,0,28.6
特定10業種別,自動車整備業,9,33.3,0,11.1,0,0,0,0,33.3,0,0,33.3
特定10業種別,法律事務所,7,14.3,0,14.3,0,0,0,0,100,0,0,0
特定10業種別,映像情報制作・配給業,8,12.5,0,0,0,0,37.5,12.5,37.5,12.5,0,25
従業者規模別,１～２人,125,19.2,1.6,6.4,1.6,8.8,9.6,5.6,38.4,7.2,4.8,25.6
従業者規模別,３～５人,75,20,0,8,0,6.7,12,9.3,30.7,5.3,0,28
従業者規模別,６～９人,25,24,0,0,0,4,16,8,32,16,8,16
従業者規模別,10～29人,19,0,0,0,0,0,36.8,15.8,36.8,15.8,0,21.1
従業者規模別,30人以上,13,0,0,15.4,0,7.7,23.1,23.1,30.8,30.8,7.7,0
年間売上高増減別（３年前）,大幅（10％以上）増加,12,0,0,8.3,0,8.3,16.7,0,50,8.3,0,16.7
年間売上高増減別（３年前）,やや（10％未満）増加,20,15,0,10,0,5,15,5,30,25,5,20
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,121,17.4,1.7,4.1,0,6.6,12.4,5.8,34.7,9.9,1.7,27.3
年間売上高増減別（３年前）,やや（10％未満）減少,49,18.4,0,4.1,2,6.1,22.4,12.2,28.6,8.2,8.2,18.4
年間売上高増減別（３年前）,大幅（10％以上）減少,59,23.7,0,8.5,1.7,8.5,5.1,11.9,39,3.4,3.4,25.4
売上高経常利益率別,黒字,164,15.9,0.6,4.9,0,4.9,11.6,5.5,37.8,11,3.7,25
売上高経常利益率別,赤字,86,20.9,1.2,8.1,2.3,11.6,17.4,14,27.9,7,1.2,24.4
経常損益の変化別（３年前）,増益,38,15.8,2.6,13.2,0,13.2,5.3,15.8,34.2,15.8,0,28.9
経常損益の変化別（３年前）,横ばい,131,19.1,0,3.8,0.8,4.6,16,7.6,29.8,7.6,3.1,26
経常損益の変化別（３年前）,減益,87,18.4,1.1,6.9,1.1,6.9,12.6,5.7,40.2,10.3,4.6,20.7
代表者の年齢,40歳未満,5,0,0,0,0,0,0,0,40,0,0,60
代表者の年齢,40歳代,17,5.9,0,5.9,0,0,11.8,0,35.3,17.6,5.9,23.5
代表者の年齢,50歳代,50,12,2,10,2,12,12,10,38,12,4,20
代表者の年齢,60～64歳,44,15.9,0,0,2.3,6.8,18.2,9.1,18.2,13.6,4.5,31.8
代表者の年齢,65～69歳,46,15.2,2.2,6.5,0,8.7,10.9,10.9,32.6,13,0,23.9
代表者の年齢,70歳以上,96,26,0,7.3,0,5.2,13.5,8.3,40.6,4.2,4.2,20.8
