区分１,区分２,(n),時間がとれない(％),育成コストが負担(％),育成方法がわからない(％),教えた技術がすぐに陳腐化する(％),人材が定着しない(％),対象人材に意欲がない(％),教える側の人材・ノウハウ不足(％),特に問題はない(％),人材育成が必要な対象者がいない(％),その他(％),無回答(％)
今回調査,全体,1504,34.7,19,7.3,3.5,13.6,15,19.7,30.5,5,1.5,5.8
業種別 ,情報・コンテンツ業,411,38.2,30.4,8.5,6.6,17.5,12.7,28.2,20.2,5.4,1.2,4.9
業種別 ,専門サービス業,527,35.9,12.3,6.3,2.1,9.5,14.8,15.2,36.2,4.4,1.5,5.7
業種別 ,技術サービス業,222,36.9,15.8,7.7,2.3,14,16.2,15.8,30.6,5.4,1.4,6.8
業種別 ,事業サービス業,338,27.5,17.8,7.4,2.7,15.4,17.8,19.2,33.1,5.3,1.8,6.5
特定10業種別,税理士事務所,179,35.8,10.1,6.1,2.8,10.1,17.3,13.4,34.1,4.5,1.7,7.8
特定10業種別,ソフトウェア業,222,38.7,38.3,6.3,8.1,17.1,14.9,30.6,16.7,4.1,0.9,5
特定10業種別,建築設計業,103,42.7,13.6,6.8,0,15.5,13.6,14.6,34,4.9,1,4.9
特定10業種別,デザイン業,76,36.8,15.8,5.3,3.9,13.2,14.5,25,35.5,3.9,1.3,2.6
特定10業種別,経営コンサルタント業,53,39.6,11.3,5.7,0,7.5,7.5,15.1,28.3,1.9,5.7,3.8
特定10業種別,建物サービス業,76,39.5,19.7,13.2,5.3,18.4,26.3,22.4,28.9,3.9,0,5.3
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",38,18.4,2.6,10.5,5.3,10.5,31.6,15.8,31.6,10.5,0,7.9
特定10業種別,自動車整備業,38,18.4,5.3,2.6,0,5.3,15.8,7.9,39.5,5.3,2.6,18.4
特定10業種別,法律事務所,43,25.6,9.3,0,0,0,7,2.3,62.8,7,2.3,4.7
特定10業種別,映像情報制作・配給業,43,39.5,20.9,4.7,2.3,18.6,9.3,25.6,23.3,7,2.3,4.7
従業者規模別,１～２人,154,22.1,7.8,2.6,1.3,3.2,9.1,3.2,43.5,10.4,1.9,11
従業者規模別,３～５人,438,29.2,13.9,7.1,3.9,8.9,14.4,12.8,37.9,5.5,0.9,6.6
従業者規模別,６～９人,297,32,18.5,6.7,3,10.4,12.8,17.8,34,4.4,2.4,6.7
従業者規模別,10～29人,332,40.1,23.2,9,4.5,17.5,17.8,26.5,20.5,3.9,1.5,4.2
従業者規模別,30人以上,250,48.4,30.4,8.8,3.2,27.2,18.8,35.2,17.2,3.2,1.2,2.4
年間売上高増減別（３年前）,大幅（10％以上）増加,234,45.3,21.8,5.6,4.3,16.7,13.2,19.2,21.8,3.8,0.9,4.7
年間売上高増減別（３年前）,やや（10％未満）増加,279,34.8,17.2,6.5,3.2,11.5,16.1,22.6,30.1,4.7,1.4,6.1
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,505,32.3,18,8.3,3,14.7,14.5,19.2,32.1,3.6,1.8,7.1
年間売上高増減別（３年前）,やや（10％未満）減少,243,31.7,18.9,8.6,4.5,10.7,16.9,19.3,35.8,7,2.1,3.3
年間売上高増減別（３年前）,大幅（10％以上）減少,215,30.7,20,6,2.8,14.4,14.9,18.6,31.2,8.4,0.5,6
売上高経常利益率別,黒字,1144,35.5,18.9,7.4,3.3,14.2,15.1,19.8,30.9,4.5,1.4,5.4
売上高経常利益率別,赤字,296,31.8,22,7.1,4.1,12.5,15.2,19.3,28.7,7.4,2,6.1
経常損益の変化別（３年前）,増益,374,38.2,23,7.5,2.7,15.2,13.4,23.3,25.4,4.8,0.8,5.6
経常損益の変化別（３年前）,横ばい,628,31.7,16.1,6.7,3.8,12.7,14.2,15.4,35,4.3,1.9,4.8
経常損益の変化別（３年前）,減益,470,35.5,19.8,8.1,3.4,13.8,17.9,23.2,28.5,6,1.5,7
代表者の年齢別,40歳未満,39,35.9,17.9,12.8,5.1,12.8,15.4,28.2,28.2,5.1,0,7.7
代表者の年齢別,40歳代,226,41.6,24.8,11.9,3.5,19.9,19,23.9,24.8,2.7,1.3,2.2
代表者の年齢別,50歳代,422,40,20.4,9.5,3.3,18,15.4,24.6,22.7,6.2,0.9,5.2
代表者の年齢別,60～64歳,238,37.4,21.8,6.3,5.5,15.5,13.9,18.9,26.1,5,1.3,3.8
代表者の年齢別,65～69歳,214,29.9,15.4,4.7,3.7,9.3,16.8,18.2,36,3.3,2.8,7.5
代表者の年齢別,70歳以上,336,24.4,14,3,2.1,5.7,11.3,11.6,42.9,6.3,1.8,9.2
