区分１,区分２,(n),都心（千代田、中央、港）(％),副都心（新宿、文京、渋谷、豊島）(％),城東（台東、墨田、荒川、江東、足立、葛飾、江戸川）(％),城南（品川、目黒、大田）(％),城北（北、板橋）(％),城西（世田谷、中野、杉並、練馬）(％),多摩地域(％),近県（神奈川、千葉、埼玉）(％),東京、近県以外の道府県(％),海外(％),無回答(％)
今回調査,全体,2263,34.6,15.1,9.5,5.8,1.5,5,9.9,7.2,7.6,0.8,3
前回調査,全体,3096,34.2,15.4,10,5.3,1.3,5.2,9.8,8.7,7.4,0.6,2.2
業種別 ,情報・コンテンツ業,520,46.5,15.8,6,8.7,0.6,2.7,3.5,5.6,6.7,1.5,2.5
業種別 ,専門サービス業,851,33.3,14.3,11.4,5.4,1.4,5.6,11,5.9,7.8,0.9,2.9
業種別 ,技術サービス業,388,27.6,18.8,9.8,4.1,2.8,4.1,10.1,10.6,10.3,0.3,1.5
業種別 ,事業サービス業,493,29.2,12.8,9.5,4.9,1.8,7.1,15,8.5,6.3,0.2,4.7
特定10業種別,税理士事務所,267,22.8,14.2,16.5,6,1.5,7.9,15,7.9,5.6,0,2.6
特定10業種別,ソフトウェア業,262,41.2,14.9,8,11.5,0,1.9,5,7.3,7.6,1.1,1.5
特定10業種別,建築設計業,186,25.3,22.6,7.5,3.2,3.2,5.4,9.1,10.2,11.8,0.5,1.1
特定10業種別,デザイン業,123,45.5,18.7,9.8,3.3,0,4.1,4.1,2.4,9.8,0.8,1.6
特定10業種別,経営コンサルタント業,106,33,14.2,8.5,5.7,0.9,0.9,7.5,2.8,20.8,1.9,3.8
特定10業種別,建物サービス業,95,32.6,15.8,7.4,5.3,0,12.6,16.8,3.2,4.2,0,2.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,18.3,15.5,14.1,8.5,4.2,7,25.4,4.2,1.4,0,1.4
特定10業種別,自動車整備業,68,5.9,2.9,14.7,5.9,5.9,8.8,33.8,8.8,4.4,0,8.8
特定10業種別,法律事務所,58,50,8.6,6.9,6.9,1.7,5.2,3.4,3.4,6.9,1.7,5.2
特定10業種別,映像情報制作・配給業,57,63.2,14,0,5.3,0,7,1.8,5.3,3.5,0,0
従業者規模別,１～２人,753,30.5,14.9,10.2,5.6,1.9,6.1,13.1,6.5,7.2,0.5,3.5
従業者規模別,３～５人,560,29.8,13.2,12,5.9,2.3,5.5,10,8.9,8.6,0.7,3
従業者規模別,６～９人,308,37.3,17.9,8.4,5.8,1,5.5,7.8,6.5,7.8,1,1
従業者規模別,10～29人,341,45.2,15,7.3,5.6,0.9,3.2,6.2,5.9,6.2,1.5,3.2
従業者規模別,30人以上,251,41,17.1,6.4,4.8,0,1.2,8,8.4,8.8,0.8,3.6
年間売上高増減別（３年前）,大幅（10％以上）増加,290,43.4,15.9,5.2,6.6,1.4,1.7,7.6,6.9,9.3,2.1,0
年間売上高増減別（３年前）,やや（10％未満）増加,360,33.9,18.3,9.4,4.7,0.6,4.2,9.2,6.1,10.8,0.8,1.9
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,34.5,14.3,9.9,6.2,2.1,5,10.1,7.3,8.3,0.5,1.8
年間売上高増減別（３年前）,やや（10％未満）減少,374,32.6,13.4,12.3,6.1,1.6,7.2,11.2,8.8,4.3,0.5,1.9
年間売上高増減別（３年前）,大幅（10％以上）減少,398,32.9,14.8,9.8,5.8,1.5,5.8,11.8,7,6.3,0.8,3.5
売上高経常利益率別,黒字,1602,35.3,15.5,9.7,5.7,1.7,5.1,9.4,7.6,7.9,0.7,1.3
売上高経常利益率別,赤字,557,34.5,13.8,9.2,6.6,1.3,4.8,11.7,7,7.4,0.9,2.9
経常損益の変化別（３年前）,増益,518,39.8,17.2,6.8,4.4,1.5,4.1,7.9,6.6,9.5,1.4,1
経常損益の変化別（３年前）,横ばい,987,32.5,16,9.7,6.4,1.1,5.5,10.5,7.5,8,0.5,2.2
経常損益の変化別（３年前）,減益,697,34.4,12.6,11.5,6.2,2.3,5.3,11,7.6,6.2,0.9,2
所在地別,都心,622,53.9,10.9,6.4,6.1,0.3,1.8,0.3,5.6,9.6,1.3,3.7
所在地別,副都心,469,36.2,30.3,5.8,4.3,1.1,3,2.8,6.4,6.8,1.1,2.3
所在地別,城東,289,23.5,10.7,38.8,2.1,1.4,2.1,0.3,10.7,6.2,0,4.2
所在地別,城南,170,34.1,10.6,3.5,24.7,0,1.8,1.2,10,10,0.6,3.5
所在地別,城北,73,19.2,15.1,8.2,1.4,28.8,6.8,0,6.8,11,0,2.7
所在地別,城西,248,27.4,14.9,4.8,5.2,0.8,25,5.6,7.3,6.5,0.4,2
所在地別,多摩,392,17.9,8.7,2.8,2.8,0.3,3.1,49.2,6.9,5.6,0.8,2
