区分１,区分２,(n),人脈・ネットワーク力の向上（％）,Web 等、広告宣伝の充実（％）,顧客ニーズの把握（％）,企画提案力・情報提供力の向上（％）,新規顧客の開拓（％）,新たな市場の開拓（％）,積極的な顧客とのコミュニケーション（％）,顧客ｻﾎﾟｰﾄ や附随的ｻｰﾋﾞｽ （ｱﾌﾀｰｹｱ等）の充実（％）,自社ブランドの構築・確立（％）,提供時間・処理時間・納期の短縮（％）,サービス・製品の質の向上（％）,独自サービス・製品の提供（％）,難注文への対応（％）,専門性の向上（％）,研究開発の強化（％）,他企業等との連携（％）,業務の効率化・合理化（％）,その他（％）,特になし（％）,無回答（％）
今回調査,全体,2263,34.1,13.2,32.7,18,26.8,12.4,29.2,14,10,10.8,31,11.9,14.8,36.8,4,8,17.7,0.7,14.9,2.4
業種別,情報・コンテンツ業,520,43.5,18.3,37.3,28.3,34.4,19,32.3,14.4,15.6,7.9,33.8,17.5,14.6,31.7,6,11.5,19,1.2,10.2,2.1
業種別,専門サービス業,851,34.1,11.4,33.6,17.6,25.4,8.9,30.6,14.9,8.5,11.8,28,9.6,12.8,46.5,3.9,7.5,18.2,0.8,14.3,2.1
業種別,技術サービス業,388,31.4,9.8,26,18.3,22.7,9.8,25,11.6,9.5,13.1,29.6,10.3,20.1,42.8,3.6,9,18.8,0.5,17,1.5
業種別,事業サービス業,493,26.2,13.6,31.2,7.5,24.9,12.8,26.8,13.8,7.3,10.5,34.7,11,14.6,21.3,2,4.5,15,0,19.3,3.7
特定10業種別,税理士事務所,267,25.5,6,32.2,6,19.9,2.2,25.1,18.7,2.6,4.5,23.6,6.7,7.5,49.8,1.5,5.6,16.1,0.7,17.2,2.6
特定10業種別,ソフトウェア業,262,45.4,13.7,38.9,21.8,33.2,17.9,34.7,15.6,14.1,4.6,34,19.5,11.8,31.7,8,14.5,19.5,1.5,8.4,1.5
特定10業種別,建築設計業,186,35.5,8.1,22,21.5,24.2,9.1,23.7,11.3,11.3,11.3,28,8.1,15.6,47.3,3.2,9.1,15.1,0.5,17.2,1.6
特定10業種別,デザイン業,123,29.3,16.3,27.6,30.9,26.8,8.9,38.2,8.9,19.5,22.8,38.2,9.8,21.1,35.8,6.5,5.7,19.5,2.4,13.8,2.4
特定10業種別,経営コンサルタント業,106,53.8,18.9,40.6,33,34,22.6,27.4,15.1,12.3,8.5,31.1,20.8,8.5,46.2,6.6,10.4,22.6,0,12.3,1.9
特定10業種別,建物サービス業,95,16.8,4.2,32.6,6.3,30.5,16.8,30.5,13.7,6.3,5.3,38.9,15.8,9.5,21.1,1.1,6.3,15.8,0,16.8,4.2
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,28.2,1.4,21.1,4.2,12.7,4.2,22.5,12.7,4.2,11.3,15.5,0,12.7,54.9,1.4,8.5,12.7,1.4,19.7,5.6
特定10業種別,自動車整備業,68,16.2,10.3,26.5,1.5,19.1,2.9,20.6,11.8,2.9,14.7,41.2,5.9,19.1,19.1,1.5,0,8.8,0,20.6,7.4
特定10業種別,法律事務所,58,32.8,8.6,39.7,3.4,29.3,0,31,22.4,6.9,15.5,32.8,5.2,20.7,63.8,1.7,3.4,22.4,0,13.8,0
特定10業種別,映像情報制作・配給業,57,45.6,8.8,24.6,38.6,28.1,22.8,28.1,7,14,17.5,24.6,12.3,22.8,24.6,1.8,10.5,14,1.8,15.8,0
従業者規模別,１～２人,753,29.2,8.8,24.4,15.5,14.9,7.4,20.2,10.5,6.5,9.6,21.8,9.8,13.4,38.2,4.6,6.4,7.7,0.8,24.2,3.7
