区分１,区分２,(n),取り組んだ・取り組んでいる（％）,取り組んでいたが途中でやめてしまった（％）,取り組みたいができない（％）,取り組んでいない（必要性を感じていない）（％）,無回答（％）
今回調査,全体,2263,20.5,3.9,18.7,51.3,5.4
業種別,情報・コンテンツ業,520,33.5,5.6,23.3,33.7,4
業種別,専門サービス業,851,16,4.2,16.2,57.7,5.9
業種別,技術サービス業,388,20.4,2.8,18.6,54.1,4.1
業種別,事業サービス業,493,14.8,2.4,18.7,57,7.1
特定10業種別,税理士事務所,267,8.6,4.9,13.5,65.2,7.9
特定10業種別,ソフトウェア業,262,34.7,5.3,26.3,32.1,1.5
特定10業種別,建築設計業,186,18.8,1.6,18.8,57.5,3.2
特定10業種別,デザイン業,123,22.8,4.9,17.9,50.4,4.1
特定10業種別,経営コンサルタント業,106,33,5.7,14.2,44.3,2.8
特定10業種別,建物サービス業,95,13.7,3.2,22.1,56.8,4.2
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,9.9,2.8,15.5,66.2,5.6
特定10業種別,自動車整備業,68,7.4,1.5,14.7,61.8,14.7
特定10業種別,法律事務所,58,3.4,0,6.9,84.5,5.2
特定10業種別,映像情報制作・配給業,57,21.1,10.5,19.3,40.4,8.8
従業者規模別,１～２人,753,13.7,4.2,15.4,60.6,6.1
従業者規模別,３～５人,560,19.1,4.1,19.1,52,5.7
従業者規模別,６～９人,308,19.8,4.2,24,46.8,5.2
従業者規模別,10～29人,341,29,4.4,19.9,41.6,5
従業者規模別,30人以上,251,33.9,2.4,19.9,42.2,1.6
年間売上高増減別（３年前）,大幅（10％以上）増加,290,39,3.4,16.9,38.6,2.1
年間売上高増減別（３年前）,やや（10％未満）増加,360,27.2,2.8,20.3,43.3,6.4
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,15.8,3.6,18.6,56.9,5
年間売上高増減別（３年前）,やや（10％未満）減少,374,11.5,4.3,20.3,59.9,4
年間売上高増減別（３年前）,大幅（10％以上）減少,398,19.3,5.5,18.6,49.5,7
売上高経常利益率別,黒字,1602,21,3.6,18.7,51.7,4.9
売上高経常利益率別,赤字,557,19.2,5.6,20.1,49.7,5.4
経常損益の変化別（３年前）,増益,518,31.7,3.3,18,42.9,4.2
経常損益の変化別（３年前）,横ばい,987,16.3,3.4,17.7,57.4,5.1
経常損益の変化別（３年前）,減益,697,18.5,5.5,22.1,49.1,4.9
代表者の年齢別,40歳未満,57,28.1,8.8,19.3,40.4,3.5
代表者の年齢別,40歳代,306,26.5,6.2,22.2,39.9,5.2
代表者の年齢別,50歳代,585,26.5,5,21.9,44.6,2.1
代表者の年齢別,60～64歳,358,19.6,2.5,19.3,53.6,5
代表者の年齢別,65～69歳,342,17.8,2.9,17.3,55.6,6.4
代表者の年齢別,70歳以上,572,12.8,2.6,14.9,61.4,8.4
他社との競争状況別（３年前）,かなり激化した,239,27.2,7.9,23.4,39.3,2.1
他社との競争状況別（３年前）,やや激化した,543,26.3,6.8,19.9,42.9,4.1
他社との競争状況別（３年前）,変わらない,1364,17.3,2.3,17.7,57.7,4.9
他社との競争状況別（３年前）,やや緩和した,36,22.2,2.8,30.6,38.9,5.6
他社との競争状況別（３年前）,かなり緩和した,10,40,0,10,40,10
