区分１,区分２,(n),外国語に対応できない(％),国際業務に関する知見がない(％),国際業務に対応できる人材が確保できない(％),海外関連取引に向けた業務・サービスの開発ができない(％),海外関連取引のニーズの把握ができない(％),現地パートナーが確保できない(％),国家間の法律や規制の違い(％),商習慣の違い(％),現地の政情に不安がある(％),費用の負担が重い(％),代金回収のリスク(％),為替のリスク(％),投資効果がわからない(％),業務・サービスが真似される(％),知的財産流出のリスク(％),その他(％),特になし(％),無回答(％)
今回調査,全体,2263,31,23.2,19.1,8.8,8.1,6.9,14.2,10.1,1.9,6.2,9.1,3.4,3.8,0.8,2,4,21.1,12.4
前回調査,全体,3096,26.9,18.2,17.4,7,7.8,9.9,14.9,14.8,6.5,7.5,12.9,9.1,5.5,2.4,4.6,1.6,40.7,6.3
業種別 ,情報・コンテンツ業,520,35,25,26.3,10.6,11,7.1,12.7,13.8,1.7,7.1,10.4,5,6.2,1.3,5,5,14.2,9.6
業種別 ,専門サービス業,851,36.7,26.4,18.6,8,6.3,5.9,18.7,10.2,1.5,4.5,7.5,3.3,2.5,0.5,1.4,3.9,19,11.3
業種別 ,技術サービス業,388,27.6,21.4,20.4,5.2,7.7,12.6,13.7,8.8,3.6,8.2,12.9,2.6,3.6,1,1.3,3.4,25.3,9.5
業種別 ,事業サービス業,493,19.9,17.4,11.8,11.4,8.7,4.1,8.3,7.3,1.4,6.7,7.5,2.8,3.7,0.6,0.4,3.7,28.8,18.7
特定10業種別,税理士事務所,267,41.2,30,22.8,5.6,3.7,3,20.6,9.7,1.5,3,4.5,1.5,3,0,0.4,0.7,16.1,17.2
特定10業種別,ソフトウェア業,262,37,29,29.4,12.2,11.8,8.4,14.9,14.1,1.5,8,8.8,5,7.3,1.1,3.8,3.8,13,7.3
特定10業種別,建築設計業,186,30.1,28,21,4.8,5.9,15.1,19.9,12.9,3.8,10.8,15.1,2.7,1.1,1.6,1.6,2.2,18.8,8.1
特定10業種別,デザイン業,123,47.2,40.7,21.1,11.4,8.1,4.1,9.8,14.6,0.8,4.9,10.6,1.6,2.4,1.6,1.6,3.3,16.3,7.3
特定10業種別,経営コンサルタント業,106,23.6,17.9,15.1,10.4,4.7,11.3,23.6,11.3,3.8,7.5,7.5,7.5,3.8,0.9,3.8,7.5,19.8,3.8
特定10業種別,建物サービス業,95,22.1,16.8,11.6,15.8,10.5,8.4,5.3,7.4,3.2,7.4,8.4,3.2,5.3,0,0,3.2,26.3,21.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,39.4,26.8,11.3,9.9,2.8,5.6,21.1,8.5,0,1.4,1.4,0,1.4,0,0,8.5,14.1,15.5
特定10業種別,自動車整備業,68,17.6,14.7,5.9,5.9,8.8,0,2.9,2.9,0,5.9,4.4,0,0,1.5,0,0,39.7,25
特定10業種別,法律事務所,58,44.8,31,12.1,3.4,10.3,8.6,25.9,5.2,1.7,3.4,3.4,0,1.7,0,0,0,22.4,12.1
特定10業種別,映像情報制作・配給業,57,28.1,21.1,24.6,10.5,8.8,7,8.8,21.1,1.8,1.8,10.5,7,5.3,0,10.5,7,14,14
従業者規模別,１～２人,753,30.1,20.8,11.4,6.9,7.6,7.4,13.7,10.5,1.1,5.4,9.8,2.4,2.8,0.8,1.5,5.2,24.3,13
従業者規模別,３～５人,560,36.3,25.7,19.8,9.1,5.5,6.8,13.6,10,1.4,5,7.5,2.9,1.6,0.5,1.6,2.9,17.9,15.2
従業者規模別,６～９人,308,29.9,22.1,25.3,7.1,5.2,6.8,14.6,8.8,2.3,7.1,9.7,4.2,4.2,0.3,1,2.9,23.1,12.3
従業者規模別,10～29人,341,30.5,26.1,25.8,10.3,12.3,6.2,14.4,11.1,2.6,7.6,10.9,4.4,5.6,2.1,4.4,3.5,17.3,10.9
