区分１,区分２,(n),黒字が拡大(％),赤字から黒字に転換(％),赤字だが損失額は縮小(％),黒字でほぼ横ばい（±５％未満）(％),赤字でほぼ横ばい（±５％未満）(％),黒字だが利益額は減少(％),黒字から赤字に転落(％),赤字が拡大(％),無回答(％)
今回調査,全体,2263,12.1,5.6,5.2,31.9,11.7,17.1,7.5,6.3,2.7
前回調査,全体,3096,10.4,6.3,6.3,29.4,12.5,18.6,7.6,7.1,1.7
業種別 ,情報・コンテンツ業,520,16.2,10.4,5.6,30,10.4,11.7,7.5,5.6,2.7
業種別 ,専門サービス業,851,11.8,3.3,3.4,35.1,10.1,21.4,6.1,5.5,3.3
業種別 ,技術サービス業,388,10.8,5.4,5.4,31.7,13.1,13.9,8.5,8.8,2.3
業種別 ,事業サービス業,493,9.7,4.7,7.7,29,13.6,17.8,9.1,6.3,2
特定10業種別,税理士事務所,267,12.7,0.7,0.4,52.1,3.4,25.1,1.5,1.5,2.6
特定10業種別,ソフトウェア業,262,19.1,13.7,5,31.3,6.5,13,6.5,2.7,2.3
特定10業種別,建築設計業,186,11.3,6.5,3.2,32.3,12.9,15.1,9.1,7.5,2.2
特定10業種別,デザイン業,123,9.8,4.1,4.9,18.7,18.7,17.9,13,10.6,2.4
特定10業種別,経営コンサルタント業,106,17.9,5.7,8.5,17.9,17,12.3,6.6,10.4,3.8
特定10業種別,建物サービス業,95,10.5,7.4,6.3,27.4,17.9,12.6,13.7,3.2,1.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,1.4,0,5.6,38,14.1,29.6,2.8,4.2,4.2
特定10業種別,自動車整備業,68,5.9,1.5,8.8,23.5,20.6,19.1,11.8,5.9,2.9
特定10業種別,法律事務所,58,8.6,0,0,44.8,3.4,25.9,6.9,1.7,8.6
特定10業種別,映像情報制作・配給業,57,10.5,1.8,3.5,31.6,19.3,15.8,12.3,5.3,0
従業者規模別,１～２人,753,6.5,4.8,6.8,29.6,19.5,13.1,6.9,9.6,3.2
従業者規模別,３～５人,560,9.6,6.8,6.3,30,13,17.3,8.2,6.4,2.3
従業者規模別,６～９人,308,9.4,4.9,3.6,37,7.5,23.1,8.1,4.5,1.9
従業者規模別,10～29人,341,17.3,7.9,3.8,34.6,2.9,18.8,7.3,3.8,3.5
従業者規模別,30人以上,251,30.3,4.4,1.6,32.3,3.2,18.7,5.6,2,2
年間売上高増減別（３年前）,大幅（10％以上）増加,290,48.6,11.4,3.4,18.3,2.4,10.3,2.4,2.4,0.7
年間売上高増減別（３年前）,やや（10％未満）増加,360,21.9,9.2,6.1,45,2.2,11.7,3.1,0.3,0.6
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,3.4,5.7,5.2,50.5,14.6,13.2,3.6,1.9,2
年間売上高増減別（３年前）,やや（10％未満）減少,374,2.4,2.1,6.1,19.3,21.4,30.7,11.5,5.3,1.1
年間売上高増減別（３年前）,大幅（10％以上）減少,398,3.3,1.8,5.3,8.3,13.1,22.6,19.6,24.4,1.8
売上高経常利益率別,黒字,1602,16.7,7.6,2.6,43.6,4.1,22.8,1.2,0.8,0.7
売上高経常利益率別,赤字,557,0.2,0.4,13.5,0.5,35.2,0.5,25.9,22.8,1.1
代表者の年齢別,40歳未満,57,14,12.3,5.3,40.4,3.5,12.3,7,3.5,1.8
代表者の年齢別,40歳代,306,18.3,6.5,6.9,29.7,7.2,14.4,7.8,4.6,4.6
代表者の年齢別,50歳代,585,14.4,7.2,4.8,32.5,9.1,17.6,7.4,5.1,2.1
代表者の年齢別,60～64歳,358,12.6,5.3,5.9,34.9,12.6,13.7,7,6.7,1.4
代表者の年齢別,65～69歳,342,7.9,6.4,5.3,31.6,15.8,17,6.7,7,2.3
代表者の年齢別,70歳以上,572,8.2,2.6,4.4,29.4,15,20.8,8.2,7.9,3.5
