大分類,大分類,中分類,中分類,備考
G,情報通信業,37,通信業,
G,情報通信業,38,放送業,
G,情報通信業,39,情報サービス業,
G,情報通信業,40,インターネット附随サービス業,
G,情報通信業,41,映像・音声・文字情報制作業,
H,運輸業，郵便業,42,鉄道業,
H,運輸業，郵便業,43,道路旅客運送業,
H,運輸業，郵便業,44,道路貨物運送業,
H,運輸業，郵便業,45,水運業,
H,運輸業，郵便業,46,航空運輸業,
H,運輸業，郵便業,47,倉庫業,
H,運輸業，郵便業,48,運輸に附帯するサービス業,
H,運輸業，郵便業,49,郵便業（信書便事業を含む）,
K,不動産業，物品賃貸業,68,不動産取引業,
K,不動産業，物品賃貸業,69,不動産賃貸業・管理業,
K,不動産業，物品賃貸業,70,物品賃貸業,
L,学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）,〇中分類「71　学術・開発研究機関」、細分類「7282　純粋持株会社」を除く
L,学術研究，専門・技術サービス業,73,広告業,〇中分類「71　学術・開発研究機関」、細分類「7282　純粋持株会社」を除く
L,学術研究，専門・技術サービス業,74,技術サービス業（他に分類されないもの）,〇中分類「71　学術・開発研究機関」、細分類「7282　純粋持株会社」を除く
M,宿泊業，飲食サービス業,75,宿泊業,
M,宿泊業，飲食サービス業,76,飲食店,
M,宿泊業，飲食サービス業,77,持ち帰り・配達飲食サービス業,
N,生活関連サービス業，娯楽業,78,洗濯・理容・美容・浴場業,〇小分類「792　家事サービス業」を除く
N,生活関連サービス業，娯楽業,79,その他の生活関連サービス業,〇小分類「792　家事サービス業」を除く
N,生活関連サービス業，娯楽業,80,娯楽業,〇小分類「792　家事サービス業」を除く
O,教育，学習支援業,82,その他の教育，学習支援業,〇中分類「81　学校教育」を除く
P,医療，福祉,83,医療業,〇小分類「841　保健所」、「851　社会保険事業団体」及び「852　福祉事務所」を除く
P,医療，福祉,84,保健衛生,〇小分類「841　保健所」、「851　社会保険事業団体」及び「852　福祉事務所」を除く
P,医療，福祉,85,社会保険・社会福祉・介護事業,〇小分類「841　保健所」、「851　社会保険事業団体」及び「852　福祉事務所」を除く
R,サービス業（他に分類されないもの）,88,廃棄物処理業,〇中分類「93　政治・経済・文化団体」、「94　宗教」、「96　外国公務」を除く
R,サービス業（他に分類されないもの）,89,自動車整備業,〇中分類「93　政治・経済・文化団体」、「94　宗教」、「96　外国公務」を除く
R,サービス業（他に分類されないもの）,90,機械等修理業（別掲を除く）,〇中分類「93　政治・経済・文化団体」、「94　宗教」、「96　外国公務」を除く
R,サービス業（他に分類されないもの）,91,職業紹介・労働者派遣業,〇中分類「93　政治・経済・文化団体」、「94　宗教」、「96　外国公務」を除く
R,サービス業（他に分類されないもの）,92,その他の事業サービス業,〇中分類「93　政治・経済・文化団体」、「94　宗教」、「96　外国公務」を除く
R,サービス業（他に分類されないもの）,95,その他のサービス業,〇中分類「93　政治・経済・文化団体」、「94　宗教」、「96　外国公務」を除く
