区分１,区分２,(n),20%未満（％）,20～40%未満（％）,40～60%未満（％）,60～80%未満（％）,80%以上（％）,無回答（％）
今回調査,全体,297,52.5,22.9,7.4,2.4,4.7,10.1
業種別,情報・コンテンツ業,109,57.8,19.3,10.1,0.9,4.6,7.3
業種別,専門サービス業,92,40.2,30.4,9.8,2.2,4.3,13
業種別,技術サービス業,43,48.8,27.9,2.3,2.3,9.3,9.3
業種別,事業サービス業,51,64.7,13.7,2,5.9,2,11.8
特定10業種別,税理士事務所,17,47.1,17.6,5.9,0,5.9,23.5
特定10業種別,ソフトウェア業,55,63.6,20,7.3,1.8,1.8,5.5
特定10業種別,建築設計業,16,31.3,31.3,0,0,25,12.5
特定10業種別,デザイン業,20,60,25,5,5,5,0
特定10業種別,経営コンサルタント業,27,22.2,44.4,14.8,3.7,3.7,11.1
特定10業種別,建物サービス業,10,80,10,0,0,0,10
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",5,60,0,0,0,0,40
特定10業種別,自動車整備業,4,50,25,0,0,0,25
特定10業種別,法律事務所,0,0,0,0,0,0,0
特定10業種別,映像情報制作・配給業,9,33.3,44.4,22.2,0,0,0
従業者規模別,１～２人,65,38.5,29.2,12.3,4.6,9.2,6.2
従業者規模別,３～５人,62,48.4,25.8,3.2,3.2,1.6,17.7
従業者規模別,６～９人,45,53.3,26.7,8.9,0,2.2,8.9
従業者規模別,10～29人,62,54.8,22.6,9.7,1.6,3.2,8.1
従業者規模別,30人以上,56,75,7.1,1.8,1.8,5.4,8.9
年間売上高増減別（３年前）,大幅（10％以上）増加,78,47.4,21.8,10.3,3.8,6.4,10.3
年間売上高増減別（３年前）,やや（10％未満）増加,69,46.4,26.1,10.1,2.9,2.9,11.6
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,80,57.5,23.8,3.8,0,5,10
年間売上高増減別（３年前）,やや（10％未満）減少,25,64,16,8,0,0,12
年間売上高増減別（３年前）,大幅（10％以上）減少,42,57.1,19,4.8,4.8,7.1,7.1
売上高経常利益率別,黒字,227,52.9,22.9,7.9,1.8,4.8,9.7
売上高経常利益率別,赤字,56,48.2,23.2,5.4,5.4,5.4,12.5
経常損益の変化別（３年前）,増益,113,53.1,19.5,8,3.5,4.4,11.5
経常損益の変化別（３年前）,横ばい,106,50.9,24.5,7.5,0.9,4.7,11.3
経常損益の変化別（３年前）,減益,72,54.2,25,6.9,2.8,5.6,5.6
代表者の平均年齢別,40歳未満,10,30,30,20,0,10,10
代表者の平均年齢別,40歳代,49,55.1,14.3,8.2,10.2,2,10.2
代表者の平均年齢別,50歳代,101,53.5,26.7,7.9,1,4,6.9
代表者の平均年齢別,60～64歳,46,58.7,23.9,6.5,2.2,2.2,6.5
代表者の平均年齢別,65～69歳,35,54.3,20,5.7,0,2.9,17.1
代表者の平均年齢別,70歳以上,48,50,20.8,4.2,0,10.4,14.6
他社との競争状況別（３年前）,かなり激化した,40,57.5,25,2.5,2.5,7.5,5
他社との競争状況別（３年前）,やや激化した,91,48.4,24.2,7.7,4.4,3.3,12.1
他社との競争状況別（３年前）,変わらない,152,53.9,20.4,9.2,1.3,5.3,9.9
他社との競争状況別（３年前）,やや緩和した,6,50,50,0,0,0,0
他社との競争状況別（３年前）,かなり緩和した,4,50,25,0,0,0,25
