区分１,区分２,(n),１０％未満(％),１０～２０％未満(％),２０～３０％未満(％),３０～４０％未満(％),４０～５０％未満(％),５０～６０％未満(％),６０～７０％未満(％),７０％以上(％),無回答(％)
今回調査,全体,2263,8.8,9.5,14.3,13.7,15.5,12.6,10.4,11.2,4
前回調査,全体,3096,10.1,6,17,9.8,18.2,11.3,11.6,11.9,4.2
業種別 ,情報・コンテンツ業,520,6.5,7.9,13.8,12.3,15.6,12.9,11.7,16,3.3
業種別 ,専門サービス業,851,10.1,9.4,15.6,16.1,15.5,13.6,7.9,7.4,4.3
業種別 ,技術サービス業,388,7,4.6,12.6,12.4,20.1,15.2,13.4,12.4,2.3
業種別 ,事業サービス業,493,10.3,14.4,14,12.2,12,8.5,11.4,11.8,5.5
特定10業種別,税理士事務所,267,10.5,8.6,18.7,17.2,16.1,12.7,7.1,4.5,4.5
特定10業種別,ソフトウェア業,262,2.7,3.1,9.9,9.5,17.6,16.8,14.1,23.7,2.7
特定10業種別,建築設計業,186,4.8,6.5,12.9,11.8,24.7,13.4,13.4,11.8,0.5
特定10業種別,デザイン業,123,13.8,7.3,10.6,11.4,21.1,13.8,11.4,9.8,0.8
特定10業種別,経営コンサルタント業,106,3.8,8.5,12.3,12.3,19.8,14.2,8.5,16,4.7
特定10業種別,建物サービス業,95,4.2,14.7,11.6,11.6,14.7,9.5,21.1,8.4,4.2
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,9.9,5.6,14.1,18.3,15.5,18.3,8.5,7,2.8
特定10業種別,自動車整備業,68,11.8,19.1,19.1,22.1,11.8,5.9,2.9,0,7.4
特定10業種別,法律事務所,58,8.6,17.2,19,6.9,20.7,13.8,3.4,3.4,6.9
特定10業種別,映像情報制作・配給業,57,15.8,8.8,14,22.8,5.3,14,10.5,5.3,3.5
従業者規模別,１～２人,753,18.1,11.4,14.6,12,11.4,10.5,8,10.2,3.9
従業者規模別,３～５人,560,3.9,8.4,14.3,17.9,18.2,13.9,10.4,8.9,4.1
従業者規模別,６～９人,308,3.6,8.8,15.3,11.7,21.4,15.9,11,8.8,3.6
従業者規模別,10～29人,341,4.4,8.2,11.7,14.7,15.5,13.5,15.2,12.6,4.1
従業者規模別,30人以上,251,4,8.8,13.5,10.4,15.1,10.8,12,20.7,4.8
年間売上高増減別（３年前）,大幅（10％以上）増加,290,9.3,10.3,19.7,16.2,15.9,9.3,6.6,10.7,2.1
年間売上高増減別（３年前）,やや（10％未満）増加,360,9.2,11.1,16.7,12.8,16.1,12.2,8.9,10.6,2.5
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,8.4,9.9,13.4,14.4,16.1,12.3,12.4,10.2,2.8
年間売上高増減別（３年前）,やや（10％未満）減少,374,8.3,9.1,12.8,14.4,17.4,15.2,10.7,10.4,1.6
年間売上高増減別（３年前）,大幅（10％以上）減少,398,10.6,7.3,12.8,12.1,12.6,14.1,11.6,15.6,3.5
売上高経常利益率別,黒字,1602,7.7,10.3,16,14.5,16.7,13.3,10.6,9.3,1.6
売上高経常利益率別,赤字,557,12.9,7.4,11,12.7,13.1,11.5,11,18,2.5
経常損益の変化別（３年前）,増益,518,8.3,10.4,18.5,13.7,16.6,10,10.8,8.9,2.7
経常損益の変化別（３年前）,横ばい,987,9.1,9.8,14.7,14.5,15.3,13.2,11,9.8,2.5
経常損益の変化別（３年前）,減益,697,9,8.3,11.5,13.8,15.8,14.2,9.8,15.5,2.2
