区分１,区分２,(n),従業員の責任体制の構築・権限移譲(％),協業体制の編成(％),業務・グループ活動の分散化(％),組織・体制の見直し(％),人材の確保・育成(％),経営理念の浸透(％),その他(％),特になし(％),無回答(％)
今回調査,全体,1504,27.5,11.5,10.2,19,33,15.2,0.7,35.2,3.2
業種別,情報・コンテンツ業,411,31.6,12.7,12.7,25.5,46.2,15.8,0.5,26,2.9
業種別,専門サービス業,527,23.7,12.5,8.7,12.3,20.3,13.7,0.4,44.8,3.6
業種別,技術サービス業,222,23,12.6,13.1,19.8,36,18,0.5,32.9,3.2
業種別,事業サービス業,338,30.8,8,7.7,21,34.9,15.1,1.5,32.5,3
特定10業種別,税理士事務所,179,25.7,5.6,3.9,7.8,17.9,13.4,0.6,46.9,3.9
特定10業種別,ソフトウェア業,222,34.7,12.6,14.4,25.7,55.9,17.1,0.5,17.6,3.6
特定10業種別,建築設計業,103,20.4,16.5,11.7,20.4,31.1,19.4,0,37.9,1
特定10業種別,デザイン業,76,23.7,17.1,15.8,19.7,23.7,9.2,0,47.4,0
特定10業種別,経営コンサルタント業,53,22.6,15.1,18.9,24.5,26.4,26.4,1.9,26.4,0
特定10業種別,建物サービス業,76,35.5,7.9,7.9,21.1,34.2,13.2,0,34.2,1.3
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",38,15.8,7.9,7.9,2.6,10.5,10.5,0,55.3,7.9
特定10業種別,自動車整備業,38,13.2,2.6,2.6,18.4,21.1,10.5,2.6,47.4,7.9
特定10業種別,法律事務所,43,14,18.6,7,4.7,11.6,11.6,0,58.1,7
特定10業種別,映像情報制作・配給業,43,30.2,9.3,14,34.9,46.5,16.3,0,20.9,2.3
従業者規模別,１～２人,154,10.4,7.1,2.6,3.2,7.8,5.2,0,68.2,6.5
従業者規模別,３～５人,438,20.1,9.8,4.1,5.5,19.9,10.5,0.7,49.5,3.9
従業者規模別,６～９人,297,26.3,11.8,7.4,13.1,27.6,12.8,1.7,36,3.4
従業者規模別,10～29人,332,32.2,13.9,18.1,28.9,45.8,18.4,0,19.6,1.2
従業者規模別,30人以上,250,44.4,13.2,19.2,45.6,60.4,27.2,0.8,9.6,2.8
年間売上高増減別（３年前）,大幅（10％以上）増加,234,40.6,15.8,17.9,26.9,50,19.7,0.4,16.7,2.6
年間売上高増減別（３年前）,やや（10％未満）増加,279,32.3,10.4,11.5,24,44.4,20.4,1.1,24,2.2
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,505,25.9,10.1,7.9,16.4,28.5,11.7,0.4,39.6,4.2
年間売上高増減別（３年前）,やや（10％未満）減少,243,21.8,11.9,7,12.3,19.3,11.1,0.4,46.9,2.9
年間売上高増減別（３年前）,大幅（10％以上）減少,215,16.7,11.2,7.4,16.3,24.7,15.8,0.9,45.6,3.7
売上高経常利益率別,黒字,1144,29.6,12.2,10.1,20.2,35.9,15.6,0.6,31.7,3.1
売上高経常利益率別,赤字,296,18.6,9.8,10.1,15.5,22.6,12.8,0.3,46.6,3.4
経常損益の変化別（３年前）,増益,374,34.5,14.2,11.2,25.1,43.9,18.7,1.1,24.9,1.9
経常損益の変化別（３年前）,横ばい,628,23.4,9.1,8.3,14.3,32.2,13.1,0.2,38.2,3.7
経常損益の変化別（３年前）,減益,470,27.2,12.8,11.1,20.4,25.3,14.9,1.1,39.1,3.4
代表者の年齢別,40歳未満,39,43.6,10.3,17.9,20.5,25.6,15.4,0,25.6,7.7
代表者の年齢別,40歳代,226,31.4,15.9,17.3,24.8,35,17.7,0.4,24.3,1.3
代表者の年齢別,50歳代,422,30.6,10.9,12.1,23.5,39.6,19.2,0.7,29.6,2.8
代表者の年齢別,60～64歳,238,23.5,10.5,7.1,17.2,38.7,16.4,0,38.7,2.5
代表者の年齢別,65～69歳,214,25.2,11.2,9.3,19.2,26.2,10.7,1.9,38.8,2.3
代表者の年齢別,70歳以上,336,23.5,9.8,5.4,10.1,24.4,10.7,0.6,45.2,5.4
事業承継予定別,子・子の配偶者に継がせたい,188,28.2,6.9,4.8,16.5,27.7,16.5,1.1,39.9,3.2
事業承継予定別,配偶者に継がせたい,9,33.3,11.1,0,0,44.4,11.1,11.1,11.1,0
事業承継予定別,子・配偶者以外の親族に継がせたい（1.2.を除く）,15,46.7,0,13.3,20,20,13.3,6.7,26.7,6.7
事業承継予定別,従業員に継がせたい,343,34.1,13.1,12.8,22.2,41.4,19.5,0,23,2
事業承継予定別,外部の人間に継がせたい,36,25,16.7,5.6,8.3,27.8,8.3,2.8,38.9,0
事業承継予定別,誰でもよいから継がせたい,42,35.7,14.3,23.8,11.9,31,21.4,0,33.3,2.4
