区分１,区分２,(n),多種多様な市場が存在(％),顧客の集積度が高い(％),立地の知名度が高い(％),情報が収集しやすい(％),有能な人材が集めやすい(％),交通の利便性がある(％),職住が近接している(％),多様な外注先と近接(％),仕入先等取引先と近接(％),新ｻｰﾋﾞｽ への受容度が高い(％),その他(％),特になし(％),無回答(％)
今回調査,全体,2263,22.4,48.3,10.2,25.2,9.1,51.6,18.4,11,16.7,2.8,1.5,6.4,3.8
前回調査,全体,3096,23,47.2,9.6,23.6,6.5,56.9,16.7,9,12.7,1.7,1.4,8,2.6
業種別 ,情報・コンテンツ業,520,23.1,53.7,8.8,27.1,15.8,52.1,14.2,13.3,23.3,3.7,1.3,2.7,4.6
業種別 ,専門サービス業,851,26.1,49,12.5,29.8,8.2,55,21.7,7.2,10.7,2.7,1.6,5.4,3.4
業種別 ,技術サービス業,388,16.2,44.6,7.5,26.8,4.9,53.1,20.6,17,17.3,1.8,0.8,8,1.5
業種別 ,事業サービス業,493,20.3,44.2,9.7,13.6,7.3,44.2,15.4,10.5,19.7,2.8,2,11,5.5
特定10業種別,税理士事務所,267,28.1,44.6,10.1,22.1,7.9,57.3,24.7,2.2,4.5,1.5,0,7.5,4.5
特定10業種別,ソフトウェア業,262,25.2,59.5,8.4,25.2,19.8,50.8,16.4,13,16,3.1,0.8,2.7,4.2
特定10業種別,建築設計業,186,17.2,45.7,6.5,29,7,51.6,22,18.3,17.7,2.2,0.5,4.8,0.5
特定10業種別,デザイン業,123,22,48,10.6,26.8,8.1,54.5,22.8,20.3,21.1,0,1.6,3.3,4.1
特定10業種別,経営コンサルタント業,106,28.3,56.6,12.3,49.1,10.4,38.7,20.8,8.5,9.4,4.7,1.9,6.6,2.8
特定10業種別,建物サービス業,95,21.1,56.8,9.5,14.7,2.1,36.8,21.1,16.8,14.7,2.1,1.1,9.5,3.2
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,26.8,52.1,19.7,7,0,59.2,31,5.6,25.4,0,1.4,11.3,0
特定10業種別,自動車整備業,68,16.2,33.8,4.4,4.4,1.5,30.9,20.6,11.8,22.1,2.9,2.9,22.1,8.8
特定10業種別,法律事務所,58,24.1,48.3,19,24.1,12.1,72.4,15.5,5.2,6.9,1.7,0,0,6.9
特定10業種別,映像情報制作・配給業,57,24.6,47.4,7,26.3,14,61.4,10.5,21.1,28.1,3.5,3.5,1.8,0
従業者規模別,１～２人,753,18.2,40.4,10,25.4,3.2,50.2,25.5,10.4,13.7,3.5,1.7,9.2,3.1
従業者規模別,３～５人,560,25,48,11.8,25.2,5.9,56.1,19.1,10.4,14.5,2.1,1.6,6.8,4.1
従業者規模別,６～９人,308,23.4,50.3,8.4,21.8,14.6,55.2,18.8,11.7,17.5,2.9,1.6,5.2,2.3
従業者規模別,10～29人,341,25.2,56,11.7,27,14.1,49,10.3,12.6,23.5,2.1,1.2,2.6,6.5
従業者規模別,30人以上,251,25.9,59.8,8.4,27.9,21.5,48.2,7.2,11.6,19.9,3.2,1.2,2.8,4.4
年間売上高増減別（３年前）,大幅（10％以上）増加,290,26.9,61,12.4,31,18.6,48.3,11.7,12.4,20,4.8,2.4,1,1.7
年間売上高増減別（３年前）,やや（10％未満）増加,360,30,58.3,8.1,24.7,10.6,53.6,16.4,13.3,15.8,3.3,1.1,3.3,2.2
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,22,45.2,11.3,24.6,7.5,51.9,20.2,11.6,16.8,2.6,1.3,7,2.8
年間売上高増減別（３年前）,やや（10％未満）減少,374,21.7,43.3,10.2,24.9,7.2,54,20.1,8.8,13.9,1.6,1.1,10.2,2.9
年間売上高増減別（３年前）,大幅（10％以上）減少,398,15.6,43,8.5,24.6,6.5,52.5,20.4,9.5,17.8,2.3,2,8.8,4.5
売上高経常利益率別,黒字,1602,23.6,51.3,10.4,25.8,10.2,53.1,17.9,10.6,17.5,3.2,1.4,5.6,2.5
売上高経常利益率別,赤字,557,19,42.7,9.3,24.6,6.3,49.6,20.6,13.5,16.2,1.8,1.6,9,3.2
経常損益の変化別（３年前）,増益,518,26.1,55.4,11,27.6,13.5,49.2,15.8,12.7,20.7,3.7,2.3,3.3,2.3
経常損益の変化別（３年前）,横ばい,987,21.6,47.1,9.7,24.3,7.7,54.8,19.3,10.2,14.3,2.3,1.4,7.8,2.6
経常損益の変化別（３年前）,減益,697,21.4,46.9,9.8,25.4,8.3,51.5,19.8,11.3,17.1,3,1,7,3.3
所在地別,都心,622,23.3,50.8,18.8,29.7,13.8,56.3,9.5,10.5,18,2.7,2.4,3.2,3.5
所在地別,副都心,469,23.5,51,11.3,29.2,12.8,54.6,14.1,13.6,18.8,1.9,1.3,3.2,3
所在地別,城東,289,22.5,44.3,4.8,20.8,4.2,52.6,23.2,7.3,13.5,1.7,1.7,8.3,5.9
所在地別,城南,170,22.9,53.5,6.5,26.5,7.1,54.7,22.9,11.2,18.2,1.2,1.2,5.3,2.9
所在地別,城北,73,15.1,41.1,5.5,11,2.7,41.1,28.8,17.8,23.3,1.4,1.4,8.2,5.5
所在地別,城西,248,22.2,54,3.2,23,3.6,50.8,24.2,10.9,15.7,6,1.2,6,4.4
所在地別,多摩,392,20.9,39.3,6.1,19.9,6.6,41.1,26.5,10.2,13,3.6,0.5,14.3,3.6
