区分１,区分２,(n),1970年以前(％),1971～1980年(％),1981～1990年(％),1991～2000年(％),2001～2010年(％),2011年以降(％),無回答(％)
今回調査,全体,2263,10.3,10.3,19.2,21.3,21.7,12.6,4.6
業種別 ,情報・コンテンツ業,520,5.4,6.7,18.3,24.2,26.5,15,3.8
業種別 ,専門サービス業,851,9.2,10.2,18.7,22,21.9,13.7,4.3
業種別 ,技術サービス業,388,11.3,11.1,23.7,22.4,17.3,9.8,4.4
業種別 ,事業サービス業,493,16.6,13.6,17.2,16.6,19.5,10.3,6.1
特定10業種別,税理士事務所,267,13.5,15.4,21.7,21.3,14.2,8.6,5.2
特定10業種別,ソフトウェア業,262,1.9,2.7,18.7,29,29.8,14.5,3.4
特定10業種別,建築設計業,186,10.8,9.1,23.7,24.7,17.7,9.1,4.8
特定10業種別,デザイン業,123,4.9,9.8,21.1,27.6,22,9.8,4.9
特定10業種別,経営コンサルタント業,106,2.8,1.9,13.2,19.8,34.9,24.5,2.8
特定10業種別,建物サービス業,95,16.8,21.1,14.7,24.2,14.7,6.3,2.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,8.5,14.1,28.2,19.7,23.9,5.6,0
特定10業種別,自動車整備業,68,30.9,14.7,13.2,13.2,16.2,4.4,7.4
特定10業種別,法律事務所,58,10.3,12.1,15.5,15.5,20.7,19,6.9
特定10業種別,映像情報制作・配給業,57,5.3,7,22.8,22.8,24.6,15.8,1.8
従業者規模別,１～２人,753,5.7,5.8,19.8,24,25.1,15.8,3.7
従業者規模別,３～５人,560,10.5,10.7,20,22.3,19.3,13.8,3.4
従業者規模別,６～９人,308,13,14,17.5,16.9,21.1,13,4.5
従業者規模別,10～29人,341,15,14.1,17.3,22,20.2,7.3,4.1
従業者規模別,30人以上,251,15.1,13.1,21.5,17.1,23.1,8,2
代表者の年齢別,40歳未満,57,3.5,1.8,7,10.5,22.8,52.6,1.8
代表者の年齢別,40歳代,306,5.6,6.2,6.5,10.5,37.3,31.7,2.3
代表者の年齢別,50歳代,585,7.4,6,12.1,29.1,28,14.5,2.9
代表者の年齢別,60～64歳,358,11.2,7.3,19.8,32.4,19.6,5.9,3.9
代表者の年齢別,65～69歳,342,9.1,9.4,33.9,20.8,13.7,8.5,4.7
代表者の年齢別,70歳以上,572,17,20.8,25.3,15,14.2,3.7,4
代表者の年齢別,無回答,43,7,2.3,16.3,4.7,2.3,4.7,62.8
年間売上高増減別（３年前）,大幅（１０％以上）増加,290,4.1,5.2,12.1,15.5,27.9,30,5.2
年間売上高増減別（３年前）,やや（１０％未満）増加,360,11.9,7.5,13.1,21.7,25.3,16.9,3.6
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,9.2,11.2,21,22.9,21.7,9.5,4.5
年間売上高増減別（３年前）,やや（１０％未満）減少,374,12.3,14.4,24.3,20.3,16.8,5.9,5.9
年間売上高増減別（３年前）,大幅（１０％以上）減少,398,13.1,11.6,21.9,24.6,18.3,7,3.5
売上高経常利益率別,黒字,1602,10.3,10.4,19.2,21.3,21.5,13,4.4
売上高経常利益率別,赤字,557,9,10.4,20.1,22.4,21.9,11.8,4.3
経常損益の変化別（３年前）,増益,518,9.8,7.5,17.4,20.5,21.2,19.1,4.4
経常損益の変化別（３年前）,横ばい,987,10.2,10,19.9,23.2,21.3,10.6,4.8
経常損益の変化別（３年前）,減益,697,10.3,13.3,19.9,20.1,22,10,4.3
