年,月,サービス業             ,企業関連サービス          ,個人関連サービス          ,経緯
2008,1,▲ 34,▲ 30,▲ 44,
2008,2,▲ 33,▲ 31,▲ 38,2008.2～2009.3景気後退期
2008,3,▲ 35,▲ 34,▲ 42,
2008,4,▲ 32,▲ 32,▲ 33,
2008,5,▲ 33,▲ 28,▲ 45,
2008,6,▲ 31,▲ 27,▲ 41,
2008,7,▲ 33,▲ 33,▲ 32,
2008,8,▲ 40,▲ 33,▲ 59,
2008,9,▲ 40,▲ 36,▲ 51,リーマンショック
2008,10,▲ 44,▲ 42,▲ 49,
2008,11,▲ 52,▲ 53,▲ 52,
2008,12,▲ 55,▲ 50,▲ 65,
2009,1,▲ 49,▲ 47,▲ 53,
2009,2,▲ 56,▲ 57,▲ 53,
2009,3,▲ 59,▲ 57,▲ 62,
2009,4,▲ 56,▲ 57,▲ 55,
2009,5,▲ 58,▲ 60,▲ 54,
2009,6,▲ 52,▲ 51,▲ 54,
2009,7,▲ 52,▲ 50,▲ 56,
2009,8,▲ 48,▲ 47,▲ 52,
2009,9,▲ 53,▲ 53,▲ 52,
2009,10,▲ 50,▲ 51,▲ 47,
2009,11,▲ 55,▲ 56,▲ 54,
2009,12,▲ 52,▲ 50,▲ 56,
2010,1,▲ 41,▲ 38,▲ 49,
2010,2,▲ 47,▲ 45,▲ 54,
2010,3,▲ 38,▲ 35,▲ 42,
2010,4,▲ 47,▲ 43,▲ 57,
2010,5,▲ 46,▲ 44,▲ 50,
2010,6,▲ 44,▲ 39,▲ 57,
2010,7,▲ 36,▲ 35,▲ 38,
2010,8,▲ 42,▲ 41,▲ 44,
2010,9,▲ 37,▲ 33,▲ 46,
2010,10,▲ 48,▲ 44,▲ 55,
2010,11,▲ 34,▲ 34,▲ 34,
2010,12,▲ 34,▲ 35,▲ 32,
2011,1,▲ 33,▲ 30,▲ 38,
2011,2,▲ 31,▲ 25,▲ 43,
2011,3,▲ 56,▲ 45,▲ 81,東日本大震災
2011,4,▲ 53,▲ 48,▲ 64,
2011,5,▲ 46,▲ 40,▲ 61,
2011,6,▲ 41,▲ 34,▲ 56,
2011,7,▲ 36,▲ 29,▲ 52,
2011,8,▲ 37,▲ 35,▲ 41,
2011,9,▲ 35,▲ 31,▲ 43,
2011,10,▲ 33,▲ 30,▲ 38,
2011,11,▲ 34,▲ 30,▲ 45,
2011,12,▲ 32,▲ 28,▲ 43,
2012,1,▲ 33,▲ 27,▲ 50,
2012,2,▲ 23,▲ 15,▲ 40,
2012,3,▲ 19,▲ 18,▲ 23,2012.3～11景気後退期
2012,4,▲ 25,▲ 24,▲ 30,
2012,5,▲ 27,▲ 22,▲ 41,
2012,6,▲ 28,▲ 22,▲ 43,
2012,7,▲ 34,▲ 24,▲ 58,
2012,8,▲ 28,▲ 22,▲ 40,
2012,9,▲ 28,▲ 21,▲ 44,
