区分１,区分２,(n),創業者(％),創業者親族出身(％),従業員出身(％),社外からの就任(％),その他(％),無回答(％)
今回調査,全体,2263,70,14,8.9,4,1.8,1.4
業種別 ,情報・コンテンツ業,520,67.7,8.1,15.4,5.8,1.7,1.3
業種別 ,専門サービス業,851,78.8,11.9,4.9,1.4,1.6,1.3
業種別 ,技術サービス業,388,72.9,10.8,10.3,3.9,1,1
業種別 ,事業サービス業,493,54.8,26.4,7.9,6.7,2.6,1.6
特定10業種別,税理士事務所,267,74.2,20.2,2.6,0.4,1.1,1.5
特定10業種別,ソフトウェア業,262,74,5,14.9,3.8,1.1,1.1
特定10業種別,建築設計業,186,79.6,5.4,9.7,4.8,0,0.5
特定10業種別,デザイン業,123,79.7,8.1,8.9,1.6,0.8,0.8
特定10業種別,経営コンサルタント業,106,84.9,6.6,1.9,0.9,4.7,0.9
特定10業種別,建物サービス業,95,50.5,23.2,9.5,7.4,6.3,3.2
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,81.7,11.3,2.8,0,1.4,2.8
特定10業種別,自動車整備業,68,50,35.3,5.9,4.4,1.5,2.9
特定10業種別,法律事務所,58,91.4,1.7,1.7,0,3.4,1.7
特定10業種別,映像情報制作・配給業,57,64.9,8.8,17.5,7,1.8,0
従業者規模別,１～２人,753,87.6,8.1,1.5,0.8,1.2,0.8
従業者規模別,３～５人,560,71.1,17,7,2,0.7,2.3
従業者規模別,６～９人,308,63,20.1,10.7,3.2,1.6,1.3
従業者規模別,10～29人,341,56.6,15.2,19.4,5.6,2.3,0.9
従業者規模別,30人以上,251,42.2,16.3,19.9,15.9,4.4,1.2
年間売上高増減別（３年前）,大幅（10％以上）増加,290,74.8,6.9,10.7,5.5,1.7,0.3
年間売上高増減別（３年前）,やや（10％未満）増加,360,69.7,12.8,10.3,4.7,1.1,1.4
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,69,14.7,9.7,4,1.5,1.1
年間売上高増減別（３年前）,やや（10％未満）減少,374,69.5,19,6.7,1.9,1.6,1.3
年間売上高増減別（３年前）,大幅（10％以上）減少,398,69.1,13.8,7.5,4,3,2.5
売上高経常利益率別,黒字,1602,67.9,14.5,10.2,4.6,1.7,1.2
売上高経常利益率別,赤字,557,75.9,12.9,5.2,2.7,1.8,1.4
経常損益の変化別（３年前）,増益,518,66.4,14.1,11.4,5.4,1.9,0.8
経常損益の変化別（３年前）,横ばい,987,71.3,14,8.3,3.4,1.5,1.4
経常損益の変化別（３年前）,減益,697,70.2,13.9,8.3,3.9,2.2,1.6
創業時期別,1970年以前,233,23.6,48.5,15,7.3,2.6,3
創業時期別,1971～1980年,233,48.1,25.3,18,5.2,1.7,1.7
創業時期別,1981～1990年,434,70.7,12.2,10.4,3.7,1.4,1.6
創業時期別,1991～2000年,483,80.3,7.7,5.8,3.3,1.7,1.2
創業時期別,2001～2010年,490,82,4.7,6.3,3.9,2.4,0.6
創業時期別,2011年以降,285,87.7,4.9,3.5,2.5,0.4,1.1
創業時期別,無回答,105,65.7,17.1,10.5,2.9,2.9,1
